OBJECTID,Asset Group,SAP ID,Validation State,GlobalID,Description,Site,Site Description,Local Board,Street Name,Street Number,City,Shape__Area,Shape__Length
490,Sports Field Soil,1000139539,3,4ed46eed-4744-4642-8d15-6eac0732428e,Sport - Soil Sbj98,10324,Chamberlain Park,Albert-Eden,Linwood Avenue,46A,Auckland,210.9658203125,62.3603745183888
491,Sports Field Soil,1000142169,3,3c358706-50f2-4e78-a207-292bebafe727,Winter - Soil - 1 - General Sport,10444,Nicholson Park,Albert-Eden,Poronui Street,25,Auckland,3758.859375,264.157728678989
492,Sports Field Soil,1000139274,3,779cb447-0729-42ba-8acc-3fb135e81b2c,Sport - Soil Sbk12,10324,Chamberlain Park,Albert-Eden,Linwood Avenue,46A,Auckland,8200.46484375,785.515358785463
493,Sports Field Soil,1000139673,3,a911949a-f888-4fb2-8c9a-c5f8e3af7589,Sport - Soil Sbj81,10324,Chamberlain Park,Albert-Eden,Linwood Avenue,46A,Auckland,4792.8125,696.809850798139
494,Sports Field Soil,1000137182,3,3c357b2c-2736-404d-a659-a669d445c804,Winter - Soil - 2 - Rugby Union,10269,Fergusson Domain,Maungakiekie-Tamaki,Olea Road,5,Auckland Central,5021.3984375,293.981920133213
495,Sports Field Soil,1000139933,3,a47bd8e1-cbed-47c0-b570-2a5d83e09590,Winter - Soil - 1 - Football,10356,Western Park - Freemans Bay,Waitemata,Ponsonby Road,5,Auckland,3262.087890625,231.026692705078
496,Sports Field Soil,1000139460,3,a277e02f-d442-4593-9061-3e6316578e2b,Sport - Soil Sbj60,10324,Chamberlain Park,Albert-Eden,Linwood Avenue,46A,Auckland,7849.447265625,648.0254034915
497,Sports Field Soil,1000142980,3,9bc04aa9-9e49-4ff2-9d02-ed602a546d5d,Winter - Soil - 5 - Football,10535,Massey Park - Waiuku,Franklin,Belgium Street,2,Waiuku,2146.001953125,190.000056409602
498,Sports Field Soil,1000139008,3,94422b09-3b61-4a71-899b-a181bb8e154a,Winter - Soil - 12 - Football,10365,Keith Hay Park,Puketapapa,Richardson Road,660,Auckland Central,5716.0458984375,310.281666222361
499,Sports Field Sand,1000145328,3,b8acc855-85e3-4e66-9360-b463e57a7a21,Winter - Sand - 2 - Football,10588,Lloyd Elsmore Park,Howick,Bells Road,2R,Auckland East,6500.0087890625,330.000491500707
