Financial year,Industry,Industry Code,Quartile label,Financial benchmark,Value type,Value,Value Unit,Value Label,Null Reason
2024,Cafes and restaurants,H4511,Large,Salaries and wages / turnover ratio,Median (50th percentile),0.36,percentage,% of turnover income,
2024,Cafes and restaurants,H4511,Large,Quick ratio,Lower bound (25th percentile),0.19,percentage,% of total current liabilities,
2024,Cafes and restaurants,H4511,Large,Quick ratio,Upper bound (75th percentile),1.25,percentage,% of total current liabilities,
2024,Cafes and restaurants,H4511,Large,Quick ratio,Median (50th percentile),0.53,percentage,% of total current liabilities,
2024,Cafes and restaurants,H4511,Medium,Current ratio,Lower bound (25th percentile),0.14,percentage,% of total current liabilities,
2024,Cafes and restaurants,H4511,Medium,Current ratio,Upper bound (75th percentile),1.13,percentage,% of total current liabilities,
2024,Cafes and restaurants,H4511,Medium,Current ratio,Median (50th percentile),0.42,percentage,% of total current liabilities,
2024,Cafes and restaurants,H4511,Medium,Gross profit ratio,Lower bound (25th percentile),0.59,percentage,% of sales and/or services,
2024,Cafes and restaurants,H4511,Medium,Gross profit ratio,Upper bound (75th percentile),0.7,percentage,% of sales and/or services,
2024,Cafes and restaurants,H4511,Medium,Gross profit ratio,Median (50th percentile),0.65,percentage,% of sales and/or services,
2024,Cafes and restaurants,H4511,Medium,Liability structure,Lower bound (25th percentile),-0.19,percentage,% of total proprietor or shareholder funds plus total liabilities,
2024,Cafes and restaurants,H4511,Medium,Liability structure,Upper bound (75th percentile),0.41,percentage,% of total proprietor or shareholder funds plus total liabilities,
2024,Cafes and restaurants,H4511,Medium,Liability structure,Median (50th percentile),0.01,percentage,% of total proprietor or shareholder funds plus total liabilities,
2024,Cafes and restaurants,H4511,Medium,Quick ratio,Lower bound (25th percentile),0.09,percentage,% of total current liabilities,
2024,Cafes and restaurants,H4511,Medium,Quick ratio,Upper bound (75th percentile),0.98,percentage,% of total current liabilities,
2024,Cafes and restaurants,H4511,Medium,Quick ratio,Median (50th percentile),0.31,percentage,% of total current liabilities,
2024,Cafes and restaurants,H4511,Medium,Stock turnover per annum,Lower bound (25th percentile),18,number,Ratio,
2024,Cafes and restaurants,H4511,Medium,Stock turnover per annum,Upper bound (75th percentile),57,number,Ratio,
2024,Cafes and restaurants,H4511,Medium,Stock turnover per annum,Median (50th percentile),33,number,Ratio,
2024,Cafes and restaurants,H4511,Medium,Return on equity,Lower bound (25th percentile),0,percentage,% of total proprietor or shareholder funds,
2024,Cafes and restaurants,H4511,Medium,Return on equity,Upper bound (75th percentile),0.65,percentage,% of total proprietor or shareholder funds,
2024,Cafes and restaurants,H4511,Medium,Return on equity,Median (50th percentile),0.11,percentage,% of total proprietor or shareholder funds,
2024,Cafes and restaurants,H4511,Medium,Return on total assets,Lower bound (25th percentile),-0.07,percentage,% of total assets,
2024,Cafes and restaurants,H4511,Medium,Return on total assets,Upper bound (75th percentile),0.12,percentage,% of total assets,
2024,Cafes and restaurants,H4511,Medium,Return on total assets,Median (50th percentile),0,percentage,% of total assets,
2024,Cafes and restaurants,H4511,Medium,Salaries and wages / turnover ratio,Lower bound (25th percentile),0.25,percentage,% of turnover income,
2024,Cafes and restaurants,H4511,Medium,Salaries and wages / turnover ratio,Upper bound (75th percentile),0.42,percentage,% of turnover income,
2024,Cafes and restaurants,H4511,Medium,Salaries and wages / turnover ratio,Median (50th percentile),0.34,percentage,% of turnover income,
2024,Cafes and restaurants,H4511,Micro,Gross profit ratio,Lower bound (25th percentile),0.52,percentage,% of sales and/or services,
2024,Cafes and restaurants,H4511,Micro,Gross profit ratio,Upper bound (75th percentile),0.7,percentage,% of sales and/or services,
2024,Cafes and restaurants,H4511,Micro,Gross profit ratio,Median (50th percentile),0.61,percentage,% of sales and/or services,
2024,Cafes and restaurants,H4511,Micro,Liability structure,Lower bound (25th percentile),-0.65,percentage,% of total proprietor or shareholder funds plus total liabilities,
2024,Cafes and restaurants,H4511,Micro,Liability structure,Upper bound (75th percentile),0.55,percentage,% of total proprietor or shareholder funds plus total liabilities,
2024,Cafes and restaurants,H4511,Micro,Liability structure,Median (50th percentile),0,percentage,% of total proprietor or shareholder funds plus total liabilities,
2024,Cafes and restaurants,H4511,Micro,Quick ratio,Lower bound (25th percentile),0.05,percentage,% of total current liabilities,
2024,Cafes and restaurants,H4511,Micro,Quick ratio,Upper bound (75th percentile),1.06,percentage,% of total current liabilities,
2024,Cafes and restaurants,H4511,Micro,Quick ratio,Median (50th percentile),0.24,percentage,% of total current liabilities,
2024,Cafes and restaurants,H4511,Micro,Current ratio,Lower bound (25th percentile),0.08,percentage,% of total current liabilities,
2024,Cafes and restaurants,H4511,Micro,Current ratio,Upper bound (75th percentile),1.25,percentage,% of total current liabilities,
2024,Cafes and restaurants,H4511,Micro,Current ratio,Median (50th percentile),0.33,percentage,% of total current liabilities,
2024,Cafes and restaurants,H4511,Micro,Return on equity,Lower bound (25th percentile),0,percentage,% of total proprietor or shareholder funds,
2024,Cafes and restaurants,H4511,Micro,Return on equity,Upper bound (75th percentile),0.85,percentage,% of total proprietor or shareholder funds,
2024,Cafes and restaurants,H4511,Micro,Return on equity,Median (50th percentile),0.09,percentage,% of total proprietor or shareholder funds,
2024,Cafes and restaurants,H4511,Micro,Return on total assets,Lower bound (25th percentile),-0.2,percentage,% of total assets,
2024,Cafes and restaurants,H4511,Micro,Return on total assets,Upper bound (75th percentile),0.12,percentage,% of total assets,
2024,Cafes and restaurants,H4511,Micro,Return on total assets,Median (50th percentile),0,percentage,% of total assets,
2024,Cafes and restaurants,H4511,Micro,Salaries and wages / turnover ratio,Lower bound (25th percentile),0,percentage,% of turnover income,
2024,Cafes and restaurants,H4511,Micro,Salaries and wages / turnover ratio,Upper bound (75th percentile),0.32,percentage,% of turnover income,
2024,Cafes and restaurants,H4511,Micro,Salaries and wages / turnover ratio,Median (50th percentile),0.13,percentage,% of turnover income,
2024,Cafes and restaurants,H4511,Micro,Stock turnover per annum,Lower bound (25th percentile),11,number,Ratio,
2024,Cafes and restaurants,H4511,Micro,Stock turnover per annum,Upper bound (75th percentile),39,number,Ratio,
2024,Cafes and restaurants,H4511,Micro,Stock turnover per annum,Median (50th percentile),21,number,Ratio,
2024,Cafes and restaurants,H4511,Small,Return on equity,Lower bound (25th percentile),0,percentage,% of total proprietor or shareholder funds,
2024,Cafes and restaurants,H4511,Small,Return on equity,Upper bound (75th percentile),0.78,percentage,% of total proprietor or shareholder funds,
2024,Cafes and restaurants,H4511,Small,Return on equity,Median (50th percentile),0.14,percentage,% of total proprietor or shareholder funds,
2024,Cafes and restaurants,H4511,Small,Gross profit ratio,Lower bound (25th percentile),0.56,percentage,% of sales and/or services,
2024,Cafes and restaurants,H4511,Small,Gross profit ratio,Upper bound (75th percentile),0.68,percentage,% of sales and/or services,
2024,Cafes and restaurants,H4511,Small,Gross profit ratio,Median (50th percentile),0.63,percentage,% of sales and/or services,
2024,Cafes and restaurants,H4511,Small,Return on total assets,Lower bound (25th percentile),-0.15,percentage,% of total assets,
2024,Cafes and restaurants,H4511,Small,Return on total assets,Upper bound (75th percentile),0.09,percentage,% of total assets,
2024,Cafes and restaurants,H4511,Small,Return on total assets,Median (50th percentile),0,percentage,% of total assets,
2024,Cafes and restaurants,H4511,Small,Liability structure,Lower bound (25th percentile),-0.44,percentage,% of total proprietor or shareholder funds plus total liabilities,
2024,Cafes and restaurants,H4511,Small,Liability structure,Upper bound (75th percentile),0.32,percentage,% of total proprietor or shareholder funds plus total liabilities,
2024,Cafes and restaurants,H4511,Small,Liability structure,Median (50th percentile),0,percentage,% of total proprietor or shareholder funds plus total liabilities,
2024,Cafes and restaurants,H4511,Small,Salaries and wages / turnover ratio,Lower bound (25th percentile),0.17,percentage,% of turnover income,
2024,Cafes and restaurants,H4511,Small,Salaries and wages / turnover ratio,Upper bound (75th percentile),0.4,percentage,% of turnover income,
2024,Catering services,H4513,Micro,Liability structure,Lower bound (25th percentile),-0.13,percentage,% of total proprietor or shareholder funds plus total liabilities,
2024,Cafes and restaurants,H4511,Small,Salaries and wages / turnover ratio,Median (50th percentile),0.29,percentage,% of turnover income,
2024,Cafes and restaurants,H4511,Small,Quick ratio,Lower bound (25th percentile),0.06,percentage,% of total current liabilities,
2024,Cafes and restaurants,H4511,Small,Quick ratio,Upper bound (75th percentile),0.86,percentage,% of total current liabilities,
2024,Cafes and restaurants,H4511,Small,Quick ratio,Median (50th percentile),0.26,percentage,% of total current liabilities,
2024,Cafes and restaurants,H4511,Small,Current ratio,Lower bound (25th percentile),0.11,percentage,% of total current liabilities,
2024,Cafes and restaurants,H4511,Small,Current ratio,Upper bound (75th percentile),1.03,percentage,% of total current liabilities,
2024,Cafes and restaurants,H4511,Small,Current ratio,Median (50th percentile),0.35,percentage,% of total current liabilities,
2024,Cafes and restaurants,H4511,Small,Stock turnover per annum,Lower bound (25th percentile),15,number,Ratio,
2024,Cafes and restaurants,H4511,Small,Stock turnover per annum,Upper bound (75th percentile),50,number,Ratio,
2024,Cafes and restaurants,H4511,Small,Stock turnover per annum,Median (50th percentile),28,number,Ratio,
2024,Catering services,H4513,Large,Current ratio,Lower bound (25th percentile),0.44,percentage,% of total current liabilities,
2024,Catering services,H4513,Large,Current ratio,Upper bound (75th percentile),2,percentage,% of total current liabilities,
2024,Catering services,H4513,Large,Current ratio,Median (50th percentile),1.04,percentage,% of total current liabilities,
2024,Catering services,H4513,Large,Stock turnover per annum,Lower bound (25th percentile),20,number,Ratio,
2024,Catering services,H4513,Large,Stock turnover per annum,Upper bound (75th percentile),61,number,Ratio,
2024,Catering services,H4513,Large,Stock turnover per annum,Median (50th percentile),35,number,Ratio,
2024,Catering services,H4513,Large,Return on equity,Lower bound (25th percentile),0,percentage,% of total proprietor or shareholder funds,
2024,Catering services,H4513,Large,Return on equity,Upper bound (75th percentile),0.82,percentage,% of total proprietor or shareholder funds,
2024,Catering services,H4513,Large,Return on equity,Median (50th percentile),0.28,percentage,% of total proprietor or shareholder funds,
2024,Catering services,H4513,Large,Gross profit ratio,Lower bound (25th percentile),0.58,percentage,% of sales and/or services,
2024,Catering services,H4513,Large,Gross profit ratio,Upper bound (75th percentile),0.72,percentage,% of sales and/or services,
2024,Catering services,H4513,Large,Gross profit ratio,Median (50th percentile),0.65,percentage,% of sales and/or services,
2024,Catering services,H4513,Large,Return on total assets,Lower bound (25th percentile),0,percentage,% of total assets,
2024,Catering services,H4513,Large,Return on total assets,Upper bound (75th percentile),0.28,percentage,% of total assets,
2024,Catering services,H4513,Large,Return on total assets,Median (50th percentile),0.07,percentage,% of total assets,
2024,Catering services,H4513,Large,Liability structure,Lower bound (25th percentile),0,percentage,% of total proprietor or shareholder funds plus total liabilities,
2024,Catering services,H4513,Large,Liability structure,Upper bound (75th percentile),0.62,percentage,% of total proprietor or shareholder funds plus total liabilities,
2024,Catering services,H4513,Large,Liability structure,Median (50th percentile),0.22,percentage,% of total proprietor or shareholder funds plus total liabilities,
2024,Catering services,H4513,Large,Salaries and wages / turnover ratio,Lower bound (25th percentile),0.25,percentage,% of turnover income,
2024,Catering services,H4513,Large,Salaries and wages / turnover ratio,Upper bound (75th percentile),0.42,percentage,% of turnover income,
2024,Catering services,H4513,Large,Salaries and wages / turnover ratio,Median (50th percentile),0.33,percentage,% of turnover income,
2024,Catering services,H4513,Large,Quick ratio,Lower bound (25th percentile),0.35,percentage,% of total current liabilities,
2024,Catering services,H4513,Large,Quick ratio,Upper bound (75th percentile),1.85,percentage,% of total current liabilities,
2024,Catering services,H4513,Large,Quick ratio,Median (50th percentile),0.97,percentage,% of total current liabilities,
2024,Catering services,H4513,Medium,Current ratio,Lower bound (25th percentile),0.31,percentage,% of total current liabilities,
2024,Catering services,H4513,Medium,Current ratio,Upper bound (75th percentile),1.98,percentage,% of total current liabilities,
2024,Catering services,H4513,Medium,Current ratio,Median (50th percentile),0.73,percentage,% of total current liabilities,
2024,Catering services,H4513,Medium,Gross profit ratio,Lower bound (25th percentile),0.51,percentage,% of sales and/or services,
2024,Catering services,H4513,Medium,Gross profit ratio,Upper bound (75th percentile),0.68,percentage,% of sales and/or services,
2024,Catering services,H4513,Medium,Gross profit ratio,Median (50th percentile),0.62,percentage,% of sales and/or services,
2024,Catering services,H4513,Medium,Liability structure,Lower bound (25th percentile),-0.16,percentage,% of total proprietor or shareholder funds plus total liabilities,
2024,Catering services,H4513,Medium,Liability structure,Upper bound (75th percentile),0.52,percentage,% of total proprietor or shareholder funds plus total liabilities,
2024,Catering services,H4513,Medium,Liability structure,Median (50th percentile),0.02,percentage,% of total proprietor or shareholder funds plus total liabilities,
2024,Catering services,H4513,Medium,Quick ratio,Lower bound (25th percentile),0.26,percentage,% of total current liabilities,
2024,Catering services,H4513,Medium,Quick ratio,Upper bound (75th percentile),1.86,percentage,% of total current liabilities,
2024,Catering services,H4513,Medium,Quick ratio,Median (50th percentile),0.65,percentage,% of total current liabilities,
2024,Catering services,H4513,Medium,Stock turnover per annum,Lower bound (25th percentile),19,number,Ratio,
2024,Catering services,H4513,Medium,Stock turnover per annum,Upper bound (75th percentile),54,number,Ratio,
