Calendar Year,Measure,Item,Item Code,Code,Value,Value Unit,Value Label,Null Reason
2018,Imports (value for duty),Meat and edible meat offal,HS02,02,273208,nzd,NZD thousands,
2019,Imports (value for duty),Meat and edible meat offal,HS02,02,295748,nzd,NZD thousands,
2020,Imports (value for duty),Meat and edible meat offal,HS02,02,317712,nzd,NZD thousands,
2021,Imports (value for duty),Meat and edible meat offal,HS02,02,338019,nzd,NZD thousands,
2022,Imports (value for duty),Meat and edible meat offal,HS02,02,322218,nzd,NZD thousands,
2023,Imports (value for duty),Meat and edible meat offal,HS02,02,350848,nzd,NZD thousands,
2024,Imports (value for duty),Meat and edible meat offal,HS02,02,421746,nzd,NZD thousands,
2000,Imports (cost including insurance and freight),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,52389,nzd,NZD thousands,
2001,Imports (cost including insurance and freight),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,63168,nzd,NZD thousands,
2002,Imports (cost including insurance and freight),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,58049,nzd,NZD thousands,
2003,Imports (cost including insurance and freight),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,45924,nzd,NZD thousands,
2004,Imports (cost including insurance and freight),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,44907,nzd,NZD thousands,
2005,Imports (cost including insurance and freight),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,60481,nzd,NZD thousands,
2006,Imports (cost including insurance and freight),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,69789,nzd,NZD thousands,
2007,Imports (cost including insurance and freight),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,66910,nzd,NZD thousands,
2008,Imports (cost including insurance and freight),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,82901,nzd,NZD thousands,
2009,Imports (cost including insurance and freight),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,81655,nzd,NZD thousands,
2010,Imports (cost including insurance and freight),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,89178,nzd,NZD thousands,
2011,Imports (cost including insurance and freight),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,108370,nzd,NZD thousands,
2012,Imports (cost including insurance and freight),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,93635,nzd,NZD thousands,
2013,Imports (cost including insurance and freight),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,101320,nzd,NZD thousands,
2014,Imports (cost including insurance and freight),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,129029,nzd,NZD thousands,
2015,Imports (cost including insurance and freight),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,137526,nzd,NZD thousands,
2016,Imports (cost including insurance and freight),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,123176,nzd,NZD thousands,
2017,Imports (cost including insurance and freight),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,141927,nzd,NZD thousands,
2018,Imports (cost including insurance and freight),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,146936,nzd,NZD thousands,
2019,Imports (cost including insurance and freight),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,166512,nzd,NZD thousands,
