Year,Predominant field of study,Predominant field of study Code,Qualification,Qualification Code,Value,Value Unit,Value Label,Null Reason
2024,"Manufacturing, engineering and technology",S0301,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,45,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Masters degree,Masters Degree,15,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Doctorate degree,Doctorate Degree,0,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Total people,Total,470,number,Number of students enrolled,
2024,Process and resources engineering,S0303,Level 1 certificate,Level 1 Certificate,50,number,Number of students enrolled,
2024,Process and resources engineering,S0303,Level 2 certificate,Level 2 Certificate,65,number,Number of students enrolled,
2024,Process and resources engineering,S0303,Level 3 certificate,Level 3 Certificate,215,number,Number of students enrolled,
2024,Process and resources engineering,S0303,Level 4 certificate,Level 4 Certificate,120,number,Number of students enrolled,
2024,Process and resources engineering,S0303,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,405,number,Number of students enrolled,
2024,Process and resources engineering,S0303,Bachelor degree,Bachelor Degree,135,number,Number of students enrolled,
2024,Process and resources engineering,S0303,Graduate diploma/certificate,Graduate Diploma/Certificate,5,number,Number of students enrolled,
2024,Process and resources engineering,S0303,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,725,number,Number of students enrolled,
2024,Process and resources engineering,S0303,Masters degree,Masters Degree,310,number,Number of students enrolled,
2024,Process and resources engineering,S0303,Doctorate degree,Doctorate Degree,200,number,Number of students enrolled,
2024,Process and resources engineering,S0303,Total people,Total,2120,number,Number of students enrolled,
2024,Automotive engineering and technology,S0305,Level 1 certificate,Level 1 Certificate,255,number,Number of students enrolled,
2024,Automotive engineering and technology,S0305,Level 2 certificate,Level 2 Certificate,935,number,Number of students enrolled,
2024,Automotive engineering and technology,S0305,Level 3 certificate,Level 3 Certificate,3180,number,Number of students enrolled,
2024,Automotive engineering and technology,S0305,Level 4 certificate,Level 4 Certificate,915,number,Number of students enrolled,
2024,Automotive engineering and technology,S0305,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,90,number,Number of students enrolled,
2024,Automotive engineering and technology,S0305,Bachelor degree,Bachelor Degree,50,number,Number of students enrolled,
2024,Automotive engineering and technology,S0305,Graduate diploma/certificate,Graduate Diploma/Certificate,0,number,Number of students enrolled,
2024,Automotive engineering and technology,S0305,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,0,number,Number of students enrolled,
2024,Automotive engineering and technology,S0305,Masters degree,Masters Degree,0,number,Number of students enrolled,
2024,Automotive engineering and technology,S0305,Doctorate degree,Doctorate Degree,0,number,Number of students enrolled,
2024,Automotive engineering and technology,S0305,Total people,Total,5295,number,Number of students enrolled,
2024,Mechanical and industrial engineering and technology,S0307,Level 1 certificate,Level 1 Certificate,25,number,Number of students enrolled,
2024,Mechanical and industrial engineering and technology,S0307,Level 2 certificate,Level 2 Certificate,180,number,Number of students enrolled,
2024,Mechanical and industrial engineering and technology,S0307,Level 3 certificate,Level 3 Certificate,1660,number,Number of students enrolled,
2024,Mechanical and industrial engineering and technology,S0307,Level 4 certificate,Level 4 Certificate,1835,number,Number of students enrolled,
2024,Mechanical and industrial engineering and technology,S0307,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,545,number,Number of students enrolled,
2024,Mechanical and industrial engineering and technology,S0307,Bachelor degree,Bachelor Degree,620,number,Number of students enrolled,
2024,Mechanical and industrial engineering and technology,S0307,Graduate diploma/certificate,Graduate Diploma/Certificate,30,number,Number of students enrolled,
2024,Mechanical and industrial engineering and technology,S0307,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,2380,number,Number of students enrolled,
2024,Mechanical and industrial engineering and technology,S0307,Masters degree,Masters Degree,160,number,Number of students enrolled,
2024,Mechanical and industrial engineering and technology,S0307,Doctorate degree,Doctorate Degree,260,number,Number of students enrolled,
2024,Mechanical and industrial engineering and technology,S0307,Total people,Total,7510,number,Number of students enrolled,
2024,Civil engineering,S0309,Level 1 certificate,Level 1 Certificate,25,number,Number of students enrolled,
2024,Civil engineering,S0309,Level 2 certificate,Level 2 Certificate,560,number,Number of students enrolled,
2024,Civil engineering,S0309,Level 3 certificate,Level 3 Certificate,75,number,Number of students enrolled,
2024,Civil engineering,S0309,Level 4 certificate,Level 4 Certificate,1140,number,Number of students enrolled,
