Year,Predominant field of study,Predominant field of study Code,Qualification,Qualification Code,Student origin,Ethnic group,Value,Value Unit,Value Label,Null Reason
2024,Mathematical sciences,S0101,Level 1 certificate,Level 1 Certificate,Domestic,Pacific Peoples,0,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 1 certificate,Level 1 Certificate,Domestic,Asian,0,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 1 certificate,Level 1 Certificate,Domestic,Other,0,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 1 certificate,Level 1 Certificate,Domestic,Total,0,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 2 certificate,Level 2 Certificate,Domestic,European,5,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 2 certificate,Level 2 Certificate,Domestic,Māori,5,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 2 certificate,Level 2 Certificate,Domestic,Pacific Peoples,10,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 2 certificate,Level 2 Certificate,Domestic,Asian,5,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 2 certificate,Level 2 Certificate,Domestic,Other,0,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 2 certificate,Level 2 Certificate,Domestic,Total,10,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 3 certificate,Level 3 Certificate,Domestic,European,70,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 3 certificate,Level 3 Certificate,Domestic,Māori,25,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 3 certificate,Level 3 Certificate,Domestic,Pacific Peoples,40,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 3 certificate,Level 3 Certificate,Domestic,Asian,45,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 3 certificate,Level 3 Certificate,Domestic,Other,25,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 3 certificate,Level 3 Certificate,Domestic,Total,175,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 4 certificate,Level 4 Certificate,Domestic,European,260,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 4 certificate,Level 4 Certificate,Domestic,Māori,90,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 4 certificate,Level 4 Certificate,Domestic,Pacific Peoples,215,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 4 certificate,Level 4 Certificate,Domestic,Asian,350,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 4 certificate,Level 4 Certificate,Domestic,Other,75,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 4 certificate,Level 4 Certificate,Domestic,Total,785,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,European,245,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Māori,75,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Pacific Peoples,40,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Asian,45,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Other,20,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Total,355,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Bachelor degree,Bachelor Degree,Domestic,European,2780,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Bachelor degree,Bachelor Degree,Domestic,Māori,415,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Bachelor degree,Bachelor Degree,Domestic,Pacific Peoples,290,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Bachelor degree,Bachelor Degree,Domestic,Asian,1420,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Bachelor degree,Bachelor Degree,Domestic,Other,280,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Bachelor degree,Bachelor Degree,Domestic,Total,4455,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,European,55,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,Māori,5,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,Pacific Peoples,5,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,Asian,40,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,Other,5,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,Total,95,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,European,400,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,Māori,70,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,Pacific Peoples,35,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,Asian,255,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,Other,60,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,Total,715,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Masters degree,Masters Degree,Domestic,European,140,number,Number of students enrolled,
