Year,Predominant field of study,Predominant field of study Code,Qualification,Qualification Code,Student origin,Value,Value Unit,Value Label,Null Reason
2015,Natural and physical sciences,S01,Level 3 certificate,Level 3 Certificate,International,85,number,Number of students enrolled,
2016,Natural and physical sciences,S01,Level 3 certificate,Level 3 Certificate,International,25,number,Number of students enrolled,
2017,Natural and physical sciences,S01,Level 3 certificate,Level 3 Certificate,International,20,number,Number of students enrolled,
2018,Natural and physical sciences,S01,Level 3 certificate,Level 3 Certificate,International,10,number,Number of students enrolled,
2019,Natural and physical sciences,S01,Level 3 certificate,Level 3 Certificate,International,15,number,Number of students enrolled,
2020,Natural and physical sciences,S01,Level 3 certificate,Level 3 Certificate,International,200,number,Number of students enrolled,
2021,Natural and physical sciences,S01,Level 3 certificate,Level 3 Certificate,International,290,number,Number of students enrolled,
2022,Natural and physical sciences,S01,Level 3 certificate,Level 3 Certificate,International,205,number,Number of students enrolled,
2023,Natural and physical sciences,S01,Level 3 certificate,Level 3 Certificate,International,190,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 3 certificate,Level 3 Certificate,International,130,number,Number of students enrolled,
2015,Natural and physical sciences,S01,Level 3 certificate,Level 3 Certificate,Total,1150,number,Number of students enrolled,
2016,Natural and physical sciences,S01,Level 3 certificate,Level 3 Certificate,Total,940,number,Number of students enrolled,
2017,Natural and physical sciences,S01,Level 3 certificate,Level 3 Certificate,Total,930,number,Number of students enrolled,
2018,Natural and physical sciences,S01,Level 3 certificate,Level 3 Certificate,Total,695,number,Number of students enrolled,
2019,Natural and physical sciences,S01,Level 3 certificate,Level 3 Certificate,Total,625,number,Number of students enrolled,
2020,Natural and physical sciences,S01,Level 3 certificate,Level 3 Certificate,Total,730,number,Number of students enrolled,
2021,Natural and physical sciences,S01,Level 3 certificate,Level 3 Certificate,Total,850,number,Number of students enrolled,
2022,Natural and physical sciences,S01,Level 3 certificate,Level 3 Certificate,Total,590,number,Number of students enrolled,
2023,Natural and physical sciences,S01,Level 3 certificate,Level 3 Certificate,Total,590,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 3 certificate,Level 3 Certificate,Total,365,number,Number of students enrolled,
2015,Natural and physical sciences,S01,Level 4 certificate,Level 4 Certificate,Domestic,2190,number,Number of students enrolled,
2016,Natural and physical sciences,S01,Level 4 certificate,Level 4 Certificate,Domestic,2155,number,Number of students enrolled,
2017,Natural and physical sciences,S01,Level 4 certificate,Level 4 Certificate,Domestic,1880,number,Number of students enrolled,
2018,Natural and physical sciences,S01,Level 4 certificate,Level 4 Certificate,Domestic,2285,number,Number of students enrolled,
2019,Natural and physical sciences,S01,Level 4 certificate,Level 4 Certificate,Domestic,2165,number,Number of students enrolled,
2020,Natural and physical sciences,S01,Level 4 certificate,Level 4 Certificate,Domestic,2400,number,Number of students enrolled,
2021,Natural and physical sciences,S01,Level 4 certificate,Level 4 Certificate,Domestic,2525,number,Number of students enrolled,
2022,Natural and physical sciences,S01,Level 4 certificate,Level 4 Certificate,Domestic,2290,number,Number of students enrolled,
2023,Natural and physical sciences,S01,Level 4 certificate,Level 4 Certificate,Domestic,2460,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 4 certificate,Level 4 Certificate,Domestic,2350,number,Number of students enrolled,
2015,Natural and physical sciences,S01,Level 4 certificate,Level 4 Certificate,International,280,number,Number of students enrolled,
2016,Natural and physical sciences,S01,Level 4 certificate,Level 4 Certificate,International,245,number,Number of students enrolled,
2017,Natural and physical sciences,S01,Level 4 certificate,Level 4 Certificate,International,180,number,Number of students enrolled,
2018,Natural and physical sciences,S01,Level 4 certificate,Level 4 Certificate,International,175,number,Number of students enrolled,
2019,Natural and physical sciences,S01,Level 4 certificate,Level 4 Certificate,International,150,number,Number of students enrolled,
2020,Natural and physical sciences,S01,Level 4 certificate,Level 4 Certificate,International,115,number,Number of students enrolled,
2021,Natural and physical sciences,S01,Level 4 certificate,Level 4 Certificate,International,125,number,Number of students enrolled,
2022,Natural and physical sciences,S01,Level 4 certificate,Level 4 Certificate,International,115,number,Number of students enrolled,
2023,Natural and physical sciences,S01,Level 4 certificate,Level 4 Certificate,International,145,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 4 certificate,Level 4 Certificate,International,220,number,Number of students enrolled,
2015,Natural and physical sciences,S01,Level 4 certificate,Level 4 Certificate,Total,2465,number,Number of students enrolled,
2016,Natural and physical sciences,S01,Level 4 certificate,Level 4 Certificate,Total,2400,number,Number of students enrolled,
2017,Natural and physical sciences,S01,Level 4 certificate,Level 4 Certificate,Total,2060,number,Number of students enrolled,
2018,Natural and physical sciences,S01,Level 4 certificate,Level 4 Certificate,Total,2465,number,Number of students enrolled,
2019,Natural and physical sciences,S01,Level 4 certificate,Level 4 Certificate,Total,2310,number,Number of students enrolled,
2020,Natural and physical sciences,S01,Level 4 certificate,Level 4 Certificate,Total,2515,number,Number of students enrolled,
2021,Natural and physical sciences,S01,Level 4 certificate,Level 4 Certificate,Total,2645,number,Number of students enrolled,
2022,Natural and physical sciences,S01,Level 4 certificate,Level 4 Certificate,Total,2400,number,Number of students enrolled,
2023,Natural and physical sciences,S01,Level 4 certificate,Level 4 Certificate,Total,2605,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 4 certificate,Level 4 Certificate,Total,2570,number,Number of students enrolled,
2015,Natural and physical sciences,S01,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,1440,number,Number of students enrolled,
2016,Natural and physical sciences,S01,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,1445,number,Number of students enrolled,
2017,Natural and physical sciences,S01,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,1300,number,Number of students enrolled,
2018,Natural and physical sciences,S01,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,1405,number,Number of students enrolled,
2019,Natural and physical sciences,S01,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,1320,number,Number of students enrolled,
2020,Natural and physical sciences,S01,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,1390,number,Number of students enrolled,
2021,Natural and physical sciences,S01,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,1410,number,Number of students enrolled,
2022,Natural and physical sciences,S01,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,1255,number,Number of students enrolled,
2023,Natural and physical sciences,S01,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,1155,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,1185,number,Number of students enrolled,
2015,Natural and physical sciences,S01,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,International,195,number,Number of students enrolled,
2016,Natural and physical sciences,S01,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,International,195,number,Number of students enrolled,
2017,Natural and physical sciences,S01,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,International,215,number,Number of students enrolled,
2018,Natural and physical sciences,S01,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,International,185,number,Number of students enrolled,
2019,Natural and physical sciences,S01,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,International,155,number,Number of students enrolled,
2020,Natural and physical sciences,S01,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,International,115,number,Number of students enrolled,
2021,Natural and physical sciences,S01,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,International,80,number,Number of students enrolled,
2022,Natural and physical sciences,S01,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,International,35,number,Number of students enrolled,
2023,Natural and physical sciences,S01,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,International,40,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,International,55,number,Number of students enrolled,
2015,Natural and physical sciences,S01,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Total,1635,number,Number of students enrolled,
2016,Natural and physical sciences,S01,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Total,1640,number,Number of students enrolled,
2017,Natural and physical sciences,S01,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Total,1515,number,Number of students enrolled,
2018,Natural and physical sciences,S01,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Total,1590,number,Number of students enrolled,
2019,Natural and physical sciences,S01,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Total,1480,number,Number of students enrolled,
2020,Natural and physical sciences,S01,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Total,1510,number,Number of students enrolled,
2021,Natural and physical sciences,S01,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Total,1490,number,Number of students enrolled,
2022,Natural and physical sciences,S01,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Total,1290,number,Number of students enrolled,
2023,Natural and physical sciences,S01,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Total,1195,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Total,1240,number,Number of students enrolled,
2015,Natural and physical sciences,S01,Bachelor degree,Bachelor Degree,Domestic,18045,number,Number of students enrolled,
2016,Natural and physical sciences,S01,Bachelor degree,Bachelor Degree,Domestic,17700,number,Number of students enrolled,
2017,Natural and physical sciences,S01,Bachelor degree,Bachelor Degree,Domestic,17270,number,Number of students enrolled,
2018,Natural and physical sciences,S01,Bachelor degree,Bachelor Degree,Domestic,17240,number,Number of students enrolled,
2019,Natural and physical sciences,S01,Bachelor degree,Bachelor Degree,Domestic,17185,number,Number of students enrolled,
2020,Natural and physical sciences,S01,Bachelor degree,Bachelor Degree,Domestic,17310,number,Number of students enrolled,
2021,Natural and physical sciences,S01,Bachelor degree,Bachelor Degree,Domestic,17995,number,Number of students enrolled,
2022,Natural and physical sciences,S01,Bachelor degree,Bachelor Degree,Domestic,16850,number,Number of students enrolled,
2023,Natural and physical sciences,S01,Bachelor degree,Bachelor Degree,Domestic,16180,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Bachelor degree,Bachelor Degree,Domestic,15815,number,Number of students enrolled,
2015,Natural and physical sciences,S01,Bachelor degree,Bachelor Degree,International,2750,number,Number of students enrolled,
2016,Natural and physical sciences,S01,Bachelor degree,Bachelor Degree,International,2785,number,Number of students enrolled,
2017,Natural and physical sciences,S01,Bachelor degree,Bachelor Degree,International,2820,number,Number of students enrolled,
2018,Natural and physical sciences,S01,Bachelor degree,Bachelor Degree,International,3035,number,Number of students enrolled,
2019,Natural and physical sciences,S01,Bachelor degree,Bachelor Degree,International,3235,number,Number of students enrolled,
2020,Natural and physical sciences,S01,Bachelor degree,Bachelor Degree,International,2790,number,Number of students enrolled,
