Year,Predominant field of study,Predominant field of study Code,Qualification,Qualification Code,Student origin,Value,Value Unit,Value Label,Null Reason
2017,Tourism,S0807,Doctorate degree,Doctorate Degree,Total,60,number,Number of students enrolled,
2018,Tourism,S0807,Doctorate degree,Doctorate Degree,Total,60,number,Number of students enrolled,
2019,Tourism,S0807,Doctorate degree,Doctorate Degree,Total,60,number,Number of students enrolled,
2020,Tourism,S0807,Doctorate degree,Doctorate Degree,Total,60,number,Number of students enrolled,
2021,Tourism,S0807,Doctorate degree,Doctorate Degree,Total,55,number,Number of students enrolled,
2022,Tourism,S0807,Doctorate degree,Doctorate Degree,Total,55,number,Number of students enrolled,
2023,Tourism,S0807,Doctorate degree,Doctorate Degree,Total,65,number,Number of students enrolled,
2024,Tourism,S0807,Doctorate degree,Doctorate Degree,Total,65,number,Number of students enrolled,
2015,Tourism,S0807,Total people,Total,Domestic,5105,number,Number of students enrolled,
2016,Tourism,S0807,Total people,Total,Domestic,4865,number,Number of students enrolled,
2017,Tourism,S0807,Total people,Total,Domestic,4325,number,Number of students enrolled,
2018,Tourism,S0807,Total people,Total,Domestic,3990,number,Number of students enrolled,
2019,Tourism,S0807,Total people,Total,Domestic,3870,number,Number of students enrolled,
2020,Tourism,S0807,Total people,Total,Domestic,3555,number,Number of students enrolled,
2021,Tourism,S0807,Total people,Total,Domestic,2615,number,Number of students enrolled,
2022,Tourism,S0807,Total people,Total,Domestic,1850,number,Number of students enrolled,
2023,Tourism,S0807,Total people,Total,Domestic,1635,number,Number of students enrolled,
2024,Tourism,S0807,Total people,Total,Domestic,1670,number,Number of students enrolled,
2015,Tourism,S0807,Total people,Total,International,705,number,Number of students enrolled,
2016,Tourism,S0807,Total people,Total,International,745,number,Number of students enrolled,
2017,Tourism,S0807,Total people,Total,International,725,number,Number of students enrolled,
2018,Tourism,S0807,Total people,Total,International,640,number,Number of students enrolled,
2019,Tourism,S0807,Total people,Total,International,620,number,Number of students enrolled,
2020,Tourism,S0807,Total people,Total,International,500,number,Number of students enrolled,
2021,Tourism,S0807,Total people,Total,International,445,number,Number of students enrolled,
2022,Tourism,S0807,Total people,Total,International,240,number,Number of students enrolled,
2023,Tourism,S0807,Total people,Total,International,290,number,Number of students enrolled,
2024,Tourism,S0807,Total people,Total,International,255,number,Number of students enrolled,
2015,Tourism,S0807,Total people,Total,Total,5815,number,Number of students enrolled,
2016,Tourism,S0807,Total people,Total,Total,5610,number,Number of students enrolled,
2017,Tourism,S0807,Total people,Total,Total,5050,number,Number of students enrolled,
2018,Tourism,S0807,Total people,Total,Total,4630,number,Number of students enrolled,
2019,Tourism,S0807,Total people,Total,Total,4495,number,Number of students enrolled,
2020,Tourism,S0807,Total people,Total,Total,4055,number,Number of students enrolled,
2021,Tourism,S0807,Total people,Total,Total,3060,number,Number of students enrolled,
2022,Tourism,S0807,Total people,Total,Total,2090,number,Number of students enrolled,
2023,Tourism,S0807,Total people,Total,Total,1925,number,Number of students enrolled,
2024,Tourism,S0807,Total people,Total,Total,1925,number,Number of students enrolled,
2015,Office administration,S0809,Level 1 certificate,Level 1 Certificate,Domestic,605,number,Number of students enrolled,
2016,Office administration,S0809,Level 1 certificate,Level 1 Certificate,Domestic,400,number,Number of students enrolled,
2017,Office administration,S0809,Level 1 certificate,Level 1 Certificate,Domestic,300,number,Number of students enrolled,
2018,Office administration,S0809,Level 1 certificate,Level 1 Certificate,Domestic,25,number,Number of students enrolled,
2019,Office administration,S0809,Level 1 certificate,Level 1 Certificate,Domestic,30,number,Number of students enrolled,
2020,Office administration,S0809,Level 1 certificate,Level 1 Certificate,Domestic,40,number,Number of students enrolled,
2021,Office administration,S0809,Level 1 certificate,Level 1 Certificate,Domestic,35,number,Number of students enrolled,
2022,Office administration,S0809,Level 1 certificate,Level 1 Certificate,Domestic,5,number,Number of students enrolled,
2023,Office administration,S0809,Level 1 certificate,Level 1 Certificate,Domestic,15,number,Number of students enrolled,
2024,Office administration,S0809,Level 1 certificate,Level 1 Certificate,Domestic,5,number,Number of students enrolled,
2015,Office administration,S0809,Level 1 certificate,Level 1 Certificate,International,0,number,Number of students enrolled,
2016,Office administration,S0809,Level 1 certificate,Level 1 Certificate,International,0,number,Number of students enrolled,
2017,Office administration,S0809,Level 1 certificate,Level 1 Certificate,International,0,number,Number of students enrolled,
2018,Office administration,S0809,Level 1 certificate,Level 1 Certificate,International,0,number,Number of students enrolled,
2019,Office administration,S0809,Level 1 certificate,Level 1 Certificate,International,0,number,Number of students enrolled,
2020,Office administration,S0809,Level 1 certificate,Level 1 Certificate,International,0,number,Number of students enrolled,
2021,Office administration,S0809,Level 1 certificate,Level 1 Certificate,International,0,number,Number of students enrolled,
2022,Office administration,S0809,Level 1 certificate,Level 1 Certificate,International,0,number,Number of students enrolled,
2023,Office administration,S0809,Level 1 certificate,Level 1 Certificate,International,0,number,Number of students enrolled,
2024,Office administration,S0809,Level 1 certificate,Level 1 Certificate,International,0,number,Number of students enrolled,
2015,Office administration,S0809,Level 1 certificate,Level 1 Certificate,Total,605,number,Number of students enrolled,
2016,Office administration,S0809,Level 1 certificate,Level 1 Certificate,Total,400,number,Number of students enrolled,
2017,Office administration,S0809,Level 1 certificate,Level 1 Certificate,Total,300,number,Number of students enrolled,
2018,Office administration,S0809,Level 1 certificate,Level 1 Certificate,Total,25,number,Number of students enrolled,
2019,Office administration,S0809,Level 1 certificate,Level 1 Certificate,Total,30,number,Number of students enrolled,
2020,Office administration,S0809,Level 1 certificate,Level 1 Certificate,Total,40,number,Number of students enrolled,
2021,Office administration,S0809,Level 1 certificate,Level 1 Certificate,Total,35,number,Number of students enrolled,
2022,Office administration,S0809,Level 1 certificate,Level 1 Certificate,Total,5,number,Number of students enrolled,
2023,Office administration,S0809,Level 1 certificate,Level 1 Certificate,Total,15,number,Number of students enrolled,
2024,Office administration,S0809,Level 1 certificate,Level 1 Certificate,Total,5,number,Number of students enrolled,
2015,Office administration,S0809,Level 2 certificate,Level 2 Certificate,Domestic,4500,number,Number of students enrolled,
2016,Office administration,S0809,Level 2 certificate,Level 2 Certificate,Domestic,3730,number,Number of students enrolled,
2017,Office administration,S0809,Level 2 certificate,Level 2 Certificate,Domestic,2490,number,Number of students enrolled,
2018,Office administration,S0809,Level 2 certificate,Level 2 Certificate,Domestic,1855,number,Number of students enrolled,
2019,Office administration,S0809,Level 2 certificate,Level 2 Certificate,Domestic,1075,number,Number of students enrolled,
2020,Office administration,S0809,Level 2 certificate,Level 2 Certificate,Domestic,850,number,Number of students enrolled,
2021,Office administration,S0809,Level 2 certificate,Level 2 Certificate,Domestic,850,number,Number of students enrolled,
2022,Office administration,S0809,Level 2 certificate,Level 2 Certificate,Domestic,1185,number,Number of students enrolled,
2023,Office administration,S0809,Level 2 certificate,Level 2 Certificate,Domestic,1570,number,Number of students enrolled,
2024,Office administration,S0809,Level 2 certificate,Level 2 Certificate,Domestic,1820,number,Number of students enrolled,
2015,Office administration,S0809,Level 2 certificate,Level 2 Certificate,International,5,number,Number of students enrolled,
2016,Office administration,S0809,Level 2 certificate,Level 2 Certificate,International,5,number,Number of students enrolled,
2017,Office administration,S0809,Level 2 certificate,Level 2 Certificate,International,0,number,Number of students enrolled,
2018,Office administration,S0809,Level 2 certificate,Level 2 Certificate,International,0,number,Number of students enrolled,
2019,Office administration,S0809,Level 2 certificate,Level 2 Certificate,International,0,number,Number of students enrolled,
2020,Office administration,S0809,Level 2 certificate,Level 2 Certificate,International,5,number,Number of students enrolled,
2021,Office administration,S0809,Level 2 certificate,Level 2 Certificate,International,5,number,Number of students enrolled,
2022,Office administration,S0809,Level 2 certificate,Level 2 Certificate,International,5,number,Number of students enrolled,
2023,Office administration,S0809,Level 2 certificate,Level 2 Certificate,International,0,number,Number of students enrolled,
2024,Office administration,S0809,Level 2 certificate,Level 2 Certificate,International,5,number,Number of students enrolled,
2015,Office administration,S0809,Level 2 certificate,Level 2 Certificate,Total,4505,number,Number of students enrolled,
2016,Office administration,S0809,Level 2 certificate,Level 2 Certificate,Total,3735,number,Number of students enrolled,
2017,Office administration,S0809,Level 2 certificate,Level 2 Certificate,Total,2490,number,Number of students enrolled,
2018,Office administration,S0809,Level 2 certificate,Level 2 Certificate,Total,1855,number,Number of students enrolled,
2019,Office administration,S0809,Level 2 certificate,Level 2 Certificate,Total,1075,number,Number of students enrolled,
2020,Office administration,S0809,Level 2 certificate,Level 2 Certificate,Total,850,number,Number of students enrolled,
2021,Office administration,S0809,Level 2 certificate,Level 2 Certificate,Total,850,number,Number of students enrolled,
2022,Office administration,S0809,Level 2 certificate,Level 2 Certificate,Total,1185,number,Number of students enrolled,
2023,Office administration,S0809,Level 2 certificate,Level 2 Certificate,Total,1570,number,Number of students enrolled,
2024,Office administration,S0809,Level 2 certificate,Level 2 Certificate,Total,1820,number,Number of students enrolled,
2015,Office administration,S0809,Level 3 certificate,Level 3 Certificate,Domestic,6485,number,Number of students enrolled,
2016,Office administration,S0809,Level 3 certificate,Level 3 Certificate,Domestic,5355,number,Number of students enrolled,
2017,Office administration,S0809,Level 3 certificate,Level 3 Certificate,Domestic,4500,number,Number of students enrolled,
2018,Office administration,S0809,Level 3 certificate,Level 3 Certificate,Domestic,3650,number,Number of students enrolled,
2019,Office administration,S0809,Level 3 certificate,Level 3 Certificate,Domestic,4130,number,Number of students enrolled,
2020,Office administration,S0809,Level 3 certificate,Level 3 Certificate,Domestic,4835,number,Number of students enrolled,
2021,Office administration,S0809,Level 3 certificate,Level 3 Certificate,Domestic,5115,number,Number of students enrolled,
2022,Office administration,S0809,Level 3 certificate,Level 3 Certificate,Domestic,4505,number,Number of students enrolled,
2023,Office administration,S0809,Level 3 certificate,Level 3 Certificate,Domestic,3980,number,Number of students enrolled,
2024,Office administration,S0809,Level 3 certificate,Level 3 Certificate,Domestic,2350,number,Number of students enrolled,
2015,Office administration,S0809,Level 3 certificate,Level 3 Certificate,International,10,number,Number of students enrolled,
2016,Office administration,S0809,Level 3 certificate,Level 3 Certificate,International,10,number,Number of students enrolled,
2017,Office administration,S0809,Level 3 certificate,Level 3 Certificate,International,5,number,Number of students enrolled,
2018,Office administration,S0809,Level 3 certificate,Level 3 Certificate,International,5,number,Number of students enrolled,
2019,Office administration,S0809,Level 3 certificate,Level 3 Certificate,International,5,number,Number of students enrolled,
2020,Office administration,S0809,Level 3 certificate,Level 3 Certificate,International,5,number,Number of students enrolled,
2021,Office administration,S0809,Level 3 certificate,Level 3 Certificate,International,5,number,Number of students enrolled,
2022,Office administration,S0809,Level 3 certificate,Level 3 Certificate,International,5,number,Number of students enrolled,
2023,Office administration,S0809,Level 3 certificate,Level 3 Certificate,International,5,number,Number of students enrolled,
2024,Office administration,S0809,Level 3 certificate,Level 3 Certificate,International,15,number,Number of students enrolled,
2015,Office administration,S0809,Level 3 certificate,Level 3 Certificate,Total,6495,number,Number of students enrolled,
2016,Office administration,S0809,Level 3 certificate,Level 3 Certificate,Total,5365,number,Number of students enrolled,
2017,Office administration,S0809,Level 3 certificate,Level 3 Certificate,Total,4500,number,Number of students enrolled,
2018,Office administration,S0809,Level 3 certificate,Level 3 Certificate,Total,3660,number,Number of students enrolled,
2019,Office administration,S0809,Level 3 certificate,Level 3 Certificate,Total,4135,number,Number of students enrolled,
2020,Office administration,S0809,Level 3 certificate,Level 3 Certificate,Total,4845,number,Number of students enrolled,
2021,Office administration,S0809,Level 3 certificate,Level 3 Certificate,Total,5120,number,Number of students enrolled,
2022,Office administration,S0809,Level 3 certificate,Level 3 Certificate,Total,4505,number,Number of students enrolled,
2023,Office administration,S0809,Level 3 certificate,Level 3 Certificate,Total,3985,number,Number of students enrolled,
2024,Office administration,S0809,Level 3 certificate,Level 3 Certificate,Total,2365,number,Number of students enrolled,
2015,Office administration,S0809,Level 4 certificate,Level 4 Certificate,Domestic,1910,number,Number of students enrolled,
2016,Office administration,S0809,Level 4 certificate,Level 4 Certificate,Domestic,1545,number,Number of students enrolled,
2017,Office administration,S0809,Level 4 certificate,Level 4 Certificate,Domestic,1150,number,Number of students enrolled,
2018,Office administration,S0809,Level 4 certificate,Level 4 Certificate,Domestic,620,number,Number of students enrolled,
2019,Office administration,S0809,Level 4 certificate,Level 4 Certificate,Domestic,345,number,Number of students enrolled,
2020,Office administration,S0809,Level 4 certificate,Level 4 Certificate,Domestic,305,number,Number of students enrolled,
2021,Office administration,S0809,Level 4 certificate,Level 4 Certificate,Domestic,245,number,Number of students enrolled,
2022,Office administration,S0809,Level 4 certificate,Level 4 Certificate,Domestic,175,number,Number of students enrolled,
2023,Office administration,S0809,Level 4 certificate,Level 4 Certificate,Domestic,125,number,Number of students enrolled,
2024,Office administration,S0809,Level 4 certificate,Level 4 Certificate,Domestic,40,number,Number of students enrolled,
2015,Office administration,S0809,Level 4 certificate,Level 4 Certificate,International,5,number,Number of students enrolled,
2016,Office administration,S0809,Level 4 certificate,Level 4 Certificate,International,5,number,Number of students enrolled,
2017,Office administration,S0809,Level 4 certificate,Level 4 Certificate,International,5,number,Number of students enrolled,
2018,Office administration,S0809,Level 4 certificate,Level 4 Certificate,International,0,number,Number of students enrolled,
2019,Office administration,S0809,Level 4 certificate,Level 4 Certificate,International,0,number,Number of students enrolled,
2020,Office administration,S0809,Level 4 certificate,Level 4 Certificate,International,5,number,Number of students enrolled,
2021,Office administration,S0809,Level 4 certificate,Level 4 Certificate,International,0,number,Number of students enrolled,
2022,Office administration,S0809,Level 4 certificate,Level 4 Certificate,International,0,number,Number of students enrolled,
2023,Office administration,S0809,Level 4 certificate,Level 4 Certificate,International,0,number,Number of students enrolled,
2024,Office administration,S0809,Level 4 certificate,Level 4 Certificate,International,0,number,Number of students enrolled,
2015,Office administration,S0809,Level 4 certificate,Level 4 Certificate,Total,1915,number,Number of students enrolled,
2016,Office administration,S0809,Level 4 certificate,Level 4 Certificate,Total,1545,number,Number of students enrolled,
2017,Office administration,S0809,Level 4 certificate,Level 4 Certificate,Total,1150,number,Number of students enrolled,
2018,Office administration,S0809,Level 4 certificate,Level 4 Certificate,Total,620,number,Number of students enrolled,
2019,Office administration,S0809,Level 4 certificate,Level 4 Certificate,Total,345,number,Number of students enrolled,
2020,Office administration,S0809,Level 4 certificate,Level 4 Certificate,Total,305,number,Number of students enrolled,
2021,Office administration,S0809,Level 4 certificate,Level 4 Certificate,Total,245,number,Number of students enrolled,
2022,Office administration,S0809,Level 4 certificate,Level 4 Certificate,Total,175,number,Number of students enrolled,
2023,Office administration,S0809,Level 4 certificate,Level 4 Certificate,Total,125,number,Number of students enrolled,
2024,Office administration,S0809,Level 4 certificate,Level 4 Certificate,Total,40,number,Number of students enrolled,
2015,Office administration,S0809,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,365,number,Number of students enrolled,
2016,Office administration,S0809,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,225,number,Number of students enrolled,
2017,Office administration,S0809,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,70,number,Number of students enrolled,
2018,Office administration,S0809,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,40,number,Number of students enrolled,
2019,Office administration,S0809,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,20,number,Number of students enrolled,
2020,Office administration,S0809,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,15,number,Number of students enrolled,
2021,Office administration,S0809,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,15,number,Number of students enrolled,
2022,Office administration,S0809,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,20,number,Number of students enrolled,
2023,Office administration,S0809,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,5,number,Number of students enrolled,
2024,Office administration,S0809,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,5,number,Number of students enrolled,
2015,Office administration,S0809,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,International,285,number,Number of students enrolled,
2016,Office administration,S0809,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,International,185,number,Number of students enrolled,
2017,Office administration,S0809,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,International,80,number,Number of students enrolled,
2018,Office administration,S0809,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,International,5,number,Number of students enrolled,
2019,Office administration,S0809,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,International,0,number,Number of students enrolled,
2020,Office administration,S0809,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,International,0,number,Number of students enrolled,
2021,Office administration,S0809,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,International,5,number,Number of students enrolled,
2022,Office administration,S0809,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,International,0,number,Number of students enrolled,
2023,Office administration,S0809,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,International,0,number,Number of students enrolled,
2024,Office administration,S0809,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,International,0,number,Number of students enrolled,
2015,Office administration,S0809,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Total,650,number,Number of students enrolled,
2016,Office administration,S0809,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Total,410,number,Number of students enrolled,
2017,Office administration,S0809,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Total,150,number,Number of students enrolled,
2018,Office administration,S0809,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Total,40,number,Number of students enrolled,
2019,Office administration,S0809,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Total,20,number,Number of students enrolled,
2020,Office administration,S0809,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Total,15,number,Number of students enrolled,
2021,Office administration,S0809,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Total,20,number,Number of students enrolled,
2022,Office administration,S0809,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Total,20,number,Number of students enrolled,
2023,Office administration,S0809,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Total,5,number,Number of students enrolled,
2024,Office administration,S0809,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Total,5,number,Number of students enrolled,
2015,Office administration,S0809,Bachelor degree,Bachelor Degree,Domestic,140,number,Number of students enrolled,
2016,Office administration,S0809,Bachelor degree,Bachelor Degree,Domestic,190,number,Number of students enrolled,
2017,Office administration,S0809,Bachelor degree,Bachelor Degree,Domestic,140,number,Number of students enrolled,
2018,Office administration,S0809,Bachelor degree,Bachelor Degree,Domestic,60,number,Number of students enrolled,
2019,Office administration,S0809,Bachelor degree,Bachelor Degree,Domestic,15,number,Number of students enrolled,
2020,Office administration,S0809,Bachelor degree,Bachelor Degree,Domestic,5,number,Number of students enrolled,
2021,Office administration,S0809,Bachelor degree,Bachelor Degree,Domestic,5,number,Number of students enrolled,
2022,Office administration,S0809,Bachelor degree,Bachelor Degree,Domestic,5,number,Number of students enrolled,
2023,Office administration,S0809,Bachelor degree,Bachelor Degree,Domestic,0,number,Number of students enrolled,
2024,Office administration,S0809,Bachelor degree,Bachelor Degree,Domestic,0,number,Number of students enrolled,
2015,Office administration,S0809,Bachelor degree,Bachelor Degree,International,45,number,Number of students enrolled,
2016,Office administration,S0809,Bachelor degree,Bachelor Degree,International,20,number,Number of students enrolled,
2017,Office administration,S0809,Bachelor degree,Bachelor Degree,International,5,number,Number of students enrolled,
2018,Office administration,S0809,Bachelor degree,Bachelor Degree,International,5,number,Number of students enrolled,
2019,Office administration,S0809,Bachelor degree,Bachelor Degree,International,0,number,Number of students enrolled,
2020,Office administration,S0809,Bachelor degree,Bachelor Degree,International,0,number,Number of students enrolled,
2021,Office administration,S0809,Bachelor degree,Bachelor Degree,International,0,number,Number of students enrolled,
2022,Office administration,S0809,Bachelor degree,Bachelor Degree,International,0,number,Number of students enrolled,
2023,Office administration,S0809,Bachelor degree,Bachelor Degree,International,0,number,Number of students enrolled,
2024,Office administration,S0809,Bachelor degree,Bachelor Degree,International,0,number,Number of students enrolled,
2015,Office administration,S0809,Bachelor degree,Bachelor Degree,Total,185,number,Number of students enrolled,
2016,Office administration,S0809,Bachelor degree,Bachelor Degree,Total,210,number,Number of students enrolled,
2017,Office administration,S0809,Bachelor degree,Bachelor Degree,Total,145,number,Number of students enrolled,
2018,Office administration,S0809,Bachelor degree,Bachelor Degree,Total,65,number,Number of students enrolled,
2019,Office administration,S0809,Bachelor degree,Bachelor Degree,Total,15,number,Number of students enrolled,
2020,Office administration,S0809,Bachelor degree,Bachelor Degree,Total,5,number,Number of students enrolled,
2021,Office administration,S0809,Bachelor degree,Bachelor Degree,Total,5,number,Number of students enrolled,
2022,Office administration,S0809,Bachelor degree,Bachelor Degree,Total,5,number,Number of students enrolled,
2023,Office administration,S0809,Bachelor degree,Bachelor Degree,Total,0,number,Number of students enrolled,
2024,Office administration,S0809,Bachelor degree,Bachelor Degree,Total,0,number,Number of students enrolled,
2015,Office administration,S0809,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,5,number,Number of students enrolled,
2016,Office administration,S0809,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,0,number,Number of students enrolled,
2017,Office administration,S0809,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,0,number,Number of students enrolled,
2018,Office administration,S0809,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,0,number,Number of students enrolled,
2019,Office administration,S0809,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,5,number,Number of students enrolled,
2020,Office administration,S0809,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,0,number,Number of students enrolled,
2021,Office administration,S0809,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,0,number,Number of students enrolled,
2022,Office administration,S0809,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,0,number,Number of students enrolled,
2023,Office administration,S0809,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,0,number,Number of students enrolled,
2024,Office administration,S0809,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,0,number,Number of students enrolled,
2015,Office administration,S0809,Graduate diploma/certificate,Graduate Diploma/Certificate,International,15,number,Number of students enrolled,
2016,Office administration,S0809,Graduate diploma/certificate,Graduate Diploma/Certificate,International,10,number,Number of students enrolled,
2017,Office administration,S0809,Graduate diploma/certificate,Graduate Diploma/Certificate,International,10,number,Number of students enrolled,
2018,Office administration,S0809,Graduate diploma/certificate,Graduate Diploma/Certificate,International,15,number,Number of students enrolled,
2019,Office administration,S0809,Graduate diploma/certificate,Graduate Diploma/Certificate,International,0,number,Number of students enrolled,
2020,Office administration,S0809,Graduate diploma/certificate,Graduate Diploma/Certificate,International,20,number,Number of students enrolled,
2021,Office administration,S0809,Graduate diploma/certificate,Graduate Diploma/Certificate,International,10,number,Number of students enrolled,
2022,Office administration,S0809,Graduate diploma/certificate,Graduate Diploma/Certificate,International,5,number,Number of students enrolled,
2023,Office administration,S0809,Graduate diploma/certificate,Graduate Diploma/Certificate,International,10,number,Number of students enrolled,
2024,Office administration,S0809,Graduate diploma/certificate,Graduate Diploma/Certificate,International,0,number,Number of students enrolled,
2015,Office administration,S0809,Graduate diploma/certificate,Graduate Diploma/Certificate,Total,15,number,Number of students enrolled,
2016,Office administration,S0809,Graduate diploma/certificate,Graduate Diploma/Certificate,Total,10,number,Number of students enrolled,
2017,Office administration,S0809,Graduate diploma/certificate,Graduate Diploma/Certificate,Total,10,number,Number of students enrolled,
2018,Office administration,S0809,Graduate diploma/certificate,Graduate Diploma/Certificate,Total,15,number,Number of students enrolled,
2019,Office administration,S0809,Graduate diploma/certificate,Graduate Diploma/Certificate,Total,5,number,Number of students enrolled,
2020,Office administration,S0809,Graduate diploma/certificate,Graduate Diploma/Certificate,Total,20,number,Number of students enrolled,
2021,Office administration,S0809,Graduate diploma/certificate,Graduate Diploma/Certificate,Total,10,number,Number of students enrolled,
2022,Office administration,S0809,Graduate diploma/certificate,Graduate Diploma/Certificate,Total,5,number,Number of students enrolled,
2023,Office administration,S0809,Graduate diploma/certificate,Graduate Diploma/Certificate,Total,10,number,Number of students enrolled,
2024,Office administration,S0809,Graduate diploma/certificate,Graduate Diploma/Certificate,Total,0,number,Number of students enrolled,
2015,Office administration,S0809,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,0,number,Number of students enrolled,
2016,Office administration,S0809,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,0,number,Number of students enrolled,
2017,Office administration,S0809,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,0,number,Number of students enrolled,
2018,Office administration,S0809,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,0,number,Number of students enrolled,
2019,Office administration,S0809,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,0,number,Number of students enrolled,
2020,Office administration,S0809,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,0,number,Number of students enrolled,
2021,Office administration,S0809,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,0,number,Number of students enrolled,
2022,Office administration,S0809,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,0,number,Number of students enrolled,
2023,Office administration,S0809,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,0,number,Number of students enrolled,
2024,Office administration,S0809,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,0,number,Number of students enrolled,
2015,Office administration,S0809,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,International,0,number,Number of students enrolled,
2016,Office administration,S0809,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,International,0,number,Number of students enrolled,
2017,Office administration,S0809,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,International,0,number,Number of students enrolled,
2018,Office administration,S0809,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,International,0,number,Number of students enrolled,
2019,Office administration,S0809,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,International,0,number,Number of students enrolled,
2020,Office administration,S0809,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,International,0,number,Number of students enrolled,
2021,Office administration,S0809,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,International,0,number,Number of students enrolled,
2022,Office administration,S0809,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,International,0,number,Number of students enrolled,
2023,Office administration,S0809,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,International,0,number,Number of students enrolled,
2024,Office administration,S0809,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,International,0,number,Number of students enrolled,
2015,Office administration,S0809,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Total,0,number,Number of students enrolled,
2016,Office administration,S0809,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Total,0,number,Number of students enrolled,
2017,Office administration,S0809,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Total,0,number,Number of students enrolled,
2018,Office administration,S0809,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Total,0,number,Number of students enrolled,
