Year ended June,Measure,External cause of injury or poisoning,External cause of injury or poisoning Code,Sex,Age group,Value,Value Unit,Value Label,Null Reason
2023,Publicly funded hospital discharges by recorded external cause,U50-U73 Activity,U50-U73,Male,10-14,0,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,U50-U73 Activity,U50-U73,Male,15-19,0,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,U50-U73 Activity,U50-U73,Male,20-24,0,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,U50-U73 Activity,U50-U73,Male,25-29,1,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,U50-U73 Activity,U50-U73,Male,30-34,0,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,U50-U73 Activity,U50-U73,Male,35-39,0,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,U50-U73 Activity,U50-U73,Male,40-44,0,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,U50-U73 Activity,U50-U73,Male,45-49,0,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,U50-U73 Activity,U50-U73,Male,50-54,0,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,U50-U73 Activity,U50-U73,Male,55-59,0,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,U50-U73 Activity,U50-U73,Male,60-64,0,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,U50-U73 Activity,U50-U73,Male,65-69,0,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,U50-U73 Activity,U50-U73,Male,70-74,0,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,U50-U73 Activity,U50-U73,Male,75-79,0,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,U50-U73 Activity,U50-U73,Male,80-84,0,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,U50-U73 Activity,U50-U73,Male,85-*,0,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,U50-U73 Activity,U50-U73,Female,total,1,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,U50-U73 Activity,U50-U73,Female,*-4,0,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,U50-U73 Activity,U50-U73,Female,5-9,0,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,U50-U73 Activity,U50-U73,Female,10-14,0,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,U50-U73 Activity,U50-U73,Female,15-19,0,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,U50-U73 Activity,U50-U73,Female,20-24,0,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,U50-U73 Activity,U50-U73,Female,25-29,0,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,U50-U73 Activity,U50-U73,Female,30-34,1,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,U50-U73 Activity,U50-U73,Female,35-39,0,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,U50-U73 Activity,U50-U73,Female,40-44,0,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,U50-U73 Activity,U50-U73,Female,45-49,0,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,U50-U73 Activity,U50-U73,Female,50-54,0,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,U50-U73 Activity,U50-U73,Female,55-59,0,number,Number of hospitalisations,
