Year,Training type,Field of study,Field of study Code,Value,Value Unit,Value Label,Null Reason
2016,Apprentices,Architecture and urban environment,S0401,5,number,Number of people,
2017,Apprentices,Architecture and urban environment,S0401,5,number,Number of people,
2018,Apprentices,Architecture and urban environment,S0401,5,number,Number of people,
2019,Apprentices,Architecture and urban environment,S0401,85,number,Number of people,
2020,Apprentices,Architecture and urban environment,S0401,155,number,Number of people,
2021,Apprentices,Architecture and urban environment,S0401,300,number,Number of people,
2022,Apprentices,Architecture and urban environment,S0401,370,number,Number of people,
2023,Apprentices,Architecture and urban environment,S0401,320,number,Number of people,
2024,Apprentices,Architecture and urban environment,S0401,255,number,Number of people,
2015,Apprentices,Automotive engineering and technology,S0305,4220,number,Number of people,
2016,Apprentices,Automotive engineering and technology,S0305,4195,number,Number of people,
2017,Apprentices,Automotive engineering and technology,S0305,4330,number,Number of people,
2018,Apprentices,Automotive engineering and technology,S0305,4640,number,Number of people,
2019,Apprentices,Automotive engineering and technology,S0305,4790,number,Number of people,
2020,Apprentices,Automotive engineering and technology,S0305,4835,number,Number of people,
2021,Apprentices,Automotive engineering and technology,S0305,5680,number,Number of people,
2022,Apprentices,Automotive engineering and technology,S0305,6035,number,Number of people,
2023,Apprentices,Automotive engineering and technology,S0305,6040,number,Number of people,
2024,Apprentices,Automotive engineering and technology,S0305,5685,number,Number of people,
2015,Apprentices,Building,S0403,15155,number,Number of people,
2016,Apprentices,Building,S0403,16280,number,Number of people,
2017,Apprentices,Building,S0403,17845,number,Number of people,
2018,Apprentices,Building,S0403,19835,number,Number of people,
2019,Apprentices,Building,S0403,21055,number,Number of people,
2020,Apprentices,Building,S0403,25655,number,Number of people,
2021,Apprentices,Building,S0403,33025,number,Number of people,
2022,Apprentices,Building,S0403,36620,number,Number of people,
2023,Apprentices,Building,S0403,35350,number,Number of people,
2024,Apprentices,Building,S0403,31520,number,Number of people,
2015,Apprentices,Business and management,S0803,1630,number,Number of people,
2016,Apprentices,Business and management,S0803,895,number,Number of people,
2017,Apprentices,Business and management,S0803,735,number,Number of people,
2018,Apprentices,Business and management,S0803,645,number,Number of people,
2019,Apprentices,Business and management,S0803,680,number,Number of people,
2020,Apprentices,Business and management,S0803,725,number,Number of people,
2021,Apprentices,Business and management,S0803,820,number,Number of people,
2022,Apprentices,Business and management,S0803,765,number,Number of people,
2023,Apprentices,Business and management,S0803,560,number,Number of people,
2024,Apprentices,Business and management,S0803,385,number,Number of people,
2015,Apprentices,Civil engineering,S0309,585,number,Number of people,
2016,Apprentices,Civil engineering,S0309,510,number,Number of people,
2017,Apprentices,Civil engineering,S0309,550,number,Number of people,
2018,Apprentices,Civil engineering,S0309,700,number,Number of people,
2019,Apprentices,Civil engineering,S0309,1015,number,Number of people,
2020,Apprentices,Civil engineering,S0309,1725,number,Number of people,
2021,Apprentices,Civil engineering,S0309,2520,number,Number of people,
2022,Apprentices,Civil engineering,S0309,2510,number,Number of people,
2023,Apprentices,Civil engineering,S0309,1880,number,Number of people,
2024,Apprentices,Civil engineering,S0309,1660,number,Number of people,
2015,Apprentices,Communication and media studies,S1007,35,number,Number of people,
2016,Apprentices,Communication and media studies,S1007,30,number,Number of people,
2017,Apprentices,Communication and media studies,S1007,10,number,Number of people,
2018,Apprentices,Communication and media studies,S1007,0,number,Number of people,
2019,Apprentices,Communication and media studies,S1007,0,number,Number of people,
2020,Apprentices,Communication and media studies,S1007,0,number,Number of people,
2021,Apprentices,Communication and media studies,S1007,0,number,Number of people,
2022,Apprentices,Communication and media studies,S1007,0,number,Number of people,
2023,Apprentices,Communication and media studies,S1007,0,number,Number of people,
2024,Apprentices,Communication and media studies,S1007,0,number,Number of people,
2015,Apprentices,Earth sciences,S0107,0,number,Number of people,
2016,Apprentices,Earth sciences,S0107,10,number,Number of people,
2017,Apprentices,Earth sciences,S0107,25,number,Number of people,
2018,Apprentices,Earth sciences,S0107,25,number,Number of people,
2019,Apprentices,Earth sciences,S0107,30,number,Number of people,
2020,Apprentices,Earth sciences,S0107,35,number,Number of people,
2021,Apprentices,Earth sciences,S0107,40,number,Number of people,
2022,Apprentices,Earth sciences,S0107,45,number,Number of people,
2023,Apprentices,Earth sciences,S0107,45,number,Number of people,
2024,Apprentices,Earth sciences,S0107,45,number,Number of people,
2015,Apprentices,Electrical and electronic engineering and technology,S0313,5525,number,Number of people,
2016,Apprentices,Electrical and electronic engineering and technology,S0313,6155,number,Number of people,
