Calendar Year,Measure,Item,Item Code,Code,Value,Value Unit,Value Label,Null Reason
2000,Total Exports (exports + re-exports) (free on board),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,4595220,nzd,NZD thousands,
2001,Total Exports (exports + re-exports) (free on board),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,6366127,nzd,NZD thousands,
2002,Total Exports (exports + re-exports) (free on board),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,5210443,nzd,NZD thousands,
2003,Total Exports (exports + re-exports) (free on board),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,4762855,nzd,NZD thousands,
2004,Total Exports (exports + re-exports) (free on board),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,5006767,nzd,NZD thousands,
2005,Total Exports (exports + re-exports) (free on board),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,5198199,nzd,NZD thousands,
2006,Total Exports (exports + re-exports) (free on board),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,6255031,nzd,NZD thousands,
2007,Total Exports (exports + re-exports) (free on board),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,7556716,nzd,NZD thousands,
2008,Total Exports (exports + re-exports) (free on board),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,9284861,nzd,NZD thousands,
2009,Total Exports (exports + re-exports) (free on board),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,8115923,nzd,NZD thousands,
2010,Total Exports (exports + re-exports) (free on board),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,10414998,nzd,NZD thousands,
2011,Total Exports (exports + re-exports) (free on board),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,12021198,nzd,NZD thousands,
2012,Total Exports (exports + re-exports) (free on board),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,11561610,nzd,NZD thousands,
2013,Total Exports (exports + re-exports) (free on board),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,13590813,nzd,NZD thousands,
2014,Total Exports (exports + re-exports) (free on board),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,14728429,nzd,NZD thousands,
2015,Total Exports (exports + re-exports) (free on board),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,11824838,nzd,NZD thousands,
2016,Total Exports (exports + re-exports) (free on board),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,11502564,nzd,NZD thousands,
2017,Total Exports (exports + re-exports) (free on board),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,14367424,nzd,NZD thousands,
2018,Total Exports (exports + re-exports) (free on board),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,14624761,nzd,NZD thousands,
2019,Total Exports (exports + re-exports) (free on board),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,16124039,nzd,NZD thousands,
2020,Total Exports (exports + re-exports) (free on board),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,16204588,nzd,NZD thousands,
2021,Total Exports (exports + re-exports) (free on board),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,17538669,nzd,NZD thousands,
2022,Total Exports (exports + re-exports) (free on board),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,20903882,nzd,NZD thousands,
2023,Total Exports (exports + re-exports) (free on board),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,19827532,nzd,NZD thousands,
2024,Total Exports (exports + re-exports) (free on board),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,20515733,nzd,NZD thousands,
2000,Total Exports (exports + re-exports) (free on board),Animal originated products; not elsewhere specified or included,HS05,05,279494,nzd,NZD thousands,
2001,Total Exports (exports + re-exports) (free on board),Animal originated products; not elsewhere specified or included,HS05,05,287334,nzd,NZD thousands,
2002,Total Exports (exports + re-exports) (free on board),Animal originated products; not elsewhere specified or included,HS05,05,277992,nzd,NZD thousands,
2003,Total Exports (exports + re-exports) (free on board),Animal originated products; not elsewhere specified or included,HS05,05,255416,nzd,NZD thousands,
2004,Total Exports (exports + re-exports) (free on board),Animal originated products; not elsewhere specified or included,HS05,05,294589,nzd,NZD thousands,
2005,Total Exports (exports + re-exports) (free on board),Animal originated products; not elsewhere specified or included,HS05,05,275666,nzd,NZD thousands,
2006,Total Exports (exports + re-exports) (free on board),Animal originated products; not elsewhere specified or included,HS05,05,282454,nzd,NZD thousands,
2007,Total Exports (exports + re-exports) (free on board),Animal originated products; not elsewhere specified or included,HS05,05,265017,nzd,NZD thousands,
2008,Total Exports (exports + re-exports) (free on board),Animal originated products; not elsewhere specified or included,HS05,05,327014,nzd,NZD thousands,
2009,Total Exports (exports + re-exports) (free on board),Animal originated products; not elsewhere specified or included,HS05,05,346525,nzd,NZD thousands,
2010,Total Exports (exports + re-exports) (free on board),Animal originated products; not elsewhere specified or included,HS05,05,321079,nzd,NZD thousands,
2011,Total Exports (exports + re-exports) (free on board),Animal originated products; not elsewhere specified or included,HS05,05,367289,nzd,NZD thousands,
2012,Total Exports (exports + re-exports) (free on board),Animal originated products; not elsewhere specified or included,HS05,05,437722,nzd,NZD thousands,
2013,Total Exports (exports + re-exports) (free on board),Animal originated products; not elsewhere specified or included,HS05,05,447857,nzd,NZD thousands,
2014,Total Exports (exports + re-exports) (free on board),Animal originated products; not elsewhere specified or included,HS05,05,430580,nzd,NZD thousands,
2015,Total Exports (exports + re-exports) (free on board),Animal originated products; not elsewhere specified or included,HS05,05,519485,nzd,NZD thousands,
2016,Total Exports (exports + re-exports) (free on board),Animal originated products; not elsewhere specified or included,HS05,05,411072,nzd,NZD thousands,
2017,Total Exports (exports + re-exports) (free on board),Animal originated products; not elsewhere specified or included,HS05,05,480816,nzd,NZD thousands,
2018,Total Exports (exports + re-exports) (free on board),Animal originated products; not elsewhere specified or included,HS05,05,557106,nzd,NZD thousands,
2019,Total Exports (exports + re-exports) (free on board),Animal originated products; not elsewhere specified or included,HS05,05,549585,nzd,NZD thousands,
2020,Total Exports (exports + re-exports) (free on board),Animal originated products; not elsewhere specified or included,HS05,05,586111,nzd,NZD thousands,
2021,Total Exports (exports + re-exports) (free on board),Animal originated products; not elsewhere specified or included,HS05,05,603857,nzd,NZD thousands,
2022,Total Exports (exports + re-exports) (free on board),Animal originated products; not elsewhere specified or included,HS05,05,748939,nzd,NZD thousands,
2023,Total Exports (exports + re-exports) (free on board),Animal originated products; not elsewhere specified or included,HS05,05,720553,nzd,NZD thousands,
2024,Total Exports (exports + re-exports) (free on board),Animal originated products; not elsewhere specified or included,HS05,05,611664,nzd,NZD thousands,
2000,Total Exports (exports + re-exports) (free on board),"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",HS06,06,88492,nzd,NZD thousands,
2001,Total Exports (exports + re-exports) (free on board),"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",HS06,06,94215,nzd,NZD thousands,
2002,Total Exports (exports + re-exports) (free on board),"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",HS06,06,86420,nzd,NZD thousands,
2003,Total Exports (exports + re-exports) (free on board),"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",HS06,06,83853,nzd,NZD thousands,
2004,Total Exports (exports + re-exports) (free on board),"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",HS06,06,88998,nzd,NZD thousands,
2005,Total Exports (exports + re-exports) (free on board),"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",HS06,06,87973,nzd,NZD thousands,
2006,Total Exports (exports + re-exports) (free on board),"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",HS06,06,89858,nzd,NZD thousands,
2007,Total Exports (exports + re-exports) (free on board),"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",HS06,06,92474,nzd,NZD thousands,
2008,Total Exports (exports + re-exports) (free on board),"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",HS06,06,86662,nzd,NZD thousands,
2009,Total Exports (exports + re-exports) (free on board),"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",HS06,06,82040,nzd,NZD thousands,
2010,Total Exports (exports + re-exports) (free on board),"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",HS06,06,81104,nzd,NZD thousands,
2011,Total Exports (exports + re-exports) (free on board),"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",HS06,06,77709,nzd,NZD thousands,
2012,Total Exports (exports + re-exports) (free on board),"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",HS06,06,72584,nzd,NZD thousands,
2013,Total Exports (exports + re-exports) (free on board),"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",HS06,06,73906,nzd,NZD thousands,
2014,Total Exports (exports + re-exports) (free on board),"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",HS06,06,71530,nzd,NZD thousands,
2015,Total Exports (exports + re-exports) (free on board),"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",HS06,06,71577,nzd,NZD thousands,
2016,Total Exports (exports + re-exports) (free on board),"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",HS06,06,72608,nzd,NZD thousands,
2017,Total Exports (exports + re-exports) (free on board),"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",HS06,06,71382,nzd,NZD thousands,
2018,Total Exports (exports + re-exports) (free on board),"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",HS06,06,70680,nzd,NZD thousands,
2019,Total Exports (exports + re-exports) (free on board),"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",HS06,06,73871,nzd,NZD thousands,
2020,Total Exports (exports + re-exports) (free on board),"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",HS06,06,57054,nzd,NZD thousands,
2021,Total Exports (exports + re-exports) (free on board),"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",HS06,06,65655,nzd,NZD thousands,
2022,Total Exports (exports + re-exports) (free on board),"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",HS06,06,63235,nzd,NZD thousands,
2023,Total Exports (exports + re-exports) (free on board),"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",HS06,06,65433,nzd,NZD thousands,
2024,Total Exports (exports + re-exports) (free on board),"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",HS06,06,64304,nzd,NZD thousands,
2000,Total Exports (exports + re-exports) (free on board),Vegetables and certain roots and tubers; edible,HS07,07,388277,nzd,NZD thousands,
2001,Total Exports (exports + re-exports) (free on board),Vegetables and certain roots and tubers; edible,HS07,07,452875,nzd,NZD thousands,
2002,Total Exports (exports + re-exports) (free on board),Vegetables and certain roots and tubers; edible,HS07,07,432040,nzd,NZD thousands,
2003,Total Exports (exports + re-exports) (free on board),Vegetables and certain roots and tubers; edible,HS07,07,419892,nzd,NZD thousands,
2004,Total Exports (exports + re-exports) (free on board),Vegetables and certain roots and tubers; edible,HS07,07,375616,nzd,NZD thousands,
2005,Total Exports (exports + re-exports) (free on board),Vegetables and certain roots and tubers; edible,HS07,07,358035,nzd,NZD thousands,
2006,Total Exports (exports + re-exports) (free on board),Vegetables and certain roots and tubers; edible,HS07,07,378864,nzd,NZD thousands,
2007,Total Exports (exports + re-exports) (free on board),Vegetables and certain roots and tubers; edible,HS07,07,432761,nzd,NZD thousands,
2008,Total Exports (exports + re-exports) (free on board),Vegetables and certain roots and tubers; edible,HS07,07,424009,nzd,NZD thousands,
2009,Total Exports (exports + re-exports) (free on board),Vegetables and certain roots and tubers; edible,HS07,07,406122,nzd,NZD thousands,
2010,Total Exports (exports + re-exports) (free on board),Vegetables and certain roots and tubers; edible,HS07,07,424462,nzd,NZD thousands,
2011,Total Exports (exports + re-exports) (free on board),Vegetables and certain roots and tubers; edible,HS07,07,461848,nzd,NZD thousands,
2012,Total Exports (exports + re-exports) (free on board),Vegetables and certain roots and tubers; edible,HS07,07,403385,nzd,NZD thousands,
2013,Total Exports (exports + re-exports) (free on board),Vegetables and certain roots and tubers; edible,HS07,07,406874,nzd,NZD thousands,
2014,Total Exports (exports + re-exports) (free on board),Vegetables and certain roots and tubers; edible,HS07,07,393649,nzd,NZD thousands,
2015,Total Exports (exports + re-exports) (free on board),Vegetables and certain roots and tubers; edible,HS07,07,406834,nzd,NZD thousands,
