Year,Training type,Field of study,Field of study Code,Value,Value Unit,Value Label,Null Reason
2020,Trainees,Mixed field programmes,S12,0,number,Number of people,
2021,Trainees,Mixed field programmes,S12,0,number,Number of people,
2022,Trainees,Mixed field programmes,S12,0,number,Number of people,
2023,Trainees,Mixed field programmes,S12,0,number,Number of people,
2024,Trainees,Mixed field programmes,S12,0,number,Number of people,
2015,Trainees,Natural and physical sciences,S01,0,number,Number of people,
2016,Trainees,Natural and physical sciences,S01,5,number,Number of people,
2017,Trainees,Natural and physical sciences,S01,5,number,Number of people,
2018,Trainees,Natural and physical sciences,S01,0,number,Number of people,
2019,Trainees,Natural and physical sciences,S01,0,number,Number of people,
2020,Trainees,Natural and physical sciences,S01,0,number,Number of people,
2021,Trainees,Natural and physical sciences,S01,0,number,Number of people,
2022,Trainees,Natural and physical sciences,S01,0,number,Number of people,
2023,Trainees,Natural and physical sciences,S01,0,number,Number of people,
2024,Trainees,Natural and physical sciences,S01,5,number,Number of people,
2015,Trainees,Society and culture,S09,21160,number,Number of people,
2016,Trainees,Society and culture,S09,20515,number,Number of people,
2017,Trainees,Society and culture,S09,22585,number,Number of people,
2018,Trainees,Society and culture,S09,24090,number,Number of people,
2019,Trainees,Society and culture,S09,23770,number,Number of people,
2020,Trainees,Society and culture,S09,21985,number,Number of people,
2021,Trainees,Society and culture,S09,20650,number,Number of people,
2022,Trainees,Society and culture,S09,18075,number,Number of people,
2023,Trainees,Society and culture,S09,15120,number,Number of people,
2024,Trainees,Society and culture,S09,13520,number,Number of people,
2015,Trainees,Total,TOTAL,105535,number,Number of people,
2016,Trainees,Total,TOTAL,105625,number,Number of people,
2017,Trainees,Total,TOTAL,99565,number,Number of people,
2018,Trainees,Total,TOTAL,87975,number,Number of people,
2019,Trainees,Total,TOTAL,84490,number,Number of people,
2020,Trainees,Total,TOTAL,76655,number,Number of people,
2021,Trainees,Total,TOTAL,74320,number,Number of people,
2022,Trainees,Total,TOTAL,75595,number,Number of people,
2023,Trainees,Total,TOTAL,62175,number,Number of people,
2024,Trainees,Total,TOTAL,53340,number,Number of people,
2015,Trainees,Aerospace engineering and technology,S0315,1525,number,Number of people,
2016,Trainees,Aerospace engineering and technology,S0315,1770,number,Number of people,
2017,Trainees,Aerospace engineering and technology,S0315,1525,number,Number of people,
2018,Trainees,Aerospace engineering and technology,S0315,1350,number,Number of people,
2019,Trainees,Aerospace engineering and technology,S0315,1765,number,Number of people,
2020,Trainees,Aerospace engineering and technology,S0315,1235,number,Number of people,
2021,Trainees,Aerospace engineering and technology,S0315,565,number,Number of people,
2022,Trainees,Aerospace engineering and technology,S0315,660,number,Number of people,
2023,Trainees,Aerospace engineering and technology,S0315,630,number,Number of people,
2024,Trainees,Aerospace engineering and technology,S0315,505,number,Number of people,
