Census Year,Subject population,Age group,Post-school qualification field of study,Post-school qualification field of study Code,Unit,Value,Value Unit,Value Label,Null Reason
2018,Census usually resident population,15-*,Earth sciences not elsewhere classified,S010799,Count,363,number,Number of people,
2018,Census usually resident population,15-*,Earth sciences not elsewhere classified,S010799,Percentage of total stated,0.01035256914832,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Earth sciences not elsewhere classified,S010799,Count,474,number,Number of people,
2023,Census usually resident population,15-*,Earth sciences not elsewhere classified,S010799,Percentage of total stated,0.0122906505488,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Biological sciences not further defined,S010900,Count,1155,number,Number of people,
2013,Census usually resident population,15-*,Biological sciences not further defined,S010900,Percentage of total stated,0.03910086296112,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Biological sciences not further defined,S010900,Count,1059,number,Number of people,
2018,Census usually resident population,15-*,Biological sciences not further defined,S010900,Percentage of total stated,0.03020212321782,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Biological sciences not further defined,S010900,Count,1530,number,Number of people,
2023,Census usually resident population,15-*,Biological sciences not further defined,S010900,Percentage of total stated,0.03967235303727,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Biochemistry and cell biology,S010901,Count,7305,number,Number of people,
2013,Census usually resident population,15-*,Biochemistry and cell biology,S010901,Percentage of total stated,0.2473002631437,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Biochemistry and cell biology,S010901,Count,8844,number,Number of people,
2018,Census usually resident population,15-*,Biochemistry and cell biology,S010901,Percentage of total stated,0.252226230159,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Biochemistry and cell biology,S010901,Count,10224,number,Number of people,
2023,Census usually resident population,15-*,Biochemistry and cell biology,S010901,Percentage of total stated,0.265104665002,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Botany,S010903,Count,1947,number,Number of people,
2013,Census usually resident population,15-*,Botany,S010903,Percentage of total stated,0.06591288327732,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Botany,S010903,Count,1740,number,Number of people,
