Year,Predominant field of study,Predominant field of study Code,Qualification,Qualification Code,Student origin,Gender,Age group,Value,Value Unit,Value Label,Null Reason
2024,Natural and physical sciences,S01,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Female,40-*,220,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Female,total,860,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Male,*-17,0,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Male,18-19,50,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Male,20-24,95,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Male,25-39,100,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Male,40-*,70,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Male,total,315,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Total,*-17,0,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Total,18-19,150,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Total,20-24,305,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Total,25-39,450,number,Number of students enrolled,
