X,Y,OBJECTID,TYPE,Location,GlobalID,Facility,Description,NeedsChecking,SubType,PopUp,created_user,created_date,last_edited_user,last_edited_date,Shape
1773804.4218,5445184.6566,223,Oval,Railway Green Space,{341F681B-8761-4EC6-8A01-B945E3E314AE},Rubbish Bin,Steel Rubbish Bin with Council Logo by Seat,,Polished Steel,Rubbish Bin,,,,,
1773800.616,5445214.4737,224,Oval,Railway Green Space,{6829E2F2-D20F-43BD-8757-D38E5968FD52},Rubbish Bin,Steel Rubbish Bin with Council Logo by Seat,,Polished Steel,Rubbish Bin,,,,,
1773798.64,5445197.5015,225,Oval,Railway Green Space,{C5E8FB0B-FBC6-49E9-877F-939271C1CFBA},Rubbish Bin,Steel Rubbish Bin with Council Logo by Seat,,Polished Steel,Rubbish Bin,,,,,
1774217.7003,5445152.9645,226,,Maidstone Park,{3C2D87C6-C550-453A-A6CE-4EB0884F87EC},Drinking Fountain,Maidstone Park rugby turf drinking fountain,,,Drinking Fountain,,,,,
1774198.7423,5445201.595,227,Tilley Tilt,Maidstone Park,{7FBE22EF-9337-42D7-9A0A-48C008374F85},Rubbish Bin,Maidstone Prk turf,,,Rubbish Bin,,,,,
1774199.0397,5445200.8321,228,Tilley Tilt,Maidstone Park,{920A4C0D-8D9A-40F7-BD0F-1A4C004C5C32},Rubbish Bin,Maidstone Park turf,,,Rubbish Bin,,,,,
1774266.8929,5445232.9085,229,Tilley Tilt,Maidstone Park,{45AC8DBA-27E5-4CC9-886D-368D528E3587},Rubbish Bin,Maidstone Park turf,,,Rubbish Bin,,,,,
1774270.0955,5445234.2611,230,Tilley Tilt,Maidstone Park,{103B6F6C-02B1-4BE3-AFC0-4CF65F156D46},Rubbish Bin,Maidstone Prk turf,,,Rubbish Bin,,,,,
1774229.5732,5445110.8255,231,Tilley Tilt,Maidstone Park,{026FC219-80A9-4532-8781-5F388F1AF5D8},Rubbish Bin,Maidsone Park turf,,,Rubbish Bin,,,,,
1774232.0366,5445126.5112,232,Tilley Tilt,Maidstone Park,{915E14A0-C19C-42FA-A9DB-94CF5B8659E6},Rubbish Bin,Maidstone Park turf,,,Rubbish Bin,,,,,
1774348.4747,5445214.9729,233,Tilley Tilt,Maidstone Park,{F877BCED-401C-4052-BA9C-8CF02ACF1864},Rubbish Bin,Maidstone Park turf,,,Rubbish Bin,,,,,
1774350.1037,5445211.4769,234,Tilley Tilt,Maidstone Park,{33525141-B985-41DB-B6A9-3B33A061FEBE},Rubbish Bin,Maidstone Park turf,,,Rubbish Bin,,,,,
1778443.0869,5459264.9848,235,Timber,Clouston Park,{737EAF64-903E-4491-9D09-1519CB1B0F9D},Picnic Table,Painted metal with timber seats & top mounted in concrete pad,,,Picnic Table,,,,,
1773036.7205,5445828.3986,236,Tilley Tilt,Clyma Park,{E4FA52EC-94EF-4DBE-A156-37712E7EA281},Rubbish Bin,Tilly wooden slat tilt rubbish bin,,,Rubbish Bin,,,,,
1773037.5829,5445828.1594,237,,Clyma Park,{F3C4778F-A000-434B-828F-799D0CA4B4D4},Dog Bag Dispenser,Dog bag dispenser mounted in timber post,,,Dog Bag Dispenser,,,,,
1774153.4802,5445195.7396,238,,Maidstone Park,{CBC0FC9E-678B-43D3-AF5B-B1A6B12A977F},Dog Bag Dispenser,Dog bag dispenser at entrance,,,Dog Bag Dispenser,,,,,
1774296.2797,5445073.0125,239,Timber,Maidstone Park,{CD1C060E-444B-4C1A-A59E-F425C791D987},Picnic Table,Adjacent to model railway,,,Picnic Table,,,,,
1774374.4145,5445149.4417,240,,Maidstone Park,{D85637FA-EC99-4ED6-A428-7640691D9897},Drinking Fountain,Tennis court drinking fountain,,,Drinking Fountain,,,,,
1770552.3271,5444548.1339,241,Tilley Tilt,Trentham Memorial Park,{FB887B3A-223B-4EBB-B9A8-7A840B83B94E},Rubbish Bin,Tilley Tily Rubbish Bin by playground,,,Rubbish Bin,,,LCARTER,2024/08/30 03:49:22+00,
1774226.5279,5445059.5607,242,Tilley Tilt,Maidstone Park,{C26913FE-DBF2-4035-BD4D-89C42BAE8A00},Rubbish Bin,,,,Rubbish Bin,,,,,
1774071.1439,5445137.5921,243,Tilley Tilt,Maidstone Park,{EF78651F-323D-4047-915E-1387E1F5F51B},Rubbish Bin,,,,Rubbish Bin,,,,,
1774381.0538,5445213.2725,244,Pond,Maidstone Park,{7C7C0CD5-ADEB-48B8-B855-F6DDBA50D75E},Water Feature,Water feature in conservatory,,,Pond,,,LCARTER,2024/08/30 03:16:14+00,
1775881.8835,5447858.8943,245,Tilley Tilt,Harcourt Park,{DFF97C75-F16F-41AF-ADEF-D907274AD9AE},Rubbish Bin,,,,Rubbish Bin,,,,,
1775699.8901,5447659.1455,246,Tilley Tilt,Harcourt Park,{169A4B75-43F2-431A-98D5-2DFE1B83E2C2},Rubbish Bin,By the Norbert St car park,,,Rubbish Bin,,,,,
1775713.5309,5447731.113,247,Tilley Tilt,Harcourt Park,{80167CCD-D584-4737-8E46-204EFC520802},Rubbish Bin,By bike track,,,Rubbish Bin,,,LCARTER,2024/08/30 01:37:10+00,
1775914.0467,5447743.8581,248,,Harcourt Park,{AA7E8D5B-9AF5-4AC5-B91C-8DAC5F6DD628},Drinking Fountain,Mountain fresh - Double Wing Wheelchair Accessible Free Standing Fountain,,,Drinking Fountain,,,,,
1774584.8929,5447157.9711,249,,Tulsa Park,{101C9F53-9FC9-49C3-A9D9-6B13AC8FE2E9},Drinking Fountain,Drinking Fountain entrance to pathway,,,Drinking Fountain,,,,,
1773567.4119,5446199.4009,250,Timber,Riverbank Park,{E98DD94A-91FE-49D2-B2FD-05F20FFB7F35},Picnic Table,Picnic Table mounted on Concrete Pad,,,Picnic Table,,,,,
1773935.2947,5445985.7167,251,Tilley Tilt,Oxford Park,{452EBB28-ECCF-4942-AABD-0A05F36BF6E5},Rubbish Bin,Bubbish Bin next to Kimberley Seat mounted on concrete pad,,,Rubbish Bin,,,,,
1770589.6957,5444564.7411,252,Tilley Tilt,Trentham Memorial Park,{7FDE0CCB-3362-4A94-AFFA-51B3AEF68F3D},Rubbish Bin,Tilley Tilt Rubbish Bin wooden slate,,,Rubbish Bin,,,,,
1775890.013,5447760.2063,253,Timber,Harcourt Park,{8FE326E6-A624-45F8-9F42-5C9430C0AA9D},Picnic Table,Table in BBQ Shelter,,,Picnic Table,,,LCARTER,2024/08/30 01:34:16+00,
1770152.8012,5444969.9601,254,Tilley Tilt,Moonshine Park,{5796A3DD-B9B4-4C3C-9CDE-B543B78B74DA},Rubbish Bin,Tilly tilt stained Rubbish Bin,,,Rubbish Bin,,,,,
1767693.8129,5443166.2631,255,Paramount Tilt,Silverstream Amenity Reserve,{FAC3F770-D71B-4C8A-882A-0AFCEEB32058},Rubbish Bin,Paramount Tilt Rubbish Bin,,,Rubbish Bin,,,,,
1773589.3001,5445121.4795,256,Timber,Civic Centre,{D9C014A0-AA2A-41DD-AA9F-1C2BF1ED6810},Picnic Table,Picnic Table,,,Picnic Table,,,,,
1770357.1107,5443143.2303,257,Timber,Pinehill Reserve,{5624F40C-9C48-4298-AA3A-26B2F168E3A0},Picnic Table,Premium Picnic Table mounted on concrete pad,,,Picnic Table,,,,,
1772148.4745,5446160.6185,258,Tilley Tilt,Whakatiki Park,{ABA09002-5406-48C6-B4CD-69FCC2A8AA16},Rubbish Bin,Tilley slat Rubbish Bin,,,Rubbish Bin,,,,,
1767698.1971,5443145.8547,260,Timber,Silverstream Amenity Reserve,{B6069869-3425-411F-BFF4-6519FAC5E5F0},Picnic Table,Parklands Setting - Brunswick Green Picnic Table mounted on concrete pad,,,Picnic Table,,,,,
1773970.06,5445079.6879,261,Recycling,Maidstone Max,{22856C69-2A73-480E-A026-70C97F4F930A},Rubbish Bin,Recycling Bins,,3 Bay,Rubbish Bin,,,LCARTER,2024/08/30 03:16:14+00,
1774048.5677,5445129.8021,262,Recycling,Maidstone Max,{CB594540-4603-4698-A6CE-EAEAB09C9779},Rubbish Bin,Recycling Bins,,3 Bay,Rubbish Bin,,,LCARTER,2024/08/30 03:16:14+00,
1774042.4582,5445127.3081,263,,Maidstone Max,{9739C806-A522-47C1-AFEB-6EE9B207BBA6},Drinking Fountain,Blue Water Fountain,,,Drinking Fountain,,,LCARTER,2024/08/30 03:16:14+00,
1774038.5333,5445106.4347,264,Basketball Half Court,Maidstone Max,{611754F4-CCF1-4E2B-B571-A594FEFBD19F},Sport & Recreation,Basketball Hoop and Pole,,Hoop,Basketball Half Court,,,,,
1773965.2343,5445080.7239,265,Timber,Maidstone Max,{6890DC85-531A-4303-B4ED-8E224E6E381C},Picnic Table,Picnic Table,,,Picnic Table,,,,,
1773933.8491,5445085.744,266,Timber,Maidstone Max,{88607BC6-2C92-48A9-84C6-4B169D71FD6E},Picnic Table,Picnic Table,,,Picnic Table,,,LCARTER,2024/08/30 03:16:14+00,
1774019.4425,5445155.9827,267,Recycling,Maidstone Max,{DC6B4226-208A-428A-8C07-D14908051F49},Rubbish Bin,Recycling Bins in Shelter next to Skate Park,,3 Bay,Rubbish Bin,,,,,
