SportAreaID,ServiceStatus,SportCode,SportLevel,SportBookingOrganisation,SportSeason,SportSurface,CommissionDate,AreaNumber,AreaName,LongDescription,SeasonStartDate,SeasonEndDate,MidSeasonBreakStartDate,MidSeasonBreakEndDate,TrainingDays,MatchDays,ParkName,InContract,ContractArea,CreateDate,LastEditDate,SHAPE_Length,SHAPE_Area
1396,In Service,Golf,Recreational,Unknown,Non-Seasonal,Unknown,2007/07/01 00:00:00+00,,Mini Golf,Mini Golf,,,,,,,Spencer Park,No,Northern Contract Area,2013/08/02 11:25:00+00,2025/04/08 08:53:38+00,111.711075765705,777.88942724387
1397,In Service,Volleyball,Recreational,Unknown,Non-Seasonal,Sand,2000/01/01 00:00:00+00,,Vollyball Court,,,,,,,,Spencer Park,No,Northern Contract Area,2013/08/02 11:25:00+00,2025/04/08 08:53:38+00,70.1972139179145,286.73826127612
1398,In Service,Tennis,Recreational,Unknown,Non-Seasonal,Ashphalt,1990/07/01 00:00:00+00,,Tennis Court,Located at north corner of picnic area adjacent to playgroun,,,,,,,Spencer Park,No,Northern Contract Area,2013/08/02 11:25:00+00,2025/04/08 08:53:38+00,93.3924100590638,475.336724671624
1399,In Service,Basketball,Recreational,Unknown,Non-Seasonal,Ashphalt,1995/01/01 00:00:00+00,,Basketball Half Court,,,,,,,,Spencer Park,No,Northern Contract Area,2013/08/02 11:25:00+00,2025/04/08 08:53:38+00,80.7448000047636,405.689274064647
1400,In Service,Basketball,Recreational,Unknown,Non-Seasonal,Ashphalt,2008/05/22 00:00:00+00,,Basketball Half Court,38m SE of Centre of Park,,,,,,,Brooklands Domain,Yes,Northern Contract Area,2013/08/02 11:25:00+00,2025/04/08 08:53:38+00,64.573151491343,260.444871097019
1401,In Service,Skateboard,Recreational,Unknown,Non-Seasonal,Ashphalt,1995/07/01 00:00:00+00,,Skateboard Area,67m SW of Centre of Park,,,,,,,Templeton Domain,Yes,Eastern Contract Area,2013/08/02 00:00:00+00,2025/04/08 08:53:38+00,75.8878417114961,348.894275100948
1402,In Service,Skateboard,Recreational,Unknown,Non-Seasonal,Ashphalt,2001/07/01 00:00:00+00,,Skateboard Area,64m S of Centre of Park,,,,,,,Wycola Park,Yes,Eastern Contract Area,2013/08/02 00:00:00+00,2025/04/08 08:53:38+00,126.040511400823,929.349125225392
1404,In Service,Skateboard,Recreational,Unknown,Non-Seasonal,Ashphalt,1995/01/01 00:00:00+00,,Skateboard Area,119m W of Centre of Park,,,,,,,Hoon Hay Park,Yes,Eastern Contract Area,2013/08/02 00:00:00+00,2025/04/08 08:53:38+00,119.282586910246,795.463154521092
1406,In Service,Skateboard,Recreational,Unknown,Non-Seasonal,Ashphalt,2000/05/31 00:00:00+00,,Skateboard Area,232m N of Centre of Park,,,,,,,Jellie Park,Yes,Northern Contract Area,2013/08/02 00:00:00+00,2025/04/08 08:53:38+00,116.909688998771,652.857507786616
1408,In Service,Skateboard,Recreational,Unknown,Non-Seasonal,Ashphalt,1995/07/01 00:00:00+00,,Skateboard Area,39m SW of Centre of Park,,,,,,,Waltham Park,Yes,Eastern Contract Area,2013/08/02 00:00:00+00,2025/04/08 08:53:38+00,59.768442179071,253.426895770136
1411,In Service,Skateboard,Recreational,Unknown,Non-Seasonal,Ashphalt,2000/01/01 00:00:00+00,,Skateboard Area,168m ESE of Centre of Park,,,,,,,Linwood Park,Yes,Northern Contract Area,2013/08/02 00:00:00+00,2025/04/08 08:53:38+00,167.828553119168,913.574682203004
1412,In Service,Skateboard,Recreational,Unknown,Non-Seasonal,Ashphalt,2009/05/05 00:00:00+00,,Skateboard Area,98m SSE of Centre of Park,,,,,,,Wainoni Park,Yes,Northern Contract Area,2013/08/02 00:00:00+00,2025/04/08 08:53:38+00,317.211806096567,889.091308050311
1413,In Service,Learn to Ride,Recreational,Unknown,Non-Seasonal,Ashphalt,2009/05/11 00:00:00+00,,Learn to Ride,29m NNE of Centre of Park,,,,,,,Carisbrook Playground,Yes,Northern Contract Area,2013/08/02 00:00:00+00,2025/04/08 08:53:38+00,371.660021015326,456.978129858286
1415,In Service,Skateboard,Recreational,Unknown,Non-Seasonal,Ashphalt,2008/05/23 00:00:00+00,,Skateboard Area,48m SSE of Centre of Park,,,,,,,Brooklands Domain,Yes,Northern Contract Area,2013/08/02 00:00:00+00,2025/04/08 08:53:38+00,64.2078696631835,238.132125672233
1417,In Service,Skateboard,Recreational,Unknown,Non-Seasonal,Ashphalt,2018/01/01 00:00:00+00,,Skateboard Area,,,,,,,,Oxford Street Reserve,No,Eastern Contract Area,2013/08/02 00:00:00+00,2025/04/08 08:53:38+00,75.5744794168099,362.718515475156
1418,In Service,Skateboard,Recreational,Unknown,Non-Seasonal,Ashphalt,2009/05/25 00:00:00+00,,Skateboard Area,284m N of Centre of Park,,,,,,,South New Brighton Park,No,Northern Contract Area,2013/08/02 00:00:00+00,2025/04/08 08:53:38+00,40.7231675515447,94.3330555945143
1419,In Service,Skateboard,Recreational,Unknown,Non-Seasonal,Ashphalt,2010/02/19 00:00:00+00,,Skateboard Area,Thomson Park Skateboard area,,,,,,,Thomson Park,Yes,Northern Contract Area,2013/08/02 00:00:00+00,2025/04/08 08:53:38+00,208.206662987855,2136.69658405611
1420,In Service,Petanque,Recreational,Unknown,Non-Seasonal,Unknown,1995/07/01 00:00:00+00,,Petanque,Located off main driveway in Oval 2 picnic area (photo attac,,,,,,,Halswell Quarry Park,No,Eastern Contract Area,2013/08/02 00:43:00+00,2025/08/06 12:53:03+00,48.8169265364952,148.942135394772
1422,In Service,Petanque,Recreational,Unknown,Non-Seasonal,Unknown,2008/05/20 00:00:00+00,,Petanque,32m NNE of Centre of Park,,,,,,,Cholmondeley Reserve,No,Banks Peninsula,2013/08/02 00:43:00+00,2025/04/08 08:53:38+00,37.8470206140358,59.6529643655813
1423,In Service,Petanque,Recreational,Unknown,Non-Seasonal,Unknown,2003/06/30 00:00:00+00,,Petanque,31m S of Centre of Park,,,,,,,Gainsborough Reserve,Yes,Eastern Contract Area,2013/08/02 00:43:00+00,2025/04/08 08:53:38+00,33.2720916100937,88.0760841311
1426,In Service,Petanque,Recreational,Unknown,Non-Seasonal,Unknown,1995/07/01 00:00:00+00,,Petanque,92m SSE of Centre of Park,,,,,,,St Albans Park,Yes,Northern Contract Area,2013/08/02 00:43:00+00,2025/04/28 12:53:45+00,50.5377208359857,152.841142303508
1427,In Service,Petanque,Recreational,Unknown,Non-Seasonal,Unknown,2008/02/12 00:00:00+00,,Petanque,,,,,,,,Kirk Park,No,Banks Peninsula,2013/08/02 00:43:00+00,2025/04/08 08:53:38+00,44.374598740421,122.40477884466
1428,In Service,Petanque,Recreational,Unknown,Non-Seasonal,Unknown,2003/06/30 00:00:00+00,,Petanque,23m SSW of Centre of Park,,,,,,,Arran Playground,Yes,Northern Contract Area,2013/08/02 00:43:00+00,2025/04/08 08:53:38+00,30.9987671036066,54.8639364561811
1429,In Service,Petanque,Recreational,Unknown,Non-Seasonal,Unknown,1995/07/01 00:00:00+00,,Petanque,78m W of Centre of Park,,,,,,,Avondale Park,Yes,Northern Contract Area,2013/08/02 00:43:00+00,2025/04/08 08:53:38+00,45.2736163609962,116.979042160236
1430,In Service,Petanque,Recreational,Unknown,Non-Seasonal,Unknown,2009/07/09 00:00:00+00,,Petanque,188m ENE of Centre of Park,,,,,,,McCormacks Bay,Yes,Eastern Contract Area,2013/08/02 00:43:00+00,2025/04/08 08:53:38+00,61.5394544671586,208.43612151063
1432,In Service,Petanque,Recreational,Unknown,Non-Seasonal,Unknown,2008/05/20 00:00:00+00,,Petanque,61m ESE of Centre of Park,,,,,,,Little River Bowling Green,No,Banks Peninsula,2013/08/02 00:43:00+00,2025/04/08 08:53:38+00,30.5083036848785,36.1592647126186
1433,In Service,Petanque,Recreational,Unknown,Non-Seasonal,Unknown,2008/05/20 00:00:00+00,,Petanque,66m ESE of Centre of Park,,,,,,,Akaroa Recreation Ground,No,Banks Peninsula,2013/08/02 00:43:00+00,2025/04/08 08:53:38+00,62.392193997922,243.284125354751
1434,In Service,Netball,Intermediate,Unknown,Non-Seasonal,Ashphalt,2008/03/10 00:00:00+00,,NetBall Court,,,,,,,,Akaroa Recreation Ground,No,Banks Peninsula,2013/08/02 00:58:00+00,2025/04/08 08:53:38+00,162.062280917143,203.526166283581
1435,In Service,Netball,Intermediate,Unknown,Non-Seasonal,Ashphalt,2008/05/20 00:00:00+00,,NetBall Court,103m NNE of Centre of Park,,,,,,,Akaroa Recreation Ground,No,Banks Peninsula,2013/08/02 00:58:00+00,2025/04/08 08:53:38+00,162.176066735291,216.340198226078
1436,In Service,Netball,Intermediate,Unknown,Non-Seasonal,Ashphalt,2002/07/01 00:00:00+00,,NetBall Court,187m SSW of Centre of Park,,,,,,,Macfarlane Park,Yes,Northern Contract Area,2013/08/02 00:58:00+00,2025/04/08 08:53:38+00,86.9924516541713,435.870344497952
1437,In Service,Netball,Intermediate,Unknown,Non-Seasonal,Ashphalt,2008/07/02 00:00:00+00,,NetBall Court,108m SSE of Centre of Park,,,,,,,Crosbie Park,Yes,Northern Contract Area,2013/08/02 00:58:00+00,2025/04/08 08:53:38+00,103.911699192129,589.029044962676
1438,In Service,Netball,Intermediate,Unknown,Non-Seasonal,Ashphalt,2008/08/05 00:00:00+00,,NetBall Court,292m WNW of Centre of Park,,,,,,,Halswell Domain,Yes,Eastern Contract Area,2013/08/02 00:58:00+00,2025/04/08 08:53:38+00,93.1540359343119,455.307015467059
1439,In Service,Netball,Intermediate,Unknown,Non-Seasonal,Ashphalt,2008/08/11 00:00:00+00,,NetBall Court,68m W of Centre of Park,,,,,,,Templeton Domain,Yes,Southern Contract Area,2013/08/02 00:58:00+00,2025/04/08 08:53:38+00,168.65595645083,259.376058384121
1440,In Service,Netball,Intermediate,Unknown,Non-Seasonal,Ashphalt,2006/03/22 00:00:00+00,,NetBall Court,80m SE of Centre of Park,,,,,,,Kirk Reserve,Yes,Eastern Contract Area,2013/08/02 00:58:00+00,2025/04/08 08:53:38+00,174.455266768105,352.541189776339
