OBJECTID,Reference,Category,Location,TotalArea,Playground,Reserve_Name,DisplayOrder,Image,Shape__Area,Shape__Length
126,OS15,OpenSpaceMaintained,Rural,1.5099,No,Paparewa Reserve,4,Yes,15170.1982421875,946.163491153519
127,OS16,OpenSpaceMaintained,Rural,0.1695,No,Pouhokio Stream Esplanade Reserve,4,No,1715.2421875,224.266393277801
128,C44,Community,Rural,11.1803,Yes,Waimarama Domain,2,Yes,109926.64453125,2502.61875185856
129,OS35,OpenSpaceNatural,Rural,1.7425,No,Waingongoro Stream Recreation Reserve,5,Yes,17453.6962890625,1123.36401397669
130,OS08,OpenSpaceMaintained,Rural,1.4567,No,Harper Road Esplanade Reserve,4,Yes,14404.6865234375,1499.76286669229
131,OS02,OpenSpaceMaintained,Rural,1.3645,No,Waimarama Domain (Airini Road Reserve),4,No,14446.0107421875,1058.43666631471
132,C35,Community,Rural,3.8841,Yes,Puketapu Park,2,Yes,60300.54296875,1388.96286462154
133,OS24,OpenSpaceNatural,Rural,5.9259,No,Hakowhai Recreation Reserve,5,Yes,58741.4228515625,1551.45197452156
134,L22,LinkageEcological,Rural,0.2880,No,Puketapu Esplanade Reserve,7,Yes,2782.9609375,331.562490961955
135,CH08,Cultural,Rural,0.3027,No,Puketapu Cemetery,6,Yes,3033.84765625,266.486301670198
136,C09,Community,Rural,12.5453,Yes,Eskdale Park,2,Yes,122686.66796875,1736.16969169688
137,L10,LinkageEcological,Rural,0.6550,No,Esk River Esplanade Reserves,7,Yes,7222.744140625,752.050699709142
138,L31,LinkageEcological,Rural,1.1500,No,Waipunga Road Esplanade Reserves,7,Yes,11602.5390625,1044.31244496141
139,L32,LinkageEcological,Rural,1.1910,No,Yule Road Esplanade Reserve,7,Yes,9490.1923828125,1151.1146730275
140,CH02,Cultural,Rural,0.0076,No,Eskdale War Memorial Site,6,No,251.9853515625,70.6287840032035
141,C36,Community,Rural,2.0234,Yes,Putorino Domain,2,Yes,19661.150390625,563.37028296622
142,OS19,OpenSpaceMaintained,Rural,2.2328,No,Te Pohue Hall,4,Yes,22781.1298828125,593.074701821022
143,L18,LinkageEcological,Rural,15.0980,No,McVicar Road Esplanade Reserves,7,Yes,160797.586914062,8648.0058992179
144,CS12,CivicSpace,Rural,0.8093,No,Tutira Hall,9,Yes,7908.212890625,404.72551331382
145,L30,LinkageEcological,Rural,2.5693,No,Waikoau Road Esplanade Reserve,7,Yes,29853.1806640625,1798.23436052069
146,OS28,OpenSpaceNatural,Rural,7.9925,No,Ridgemount Road Plantation Reserve,5,Yes,85661.6533203125,1586.56524017122
147,OS10,OpenSpaceMaintained,Rural,63.4068,Yes,Hutchinson Domain,4,No,651486.876953125,5491.93296404286
148,C18,CivicSpace,Rural,0.0809,No,Kaiwaka Hall,9,Yes,813.607421875,114.281178047815
149,OS21A,OpenSpaceMaintained,Rural,5.1078,No,Waipatiki Domain,4,Yes,51078.412109375,2236.41460791877
150,L09,LinkageEcological,Rural,1.2760,No,Ellis Wallace Road Esplanade Reserves,7,Yes,13424.37109375,1767.17744522407
151,CS11,CivicSpace,Rural,0.0801,No,Patoka Hall,9,Yes,981.015625,127.951343972298
152,OS31,OpenSpaceNatural,Rural,5.4060,No,Tangoio Beach Reserve,5,Yes,61399.0283203125,1910.27168557975
153,OS37,OpenSpaceNatural,Rural,17.6141,No,Whirinaki Recreation Reserve,5,No,167357.435546875,7144.12647497866
154,OS05,OpenSpaceMaintained,Rural,0.9637,No,Dartmoor Bridge Recreation Reserve,4,Yes,13009.7333984375,666.873237156577
155,L07,LinkageEcological,Rural,0.8900,No,Crownthorpe Road Esplanade Reserve,7,Yes,7639.521484375,772.914280361219
156,L15,LinkageEcological,Rural,6.3000,No,Mangatarata Stream Esplanade Reserve,7,No,63100.166015625,6113.99765057212
157,L25,LinkageEcological,Rural,3.5000,No,Shanley Road Esplanade Reserve,7,Yes,24229.9951171875,3555.75511532509
158,OS18,OpenSpaceMaintained,Rural,10.9642,No,Roys Hill Reserve,4,No,109877.814453125,1425.74385772142
159,L27,LinkageEcological,Rural,0.1950,No,Taihape Road Esplanade Reserve,7,Yes,2031.7158203125,412.291604266624
160,CS13,CivicSpace,Plains,0.1338,No,Twyford Hall,9,Yes,1340.333984375,147.926873178682
161,OS12,OpenSpaceMaintained,Rural,6.0804,No,Matapiro War Memorial Site,4,Yes,59230.69921875,977.329370704669
162,L17,LinkageEcological,Rural,0.4000,No,Matapiro Road Esplanade Reserves,7,No,4189.7998046875,616.956906158436
163,L20,LinkageEcological,Rural,1.0165,No,Ngaruroro River Esplanade Reserves,7,Yes,9315.048828125,1371.27713879995
164,OS36,OpenSpaceNatural,Rural,10.0984,No,Whanaukino Gorge Reserve,5,No,101133.782226562,2224.73625573539
165,L14,LinkageEcological,Rural,0.1368,No,Kereru Road Esplanade Reserve,7,No,1372.052734375,201.439734933069
166,CH07,Cultural,Rural,0.2453,No,Maraekakaho War Memorial ,6,Yes,2479.0751953125,259.667971340721
167,L28,LinkageEcological,Rural,0.1018,No,Tait Road Esplanade Reserves,7,Yes,1361.99609375,222.275325316727
168,L21,LinkageEcological,Plains,0.1666,No,Old Main Road Esplanade Reserve,7,No,1611.421875,273.436158053844
169,CH06,Cultural,Plains,8.1292,No,Mangaroa Cemetery,6,No,81616.7783203125,1594.33073590669
170,OS27,OpenSpaceNatural,Rural,1.7400,No,Maraetotara Waterfalls,5,Yes,17380.244140625,2476.29022392253
171,L16,LinkageEcological,Rural,2.6120,No,Maraetotara Road Esplanade Reserve,7,Yes,23515.353515625,2567.56880246676
172,OS14,OpenSpaceMaintained,Rural,1.7472,No,Ocean Beach,4,Yes,17507.921875,584.123029556261
173,C27,Community,HavelockNorth,0.3176,No,Meissner Park,2,No,3176.595703125,231.062150016079
174,C47,Community,HavelockNorth,0.2253,No,Whakatomo Park,2,No,2260.806640625,275.428541148095
175,L54,LinkageEcological,Plains,0.0728,No,Johnston Way Esplanade Reserves,7,No,246.7919921875,880.26833846318
176,L58,LinkageUrban,Hastings,0.0657,No,Sue Place Reserve,8,No,658.5439453125,154.092392518989
177,OS21B,OpenSpaceNatural,Rural,16.4705,No,Waipatiki Bush Reserve,5,No,164705.62890625,2113.47652212664
178,OS40,OpenSpaceNatural,HavelockNorth,107.4542,No,Te Mata Park,5,No,1040434.80078125,9839.43597148771
179,OS09C,OpenSpaceNatural,Plains,5.0497,No,Clive Grange (Haumoana Lagoon),5,Yes,50497.162109375,2190.30571057396
180,OS09A,OpenSpaceMaintained,Plains,4.9297,No,Clive Grange (Haumoana Domain),4,Yes,49297.4228515625,912.876680714118
181,OS09D,OpenSpaceNatural,Plains,13.0512,No,Clive Grange (Clifton Road Reserve),5,Yes,129407.428710938,3322.67493862952
182,C54,Community,Hastings,0.1285,No,Lochhead Street Reserve,,No,1287.6748046875,149.317003233277
183,C53,Community,Hastings,0.5669,Yes,Lawrie Cook Reserve,,No,5677.2822265625,697.597355584291
186,C52,Community,Flaxmere,,No,Korowai Street Reserve,,No,993.6650390625,138.72254257552
187,L57,Community,Plains,0.2425,No,Read Crescent Reserve,,No,2426.1806640625,478.813791176824
188,C51,Community,Haumoana - Te Awanga,1.6478,No,Te Awanga Terrace Reserve (Community),,No,16515.9716796875,1002.7341172953
189,OS39,OpenSpaceMaintained,Haumoana - Te Awanga,0.1282,No,Te Awanga Terrace Reserve (Open Space),,No,1285.17578125,146.068956336917
190,,,Hastings,41.1,No,Tomoana Showgrounds,,,412028.107421875,2566.37563979641
