X,Y,SportsEquipmentID,Type,ServiceStatus,Ownership,Responsibility,Maintenance,LocationCertainty,InstallationCompany,OwnerType,ContractArea,InContract,Artwork,Construction,SurfaceFinish,SurveyDate,CommissionDate,DonorName,FallHeight,NumberOfAssets,SiteName,Photo,PhotographURL,AssetLongDescription,Comment,SAPInternalReference,IDSAssetUniqueID,LastEditDate
1566292.5543,5184910.0077,311317,Skateboard Rail,In Service,CCC,Park,Park,Survey Accurate,Unknown,Council,Northern Contract Area,No,,Metal,None,2022/10/30 00:00:00+00,2021/12/09 00:00:00+00,,0.60000002,,PRK_0322 - Bishopdale Park,"<table><tr><td><a href=""https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20221030/SportsE301025/SportsE301025.jpg""><img src=""https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20221030/SportsE301025/SportsE301025.jpg"" style=""width:150px;height:auto;""""></a></td></tr></table>",https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20221030/SportsE301025/SportsE301025.jpg,Box rail in West area of skatepark,,IE000000000011510837,25,2022/12/09 12:30:30+00
1566306.0076,5184903.0691,311318,Skateboard Rail,In Service,CCC,Park,Park,Survey Accurate,Unknown,Council,Northern Contract Area,No,,Metal,None,2022/10/30 00:00:00+00,2021/12/09 00:00:00+00,,0.5,,PRK_0322 - Bishopdale Park,"<table><tr><td><a href=""https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20221030/SportsE301026/SportsE301026.jpg""><img src=""https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20221030/SportsE301026/SportsE301026.jpg"" style=""width:150px;height:auto;""""></a></td></tr></table>",https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20221030/SportsE301026/SportsE301026.jpg,Small bent rail in North-East are of skatepark,,IE000000000011510838,26,2022/12/09 12:30:22+00
1566306.8942,5184911.7424,311319,Skateboard Bowl,In Service,CCC,Park,Park,Survey Accurate,Unknown,Council,Northern Contract Area,No,,Metal,None,2022/10/30 00:00:00+00,2021/12/09 00:00:00+00,,1.5,,PRK_0322 - Bishopdale Park,"<table><tr><td><a href=""https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20221030/SportsE301027/SportsE301027.jpg""><img src=""https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20221030/SportsE301027/SportsE301027.jpg"" style=""width:150px;height:auto;""""></a></td></tr></table>",https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20221030/SportsE301027/SportsE301027.jpg,Main bowl in North area of skatepark,,IE000000000011510839,27,2022/12/09 12:33:30+00
1566306.7786,5184897.8265,311320,Skateboard Rail,In Service,CCC,Park,Park,Survey Accurate,Unknown,Council,Northern Contract Area,No,,Metal,None,2022/10/30 00:00:00+00,2021/12/09 00:00:00+00,,0.40000001,,PRK_0322 - Bishopdale Park,"<table><tr><td><a href=""https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20221030/SportsE301028/SportsE301028.jpg""><img src=""https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20221030/SportsE301028/SportsE301028.jpg"" style=""width:150px;height:auto;""""></a></td></tr></table>",https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20221030/SportsE301028/SportsE301028.jpg,Straight rail in East area of skatepark,,IE000000000011510840,28,2022/12/09 12:34:07+00
1566309.0914,5184893.8561,311321,Skateboard Ramp,In Service,CCC,Park,Park,Survey Accurate,Unknown,Council,Northern Contract Area,No,,Concrete,None,2022/10/30 00:00:00+00,2021/12/09 00:00:00+00,,1.5,,PRK_0322 - Bishopdale Park,"<table><tr><td><a href=""https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20221030/SportsE301029/SportsE301029.jpg""><img src=""https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20221030/SportsE301029/SportsE301029.jpg"" style=""width:150px;height:auto;""""></a></td></tr></table>",https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20221030/SportsE301029/SportsE301029.jpg,South ramp in smaller skateboard area,,IE000000000011510841,29,2022/12/09 12:34:24+00
1566296.8447,5184901.5464,311322,Skateboard Ramp,In Service,CCC,Park,Park,Survey Accurate,Unknown,Council,Northern Contract Area,No,,Concrete,None,2022/10/30 00:00:00+00,2021/12/09 00:00:00+00,,1.1,,PRK_0322 - Bishopdale Park,"<table><tr><td><a href=""https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20221030/SportsE301030/SportsE301030.jpg""><img src=""https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20221030/SportsE301030/SportsE301030.jpg"" style=""width:150px;height:auto;""""></a></td></tr></table>",https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20221030/SportsE301030/SportsE301030.jpg,Ramp in centre of skatepark,,IE000000000011510842,30,2022/12/09 12:32:15+00
1572109.8518,5178990.5331,311329,Goal posts,In Service,CCC,Park,Park,Survey Accurate,City Care Ltd,Council,Unknown,Unknown,,Metal,Painted,2022/06/22 00:00:00+00,2021/08/30 00:00:00+00,,3,,PRK_2686 - Lancaster Park,"<table><tr><td><a href=""https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20220622/SportsE22069/SportsE22069.jpg""><img src=""https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20220622/SportsE22069/SportsE22069.jpg"" style=""width:150px;height:auto;""""></a></td></tr></table>",https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20220622/SportsE22069/SportsE22069.jpg,Rugby posts in centre of park - 2 of 4 (NE),,IE000000000011511479,9,2024/04/30 07:27:05+00
1572017.7286,5178835.9737,311330,Goal posts,In Service,CCC,Park,Park,Survey Accurate,City Care Ltd,Council,Unknown,No,,Metal,Painted,2022/06/22 00:00:00+00,2021/08/30 00:00:00+00,,2.0999999,,PRK_2686 - Lancaster Park,"<table><tr><td><a href=""https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20220622/SportsE220610/SportsE220610.jpg""><img src=""https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20220622/SportsE220610/SportsE220610.jpg"" style=""width:150px;height:auto;""""></a></td></tr></table>",https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20220622/SportsE220610/SportsE220610.jpg,Moveable football goals - 1 of 2 (W),,IE000000000011511480,10,2024/04/30 07:27:30+00
1572109.7442,5178890.3354,311331,Goal posts,In Service,CCC,Park,Park,Survey Accurate,City Care Ltd,Council,Unknown,No,,Metal,Painted,2022/06/22 00:00:00+00,2021/08/30 00:00:00+00,,3,,PRK_2686 - Lancaster Park,"<table><tr><td><a href=""https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20220622/SportsE220611/SportsE220611.jpg""><img src=""https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20220622/SportsE220611/SportsE220611.jpg"" style=""width:150px;height:auto;""""></a></td></tr></table>",https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20220622/SportsE220611/SportsE220611.jpg,Rugby posts in centre of park - 3 of 4 (SE),,IE000000000011511481,11,2024/04/30 07:27:30+00
1572112.5579,5178836.1017,311332,Goal posts,In Service,CCC,Park,Park,Survey Accurate,City Care Ltd,Council,Unknown,No,,Metal,Painted,2022/06/22 00:00:00+00,2021/08/30 00:00:00+00,,2.0999999,,PRK_2686 - Lancaster Park,"<table><tr><td><a href=""https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20220622/SportsE220612/SportsE220612.jpg""><img src=""https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20220622/SportsE220612/SportsE220612.jpg"" style=""width:150px;height:auto;""""></a></td></tr></table>",https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20220622/SportsE220612/SportsE220612.jpg,Moveable football goals - 2 of 2 (E),,IE000000000011511482,12,2024/04/30 07:27:31+00
