RESERVE_NA,Alternative_Park_Name,Type,OBJECTID,UNITID,COMPKEY,COMPTYPE,Managed,Owner,Hectares,In_Parks_Maintenance_Contract,GlobalID,created_user,created_date,last_edited_user,last_edited_date,ShapeSTArea,ShapeSTLength
McLeod Park,McLeod Park,Community Park,67,MCLEOD-PARK,88325,18,Yes,GWRC,3.13533556,Yes,{3DF38E51-BD0A-4BDE-9EF3-8D062EC545BC},,,,,31351.1973836,1558.83632799912
Harcourt Park Soccer,Harcourt Park Soccer,Community Park,68,HARCOURT-SOCCER,89144,18,Yes,UHCC,2.82307013,Yes,{D5723E6C-68A1-45A0-A73C-3C22EB45B01F},,,,,28229.58186136,676.000392550212
Blackbeech Esplanade Reserve,Blackbeech Esplanade Reserve,Nature Reserve,70,BLACKBEECH-ESPL,89277,18,Yes,UHCC,1.91881789,Yes,{318DACAE-BA21-4D13-85DB-4AACDE3C67B8},,,,,19187.41979516,2001.00568983415
Sylvan Heights Reserve,Sylvan Heights Reserve,Nature Reserve,74,SYLVAN-RESERVE,89288,18,Yes,UHCC,10.52867695,Yes,{BF810F02-2618-48B7-822D-E8D942190E20},,,,,105276.305015775,3026.48024781193
Wyndham Park,Wyndham Park,Nature Reserve,75,WYNDHAM-PARK,89289,18,Yes,UHCC,2.45374705,Yes,{EDC30865-5F42-4231-9B15-B1202A5F1FB4},,,,,24535.02385606,1073.62550528629
Whitemans Valley Reserve,Whitemans Valley Reserve,Community Park,76,WHITEMANS-GRAZING,89290,18,Yes,UHCC,1.96471797,No,{2731C569-356C-4D12-8FA4-D9387349E450},,,,,19646.319035725,585.555546382169
Te Haukāretu Park,Te Haukāretu Park,Community Park,77,TE HAUKARETU-PARK,89299,18,Yes,UHCC,4.40311167,Yes,{F6617BA2-3666-46B7-B59A-BDCE8FB71D9D},,,,,44029.37997953,2157.56302466745
Civic Centre,Civic Centre,Civic Precinct,78,CIVIC-CENTRE,89272,18,Yes,UHCC,2.03750551,No,{04A0689B-AA8F-4A1A-9435-FEA331F5A25A},,,,,20373.861205915,666.950919952066
Tawai Park,Tawai Park,Community Park,79,TAWAI-PARK,87541,18,Yes,UHCC,0.22583416,Yes,{533C7B47-F416-44B0-962D-643D4D1CC369},,,,,2258.16437116,195.500609546969
Akatārawa Cemetery,Akatārawa Cemetery,Community Park,80,AKA-CEMETERY,92449,18,Yes,UHCC,66.70915738,No,{351A5495-C244-4149-8A41-41DA01BA1A25},,,,,667074.319802085,4009.14701482728
Heretaunga Park,Heretaunga Park,Community Park,81,HERETAUNGA-PARK,87626,18,Yes,UHCC,4.6750353,Yes,{88DBFD2F-C3E4-4A44-9551-965158AC43A2},,,,,46745.79960279,2361.07518465463
Railway Green Space,Railway Green Space,Neighbourhood Park,84,RAILWAY-GNSPACE,100142,18,Yes,KiwiRail,0.1117004,No,{DEFE13AD-1FE4-450C-8C5C-D1BE713EFF00},,,,,1116.94347945,184.259558899791
Silverstream Park,Silverstream Park,Community Park,85,SILVER-PARK,87473,18,Yes,UHCC,0.57415195,Yes,{C16AA5F2-4AD2-4C3F-84ED-60718F6E4890},,,,,5740.96085952,358.946856962748
Upper Plateau Park,Upper Plateau Park,Community Park,87,UPPER-PLATEAU,87651,18,Yes,UHCC,0.63535785,Yes,{1BAFD6B9-7E47-4ED2-82A6-43D7F656F1B1},,,,,6353.58098092,320.455400289951
Plateau Road Play Area,Plateau Road Play Area,Community Park,88,PLATEAU-PARK,87669,18,Yes,UHCC,0.16787992,Yes,{09DF0EFF-9A8E-4140-8A9A-CBC576B77AAE},,,,,1678.780445865,166.669981291345
Riverbank Park,Riverbank Park,Neighbourhood Park,90,RIVERBNK-PARK,88746,18,Yes,GWRC,1.17336553,Yes,{23B375A3-9E8C-4F17-AB6C-78BC4B7F7191},,,,,11732.898492005,792.521674327668
Mangaroa Reserve,Mangaroa Reserve,Nature Reserve,91,MANGAROA-RESERVE,89293,18,Yes,UHCC,0.44869517,Yes,{B4CC30F1-E3B3-448C-AF37-3945A49BC268},,,,,4486.71662173,493.765334917104
Grant's Bush,Grant's Bush,Nature Reserve,92,GRANT'S-BUSH,0,0,Yes,UHCC,3.12657376,Yes,{8A5DBB8A-67F8-4F7C-B9C1-3A7EE50F467B},,,,,31263.538793475,717.440786774978
Birchville Picnic Area,Birchville Picnic Area,Community Park,93, ,0,0,Yes,UHCC,0.65721172,Yes,{899E78C6-D850-403A-A2A0-3EB79DC9B908},,,,,6571.88071942,482.402914524486
Wallaceville Reserve,Wallaceville Reserve,Community Park,94, ,0,0,Yes,UHCC,4.60702976,Yes,{DEE780B1-4B15-49ED-90E4-63B20DF32131},,,,,46067.025881505,1344.15373598386
Wī Tako Ngātata Scenic Reserve,Wī Tako Ngātata Scenic Reserve,Nature Reserve,95, ,0,0,No,PRIVATE,59.22596534,No,{8BCBDE65-7037-460E-9E49-C5564DEFE1C0},,,,,592210.418115115,3931.12578334489
Trentham Scenic Reserve,Trentham Scenic Reserve,Nature Reserve,96, ,0,0,Yes,DOC,38.22413647,Yes,{07DC57EF-3F50-47D3-8B19-A06EADC7E23F},,,,,377096.703450255,4002.45639101322
No 1 Line Reserve,No 1 Line Reserve,Nature Reserve,102, ,0,0,Yes,UHCC,4.57878083,No,{8FF4B8A9-C3ED-49BD-9C81-EFBD6ACFD450},,,,,45781.707588625,4695.57055819893
