SportFieldID,ServiceStatus,SportCode,SportLevel,SportBookingOrganisation,SportSeason,SportSurface,FieldNumber,FieldName,LongDescription,SeasonStartDate,SeasonEndDate,MidSeasonBreakStartDate,MidSeasonBreakEndDate,TrainingDays,MatchDays,ParkName,InContract,ContractArea,CreateDate,LastEditDate,SHAPE_Length,SHAPE_Area
2329,In Service,American Football,Junior,Christchurch City Council,Summer,Grass,3,Junior American Football 3,,2023/09/13 15:00:00+00,2024/03/31 18:00:00+00,2023/12/22 18:00:00+00,2024/01/12 19:00:00+00,,Friday,Marshland Domain,,,2023/09/04 12:18:33+00,2023/09/04 12:18:33+00,171.606938906663,1650.68066281828
2330,In Service,American Football,Junior,Christchurch City Council,Summer,Grass,4,Junior American Football 4,,2023/09/13 15:00:00+00,2024/03/31 19:00:00+00,2023/12/22 19:00:00+00,2024/01/12 19:00:00+00,"Tuesday,Wednesday,Thursday,Friday,Saturday",Friday,Marshland Domain,,,2023/09/04 12:20:54+00,2023/09/04 12:20:54+00,166.478830723776,1519.80504388245
2331,In Service,American Football,Senior,Christchurch City Council,Summer,Grass,1,Senior American Football 1,,2023/08/16 17:00:00+00,2024/02/21 19:00:00+00,2023/12/21 19:00:00+00,2024/01/14 19:00:00+00,Wednesday,"Saturday,Sunday",Rawhiti Domain,,,2023/09/04 12:42:10+00,2023/09/04 12:42:10+00,262.217675573688,4048.36127421597
2332,In Service,Touch Rugby,Senior,Christchurch City Council,Summer,Grass,3,Senior Touch Rugby 3,,2023/10/11 00:00:00+00,2024/02/22 00:00:00+00,2023/12/14 00:00:00+00,2024/01/17 00:00:00+00,,"Wednesday,Thursday",Lancaster Park,,,2023/09/04 12:54:10+00,2023/09/04 12:54:10+00,224.587920748615,2987.45810444537
2333,In Service,Touch Rugby,Senior,Christchurch City Council,Summer,Grass,4,Senior Touch Rugby 4,,2023/10/11 00:00:00+00,2024/02/22 00:00:00+00,2023/12/14 00:00:00+00,2024/01/17 00:00:00+00,,"Wednesday,Thursday",Lancaster Park,,,2023/09/04 12:56:12+00,2023/09/04 12:56:12+00,223.409058752385,2975.50995394199
2334,In Service,Touch Rugby,Senior,Christchurch City Council,Summer,Grass,5,Senior Touch Rugby 5,,2023/10/11 00:00:00+00,2024/02/22 00:00:00+00,2023/12/14 00:00:00+00,2024/01/17 00:00:00+00,,"Wednesday,Thursday",Lancaster Park,,,2023/09/04 12:58:22+00,2023/09/04 12:58:22+00,221.591411799092,2974.44565367956
2335,Out of Service,Touch Rugby,Senior,Christchurch City Council,Summer,Grass,7,Senior Touch Rugby 7,,2023/10/11 00:00:00+00,2024/02/22 00:00:00+00,2023/12/14 00:00:00+00,2024/01/17 00:00:00+00,,"Wednesday,Thursday",Lancaster Park,,,2023/09/04 13:00:37+00,2024/08/26 09:29:12+00,235.93918192963,3339.42640605442
2336,In Service,Touch Rugby,Senior,Christchurch City Council,Summer,Grass,6,Senior Touch Rugby 6,,2023/10/11 00:00:00+00,2024/02/22 00:00:00+00,2023/12/14 00:00:00+00,2024/01/17 00:00:00+00,,"Wednesday,Thursday",Lancaster Park,,,2023/09/04 13:02:24+00,2023/09/04 13:02:24+00,220.420738263695,2969.09668251341
2337,In Service,Ki o Rahi,Senior,Christchurch City Council,Summer,Grass,3,Senior Ki o Rahi 3,,2023/10/10 00:00:00+00,2024/03/26 00:00:00+00,2023/12/19 00:00:00+00,2024/01/09 00:00:00+00,,Tuesday,Hoon Hay Park,,,2023/09/04 13:07:56+00,2024/08/27 12:39:15+00,182.547625516024,2070.54841379903
2338,In Service,American Football,Senior,Christchurch City Council,Summer,Grass,1,Senior American Football 1,,2024/01/07 00:00:00+00,2024/03/24 00:00:00+00,,,,Sunday,Hagley Park North,,,2023/09/04 13:16:09+00,2023/09/04 13:16:09+00,263.440176287135,4137.86908795885
2339,In Service,American Football,Senior,Christchurch City Council,Summer,Grass,2,Senior American Football 2,,2024/01/07 00:00:00+00,2024/03/24 00:00:00+00,,,,Sunday,Hagley Park North,,,2023/09/04 13:17:46+00,2023/09/04 13:17:46+00,250.45194396579,3756.74776667971
2340,In Service,Touch Rugby,Senior,Christchurch City Council,Summer,Grass,1,Senior Touch Rugby 1,,2023/10/13 00:00:00+00,2024/03/01 00:00:00+00,2023/12/08 00:00:00+00,2024/01/12 00:00:00+00,,Friday,Bower Park,,,2023/09/04 13:22:57+00,2023/09/04 13:22:57+00,244.536593937321,3519.86766943577
2341,In Service,Touch Rugby,Senior,Christchurch City Council,Summer,Grass,2,Senior Touch Rugby 2,,2023/10/13 00:00:00+00,2024/03/01 00:00:00+00,2023/12/08 00:00:00+00,2024/01/12 00:00:00+00,,Friday,Bower Park,,,2023/09/04 13:24:56+00,2023/09/04 13:24:56+00,248.912420165304,3682.66059763467
2342,In Service,Touch Rugby,Senior,Christchurch City Council,Summer,Grass,3,Senior Touch Rugby 3,,2023/10/13 00:00:00+00,2024/03/01 00:00:00+00,2023/12/08 00:00:00+00,2024/01/12 00:00:00+00,,Friday,Bower Park,,,2023/09/04 13:27:42+00,2024/09/06 13:22:28+00,231.676518292713,3192.1489031533
2343,In Service,Touch Rugby,Senior,Christchurch City Council,Summer,Grass,4,Senior Touch Rugby 4,,2023/10/13 00:00:00+00,2024/03/01 00:00:00+00,2023/12/08 00:00:00+00,2024/01/12 00:00:00+00,,Friday,Bower Park,,,2023/09/04 13:29:39+00,2023/09/04 13:29:39+00,225.511084704304,2950.01464967649
2344,In Service,Touch Rugby,Senior,Christchurch City Council,Summer,Grass,1,Senior Touch Rugby 1,,2023/10/12 00:00:00+00,2023/12/14 00:00:00+00,,,,Thursday,Te Papa Kura Redcliffs Park,,,2023/09/04 13:32:58+00,2023/09/04 13:32:58+00,218.3119582233,2888.45884152394
2345,In Service,Touch Rugby,Senior,Christchurch City Council,Summer,Grass,2,Senior Touch Rugby 2,,2023/10/12 00:00:00+00,2023/12/14 00:00:00+00,,,,Thursday,Te Papa Kura Redcliffs Park,,,2023/09/04 13:34:35+00,2023/09/04 13:34:35+00,216.557366721523,2807.63979532664
2346,In Service,Softball,Senior,Christchurch City Council,Summer,Grass,3,Senior Softball 3 - Linfield,Cuthberts Green - Linfield Park,2023/10/07 09:00:00+00,2024/03/30 18:00:00+00,2023/12/16 18:00:00+00,2024/01/13 09:00:00+00,"Monday,Tuesday,Wednesday,Thursday,Friday",Saturday,Cuthberts Green,,,2023/09/18 09:00:48+00,2024/08/26 08:37:01+00,99.4795678264862,619.959384042461
2347,Out of Service,Softball,Junior,Christchurch City Council,Summer,Grass,1,Junior Softball 1,,2023/10/14 09:00:00+00,2024/03/30 18:00:00+00,2023/12/16 18:00:00+00,2024/01/13 09:00:00+00,"Monday,Tuesday,Wednesday,Thursday,Friday",Saturday,Cuthberts Green,,,2023/09/18 09:06:46+00,2024/08/26 08:38:07+00,59.1435848792607,214.052470769749
2348,In Service,Lacrosse,Senior,Christchurch City Council,Summer,Grass,1,Senior Lacrosse 1,,2023/10/02 17:00:00+00,2024/03/24 19:30:00+00,2023/12/18 19:30:00+00,2024/01/14 18:00:00+00,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Monday,Addington Park,,,2023/09/26 09:51:04+00,2023/09/26 09:51:04+00,339.754907470693,6673.85847330101
2349,In Service,Rugby League,Senior,Christchurch City Council,Winter,Grass,2,Linwood Park Senior Rugby League 2,,2024/04/06 00:00:00+00,2024/09/01 00:00:00+00,,,"Monday,Tuesday,Wednesday,Thursday,Friday","Saturday,Sunday",Linwood Park,Yes,,2024/03/04 15:28:47+00,2024/06/08 02:21:38+00,372.601968949407,8002.58298703454
2350,In Service,Football,Intermediate,Christchurch City Council,Winter,Grass,2,Intermediate Football 2,,2024/04/27 00:00:00+00,2024/09/01 00:00:00+00,,,,,Ferrymead Park,,,2024/03/11 15:08:28+00,2024/03/11 15:08:28+00,232.02704202581,3208.69015830945
2351,In Service,Football,Junior,Christchurch City Council,Winter,Grass,2,Junior Football 2,,2024/04/01 14:41:56+00,2024/08/30 14:42:27+00,,,,Saturday,Avondale Park,Yes,,2024/05/14 14:43:33+00,2024/06/08 02:21:38+00,124.804511450718,943.243571985259
2352,In Service,Football,Junior,Christchurch City Council,Winter,Grass,1,Junior Football 1,,2024/04/01 14:45:48+00,2024/08/30 14:45:55+00,,,,Saturday,Avondale Park,Yes,,2024/05/14 14:46:12+00,2024/06/08 02:21:39+00,126.123775549442,958.44479032961
2353,In Service,Football,Junior,Christchurch City Council,Winter,Grass,2,Junior Football 2,,2024/04/01 14:51:50+00,2024/08/30 14:51:54+00,,,,,Westminster Park,Yes,,2024/05/14 14:52:13+00,2024/06/08 02:21:38+00,201.955428670126,2415.64570125171
2354,In Service,Football,Junior,Christchurch City Council,Winter,Grass,3,Junior Football 3,,2024/04/01 14:54:02+00,2024/08/30 14:54:06+00,,,"Monday,Tuesday,Wednesday,Thursday,Friday",Saturday,Westminster Park,Yes,,2024/05/14 14:54:20+00,2024/06/08 02:21:38+00,202.376753501725,2411.54256409746
