Year as at February,Industry,Industry Code,Measure,Value,Value Unit,Value Label,Null Reason
2010,Free-to-air television broadcasting,J5621,Employee count,1950,number,Number of employees,
2010,Heritage activities,R89,Employee count,6000,number,Number of employees,
2010,Domestic appliance repair and maintenance,S9421,Employee count,1050,number,Number of employees,
2011,Mushroom and vegetable growing,A012,Enterprises,1308,number,Number of enterprises,
2011,Agriculture and fishing support services,A052,Enterprises,5352,number,Number of enterprises,
2011,Printing (except printing support services),C1611,Employee count,8700,number,Number of employees,
2011,Sewerage and drainage services,D2812,Employee count,15,number,Number of employees,
2011,Machinery and equipment wholesaling,F34,Employee count,29500,number,Number of employees,
2011,"Furniture, floor coverings and other goods wholesaling",F373,Enterprises,4551,number,Number of enterprises,
2011,Motor vehicle parts and tyre retailing,G392,Employee count,4550,number,Number of employees,
2011,Other services,S,Enterprises,21348,number,Number of enterprises,
2011,Machinery and equipment repair and maintenance,S942,Employee count,5500,number,Number of employees,
2012,Log sawmilling,C1411,Enterprises,342,number,Number of enterprises,
2012,Basic non-ferrous metal manufacturing,C213,Employee count,1250,number,Number of employees,
2012,Supermarket and grocery stores,G4110,Enterprises,3087,number,Number of enterprises,
2012,Food and beverage services,H45,Employee count,101400,number,Number of employees,
2012,Heavy machinery and scaffolding rental and hiring,L6631,Enterprises,567,number,Number of enterprises,
2012,Computer system design and related services,M7000,Enterprises,9753,number,Number of enterprises,
2013,Grain-sheep or grain-beef cattle farming,A0145,Enterprises,495,number,Number of enterprises,
2013,"Fish trawling, seining and netting",A0414,Enterprises,309,number,Number of enterprises,
2013,Clay brick manufacturing,C2021,Enterprises,3,number,Number of enterprises,
2013,Plaster product manufacturing,C2032,Employee count,310,number,Number of employees,
2013,Air conditioning and heating services,E3233,Employee count,4050,number,Number of employees,
2013,Other construction services n.e.c.,E3299,Enterprises,1527,number,Number of enterprises,
2013,Air and space transport,I4900,Employee count,13100,number,Number of employees,
2013,Other specialised design services,M6924,Enterprises,3183,number,Number of enterprises,
2013,Correctional and detention services,O7714,Employee count,9300,number,Number of employees,
2013,Chiropractic and osteopathic services,Q8534,Employee count,660,number,Number of employees,
2014,Pig farming,A0192,Enterprises,201,number,Number of enterprises,
2014,Meat processing,C1111,Employee count,23600,number,Number of employees,
2014,Spirit manufacturing,C1213,Employee count,490,number,Number of employees,
2014,Explosives manufacturing,C1892,Enterprises,9,number,Number of enterprises,
2014,Electric cable and wire manufacturing,C2431,Employee count,480,number,Number of employees,
2014,Heavy and civil engineering construction,E310,Enterprises,1578,number,Number of enterprises,
2014,Other specialised industrial machinery and equipment wholesaling,F3419,Enterprises,753,number,Number of enterprises,
2014,Fuel retailing,G4000,Employee count,7300,number,Number of employees,
2014,Accommodation,H4400,Enterprises,4752,number,Number of enterprises,
2014,Motion picture and video production,J5511,Enterprises,2274,number,Number of enterprises,
2014,Building and other industrial cleaning services,N7311,Enterprises,4077,number,Number of enterprises,
2014,Preschool and school education,P80,Enterprises,4056,number,Number of enterprises,
2014,Arts education,P8212,Employee count,510,number,Number of employees,
2015,Bread manufacturing (factory based),C1171,Employee count,4600,number,Number of employees,
2015,Beverage manufacturing,C121,Employee count,9400,number,Number of employees,
2015,Motor vehicle body and trailer manufacturing,C2312,Enterprises,285,number,Number of enterprises,
2015,Shipbuilding and repair services,C2391,Employee count,450,number,Number of employees,
2015,Motor vehicle and motor vehicle parts wholesaling,F350,Enterprises,1614,number,Number of enterprises,
2015,Pharmaceutical and toiletry goods wholesaling,F3720,Enterprises,465,number,Number of enterprises,
2015,Water transport support services,I521,Employee count,5300,number,Number of employees,
2015,Wired telecommunications network operation,J5801,Employee count,6300,number,Number of employees,
2015,Insurance and superannuation funds,K63,Enterprises,519,number,Number of enterprises,
2015,"Architectural, engineering and technical services",M692,Enterprises,12741,number,Number of enterprises,
2015,Engineering design and engineering consulting services,M6923,Employee count,18500,number,Number of employees,
2015,Administrative and support services,N,Employee count,101700,number,Number of employees,
2015,Police services,O7711,Enterprises,3,number,Number of enterprises,
2015,Parks and gardens operations,R892,Enterprises,153,number,Number of enterprises,
2015,Zoological and botanical gardens operation,R8921,Employee count,230,number,Number of employees,
2016,Horse farming,A0191,Employee count,780,number,Number of employees,
2016,Metal ore mining,B080,Enterprises,117,number,Number of enterprises,
2016,Exploration,B101,Employee count,50,number,Number of employees,
2016,Cut and sewn textile product manufacturing,C1333,Employee count,1900,number,Number of employees,
2016,Architectural aluminium product manufacturing,C2223,Enterprises,420,number,Number of enterprises,
2016,Machine tool and parts manufacturing,C2463,Employee count,890,number,Number of employees,
2016,Waste treatment and disposal services,D2921,Employee count,890,number,Number of employees,
2016,Motor vehicle new parts wholesaling,F3504,Enterprises,564,number,Number of enterprises,
2016,Trailer and other motor vehicle retailing,G3913,Enterprises,123,number,Number of enterprises,
2016,Retail commission-based buying and/or selling,G4320,Employee count,90,number,Number of employees,
2016,Telecommunications services,J580,Employee count,11500,number,Number of employees,
2016,Auxiliary insurance services,K6420,Enterprises,2199,number,Number of enterprises,
2016,Amusement parks and centres operation,R9131,Employee count,1600,number,Number of employees,
2016,Other machinery and equipment repair and maintenance,S9429,Enterprises,1092,number,Number of enterprises,
2017,Sheep farming (specialised),A0141,Enterprises,5217,number,Number of enterprises,
2017,Poultry farming,A017,Enterprises,396,number,Number of enterprises,
2017,Prefabricated wooden building manufacturing,C1491,Enterprises,72,number,Number of enterprises,
2017,Reproduction of recorded media,C1620,Enterprises,78,number,Number of enterprises,
2017,Structural metal product manufacturing,C222,Employee count,12700,number,Number of employees,
