Year,Survey question,Response,Grouping variable,Category,Value,Value Unit,Value Label,Null Reason,Metadata 1
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 5 to 17),Disability status,"Non-disabled (rated 'Yes, some difficulty' or 'No, no difficulty')",5292,number,Number of respondents,,"When all of the above statements are rated 'Yes, some difficulty' or 'No, no difficulty'"
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 5 to 17),Neighbourhood deprivation,Low,2256,number,Number of respondents,
2023,Which of the following have you done in the last 7 days?,Base (All respondents aged 5 to 17),Gender,Female,2887,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 5 to 17),Neighbourhood deprivation,Medium,2358,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 5 to 17),Neighbourhood deprivation,High,1276,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 5 to 17),Participation in physical activities in the last 7 days,Participated last 7 days,5341,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 5 to 17),Participation in physical activities in the last 7 days,Not participated last 7 days,549,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 5 to 17),Participation in physical activities in the last 7 days,Less than 30 minutes in last 7 days,578,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 5 to 17),Participation in physical activities in the last 7 days,30-149 minutes in last 7 days,694,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 5 to 17),Participation in physical activities in the last 7 days,150 to 419 minutes in last 7 days,1536,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 5 to 17),Participation in physical activities in the last 7 days,Meeting guidelines: 420 minutes or more in last 7 days,3058,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 5 to 17),Participation in physical activities in the last 7 days,Not meeting guidelines: Less than 420 minutes in last 7 days,2808,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 5 to 17),Region,Northland,174,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 5 to 17),Region,Auckland combined,1462,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 5 to 17),Region,North Harbour,372,number,Number of respondents,
