Year,Cross analysis variable,Category,Measured variable,Response category,Value,Value Unit,Value Label,Null Reason
2021,Ethnic Group,Asian,Percentage of volunteers by number of hours contributed,20 to 25 hours,6.9,percentage,% of people who volunteered,
2021,Ethnic Group,European,Percentage of volunteers by number of hours contributed,25+ hours,18,percentage,% of people who volunteered,
2021,Ethnic Group,Māori,Percentage of volunteers by number of hours contributed,25+ hours,27.8,percentage,% of people who volunteered,
2021,Ethnic Group,Pacific Peoples,Percentage of volunteers by number of hours contributed,25+ hours,24.3,percentage,% of people who volunteered,
2021,Ethnic Group,Asian,Percentage of volunteers by number of hours contributed,25+ hours,10.8,percentage,% of people who volunteered,
2021,Ethnic Group,European,Percentage of total volunteer hours by number of hours contributed,Less than 5 hours,5,percentage,% of people who volunteered,
2021,Ethnic Group,Māori,Percentage of total volunteer hours by number of hours contributed,Less than 5 hours,3.1,percentage,% of people who volunteered,
2021,Ethnic Group,Pacific Peoples,Percentage of total volunteer hours by number of hours contributed,Less than 5 hours,5.7,percentage,% of people who volunteered,
2021,Ethnic Group,Asian,Percentage of total volunteer hours by number of hours contributed,Less than 5 hours,11.4,percentage,% of people who volunteered,
2021,Ethnic Group,European,Percentage of total volunteer hours by number of hours contributed,5 to 10 hours,7.9,percentage,% of people who volunteered,
2021,Ethnic Group,Māori,Percentage of total volunteer hours by number of hours contributed,5 to 10 hours,3.7,percentage,% of people who volunteered,
2021,Ethnic Group,Pacific Peoples,Percentage of total volunteer hours by number of hours contributed,5 to 10 hours,4.3,percentage,% of people who volunteered,
2021,Ethnic Group,Asian,Percentage of total volunteer hours by number of hours contributed,5 to 10 hours,6.9,percentage,% of people who volunteered,
2021,Ethnic Group,European,Percentage of total volunteer hours by number of hours contributed,10 to 15 hours,10.7,percentage,% of people who volunteered,
2021,Ethnic Group,Māori,Percentage of total volunteer hours by number of hours contributed,10 to 15 hours,5.8,percentage,% of people who volunteered,
2021,Ethnic Group,Pacific Peoples,Percentage of total volunteer hours by number of hours contributed,10 to 15 hours,3.3,percentage,% of people who volunteered,
2021,Ethnic Group,Asian,Percentage of total volunteer hours by number of hours contributed,10 to 15 hours,17.1,percentage,% of people who volunteered,
2021,Ethnic Group,European,Percentage of total volunteer hours by number of hours contributed,15 to 20 hours,5.8,percentage,% of people who volunteered,
2021,Ethnic Group,Māori,Percentage of total volunteer hours by number of hours contributed,15 to 20 hours,6.4,percentage,% of people who volunteered,
2021,Ethnic Group,Pacific Peoples,Percentage of total volunteer hours by number of hours contributed,15 to 20 hours,7.8,percentage,% of people who volunteered,
2021,Ethnic Group,Asian,Percentage of total volunteer hours by number of hours contributed,15 to 20 hours,,percentage,% of people who volunteered,suppressed
2021,Ethnic Group,European,Percentage of total volunteer hours by number of hours contributed,20 to 25 hours,10,percentage,% of people who volunteered,
2021,Ethnic Group,Māori,Percentage of total volunteer hours by number of hours contributed,20 to 25 hours,4.2,percentage,% of people who volunteered,
2021,Ethnic Group,Pacific Peoples,Percentage of total volunteer hours by number of hours contributed,20 to 25 hours,8.8,percentage,% of people who volunteered,
2021,Ethnic Group,Asian,Percentage of total volunteer hours by number of hours contributed,20 to 25 hours,13.1,percentage,% of people who volunteered,
2021,Ethnic Group,European,Percentage of total volunteer hours by number of hours contributed,25+ hours,60.5,percentage,% of people who volunteered,
2021,Ethnic Group,Māori,Percentage of total volunteer hours by number of hours contributed,25+ hours,76.8,percentage,% of people who volunteered,
2021,Ethnic Group,Pacific Peoples,Percentage of total volunteer hours by number of hours contributed,25+ hours,70.1,percentage,% of people who volunteered,
2021,Ethnic Group,Asian,Percentage of total volunteer hours by number of hours contributed,25+ hours,49,percentage,% of people who volunteered,
2021,Ethnic Group,European,Number of people by number of hours contributed,Less than 5 hours,485.2,number,Thousands of hours,
2021,Ethnic Group,Māori,Number of people by number of hours contributed,Less than 5 hours,97.3,number,Thousands of hours,
2021,Ethnic Group,Pacific Peoples,Number of people by number of hours contributed,Less than 5 hours,70.9,number,Thousands of hours,
2021,Ethnic Group,Asian,Number of people by number of hours contributed,Less than 5 hours,97.8,number,Thousands of hours,
2021,Ethnic Group,European,Number of people by number of hours contributed,5 to 10 hours,300.1,number,Thousands of hours,
2021,Ethnic Group,Māori,Number of people by number of hours contributed,5 to 10 hours,43.7,number,Thousands of hours,
2021,Ethnic Group,Asian,Number of people by number of hours contributed,15 to 20 hours,,number,Thousands of hours,suppressed
2021,Ethnic Group,European,Number of people by number of hours contributed,20 to 25 hours,121.3,number,Thousands of hours,
2021,Ethnic Group,Māori,Number of people by number of hours contributed,20 to 25 hours,16.7,number,Thousands of hours,
2021,Ethnic Group,Pacific Peoples,Number of people by number of hours contributed,20 to 25 hours,14.3,number,Thousands of hours,
2021,Ethnic Group,Asian,Number of people by number of hours contributed,20 to 25 hours,13,number,Thousands of hours,
2021,Ethnic Group,European,Number of people by number of hours contributed,25+ hours,272,number,Thousands of hours,
2021,Ethnic Group,Māori,Number of people by number of hours contributed,25+ hours,89.8,number,Thousands of hours,
2021,Ethnic Group,Pacific Peoples,Number of people by number of hours contributed,25+ hours,43.2,number,Thousands of hours,
2021,Ethnic Group,Asian,Number of people by number of hours contributed,25+ hours,20.3,number,Thousands of hours,
2021,Ethnic Group,European,Percentage of volunteers by type of organisation - over previous four weeks,"Arts or culture (eg cultural groups, ushering, museums)",10.9,percentage,% of people who volunteered,
2021,Ethnic Group,Māori,Percentage of volunteers by type of organisation - over previous four weeks,"Arts or culture (eg cultural groups, ushering, museums)",22.4,percentage,% of people who volunteered,
2021,Ethnic Group,Pacific Peoples,Percentage of volunteers by type of organisation - over previous four weeks,"Arts or culture (eg cultural groups, ushering, museums)",8.2,percentage,% of people who volunteered,
2021,Ethnic Group,Asian,Percentage of volunteers by type of organisation - over previous four weeks,"Arts or culture (eg cultural groups, ushering, museums)",10.3,percentage,% of people who volunteered,
2021,Ethnic Group,European,Percentage of volunteers by type of organisation - over previous four weeks,Sports or recreation,37.4,percentage,% of people who volunteered,
2021,Ethnic Group,Māori,Percentage of volunteers by type of organisation - over previous four weeks,Sports or recreation,42.8,percentage,% of people who volunteered,
2021,Ethnic Group,Pacific Peoples,Percentage of volunteers by type of organisation - over previous four weeks,Sports or recreation,28.1,percentage,% of people who volunteered,
2021,Ethnic Group,Asian,Percentage of volunteers by type of organisation - over previous four weeks,Sports or recreation,11.8,percentage,% of people who volunteered,
2021,Ethnic Group,European,Percentage of volunteers by type of organisation - over previous four weeks,"Education or research (eg play centre, school boards)",16.6,percentage,% of people who volunteered,
2021,Ethnic Group,Māori,Percentage of volunteers by type of organisation - over previous four weeks,"Education or research (eg play centre, school boards)",18.1,percentage,% of people who volunteered,
2021,Ethnic Group,Pacific Peoples,Percentage of volunteers by type of organisation - over previous four weeks,"Education or research (eg play centre, school boards)",12.1,percentage,% of people who volunteered,
2021,Ethnic Group,Asian,Percentage of volunteers by type of organisation - over previous four weeks,"Education or research (eg play centre, school boards)",19,percentage,% of people who volunteered,
2021,Ethnic Group,European,Percentage of volunteers by type of organisation - over previous four weeks,Religious or spiritual,21.9,percentage,% of people who volunteered,
2021,Ethnic Group,Māori,Percentage of volunteers by type of organisation - over previous four weeks,Religious or spiritual,19,percentage,% of people who volunteered,
2021,Ethnic Group,Pacific Peoples,Percentage of volunteers by type of organisation - over previous four weeks,Religious or spiritual,61.6,percentage,% of people who volunteered,
2021,Ethnic Group,Asian,Percentage of volunteers by type of organisation - over previous four weeks,Religious or spiritual,45.4,percentage,% of people who volunteered,
2021,Ethnic Group,European,Percentage of volunteers by type of organisation - over previous four weeks,"Health (eg hospitals, nursing homes, cancer foundations)",10.6,percentage,% of people who volunteered,
2021,Ethnic Group,Māori,Percentage of volunteers by type of organisation - over previous four weeks,"Health (eg hospitals, nursing homes, cancer foundations)",13.8,percentage,% of people who volunteered,
2021,Ethnic Group,Pacific Peoples,Percentage of volunteers by type of organisation - over previous four weeks,"Health (eg hospitals, nursing homes, cancer foundations)",,percentage,% of people who volunteered,suppressed
