Year,Cross analysis variable,Category,Measured variable,Response category,Value,Value Unit,Value Label,Null Reason
2021,Total,Total,Percentage that volunteered over previous four weeks,Through an Organisation,30.2,percentage,% of people within group,
2021,Total,Total,Percentage that volunteered over previous four weeks,Directly,36,percentage,% of people within group,
2021,Total,Total,Percentage that volunteered over previous four weeks,Total that volunteered,50.7,percentage,% of people within group,
2021,Total,Total,Percentage that volunteered over previous four weeks,Total that did not volunteer,49.3,percentage,% of people within group,
2021,Total,Total,Total hours volunteered over previous four weeks,Through an Organisation,19006.7,number,Thousands of hours,
2021,Total,Total,Total hours volunteered over previous four weeks,Directly,16780.5,number,Thousands of hours,
2021,Total,Total,Total hours volunteered over previous four weeks,Total that volunteered,35787.2,number,Thousands of hours,
2021,Total,Total,Average hours volunteered for previous four weeks,Through an Organisation,15.9,number,Hours,
2021,Total,Total,Average hours volunteered for previous four weeks,Directly,11.8,number,Hours,
2021,Total,Total,Average hours volunteered for previous four weeks,Total that volunteered,17.9,number,Hours,
2021,Total,Total,Percentage of volunteers by number of hours contributed,Less than 5 hours,34,percentage,% of people who volunteered,
2021,Total,Total,Percentage of volunteers by number of hours contributed,5 to 10 hours,17.9,percentage,% of people who volunteered,
2021,Total,Total,Percentage of volunteers by number of hours contributed,10 to 15 hours,15,percentage,% of people who volunteered,
2021,Total,Total,Percentage of volunteers by number of hours contributed,15 to 20 hours,6.2,percentage,% of people who volunteered,
2021,Total,Total,Percentage of volunteers by number of hours contributed,20 to 25 hours,7.8,percentage,% of people who volunteered,
2021,Total,Total,Percentage of volunteers by number of hours contributed,25+ hours,19,percentage,% of people who volunteered,
2021,Total,Total,Percentage of total volunteer hours by number of hours contributed,Less than 5 hours,4.9,percentage,% of people who volunteered,
2021,Total,Total,Percentage of total volunteer hours by number of hours contributed,5 to 10 hours,6.7,percentage,% of people who volunteered,
2021,Total,Total,Percentage of total volunteer hours by number of hours contributed,10 to 15 hours,9.5,percentage,% of people who volunteered,
2021,Total,Total,Percentage of total volunteer hours by number of hours contributed,15 to 20 hours,5.7,percentage,% of people who volunteered,
2021,Total,Total,Percentage of total volunteer hours by number of hours contributed,20 to 25 hours,9.2,percentage,% of people who volunteered,
2021,Total,Total,Percentage of total volunteer hours by number of hours contributed,25+ hours,64.2,percentage,% of people who volunteered,
2021,Total,Total,Number of people by number of hours contributed,Less than 5 hours,680.3,number,Thousands of hours,
2021,Total,Total,Number of people by number of hours contributed,5 to 10 hours,358.9,number,Thousands of hours,
2021,Total,Total,Number of people by number of hours contributed,10 to 15 hours,299.6,number,Thousands of hours,
2021,Total,Total,Number of people by number of hours contributed,15 to 20 hours,125,number,Thousands of hours,
2021,Total,Total,Number of people by number of hours contributed,20 to 25 hours,155.7,number,Thousands of hours,
2021,Total,Total,Number of people by number of hours contributed,25+ hours,380.9,number,Thousands of hours,
2021,Total,Total,Percentage of volunteers by type of organisation - over previous four weeks,"Arts or culture (eg cultural groups, ushering, museums)",12.2,percentage,% of people who volunteered,
2021,Total,Total,Percentage of volunteers by type of organisation - over previous four weeks,Sports or recreation,33.6,percentage,% of people who volunteered,
2021,Total,Total,Percentage of volunteers by type of organisation - over previous four weeks,"Education or research (eg play centre, school boards)",17.5,percentage,% of people who volunteered,
2021,Total,Total,Percentage of volunteers by type of organisation - over previous four weeks,Religious or spiritual,27,percentage,% of people who volunteered,
2021,Total,Total,Percentage of volunteers by type of organisation - over previous four weeks,"Health (eg hospitals, nursing homes, cancer foundations)",10.3,percentage,% of people who volunteered,
2021,Total,Total,Percentage of volunteers by type of organisation - over previous four weeks,"Social services (eg Civil defence, emergency support, youth groups)",16.3,percentage,% of people who volunteered,
2021,Total,Total,Percentage of volunteers by type of organisation - over previous four weeks,"Environment, conservation or animal protection (eg SPCA, tree planting, Greenpeace)",11.1,percentage,% of people who volunteered,
2021,Total,Total,Percentage of volunteers by type of organisation - over previous four weeks,"Community development or housing (eg marae work, community centres, community support groups)",6.7,percentage,% of people who volunteered,
2021,Total,Total,Percentage of volunteers by type of organisation - over previous four weeks,Other,6.8,percentage,% of people who volunteered,
2021,Total,Total,Total hours volunteered - over previous four weeks,Directly for an individual,16780.5,number,Thousands of hours,
2021,Total,Total,Total hours volunteered by type of organisation - over previous four weeks,"Arts or culture (eg cultural groups, ushering, museums)",2371.6,number,Thousands of hours,
2021,Total,Total,Total hours volunteered by type of organisation - over previous four weeks,Sports or recreation,3866.9,number,Thousands of hours,
2021,Total,Total,Total hours volunteered by type of organisation - over previous four weeks,"Education or research (eg play centre, school boards)",2526.9,number,Thousands of hours,
2021,Total,Total,Total hours volunteered by type of organisation - over previous four weeks,Religious or spiritual,3730.7,number,Thousands of hours,
2021,Total,Total,Total hours volunteered by type of organisation - over previous four weeks,"Health (eg hospitals, nursing homes, cancer foundations)",1187.7,number,Thousands of hours,
2021,Total,Total,Total hours volunteered by type of organisation - over previous four weeks,"Social services (eg Civil defence, emergency support, youth groups)",2370.9,number,Thousands of hours,
2021,Total,Total,Total hours volunteered by type of organisation - over previous four weeks,"Environment, conservation or animal protection (eg SPCA, tree planting, Greenpeace)",1329.2,number,Thousands of hours,
2021,Total,Total,Total hours volunteered by type of organisation - over previous four weeks,"Community development or housing (eg marae work, community centres, community support groups)",628.5,number,Thousands of hours,
2021,Total,Total,Total hours volunteered by type of organisation - over previous four weeks,Other,994.3,number,Thousands of hours,
2021,Total,Total,Total hours volunteered - over previous four weeks,Total for organisations,19006.7,number,Thousands of hours,
2021,Total,Total,Total hours volunteered - over previous four weeks,Total for organisations and directly combined,35787.2,number,Thousands of hours,
2021,Total,Total,Barriers to volunteering for an organisation,There are no barriers,9.5,percentage,% of people who did not volunteer,
2021,Total,Total,Barriers to volunteering for an organisation,No one asked me to volunteer,17.4,percentage,% of people who did not volunteer,
2021,Total,Total,Barriers to volunteering for an organisation,Did not know how to get involved,8.1,percentage,% of people who did not volunteer,
2021,Total,Total,Barriers to volunteering for an organisation,Volunteered in the past,8.5,percentage,% of people who did not volunteer,
2021,Total,Total,Barriers to volunteering for an organisation,Health problems / physically unable to volunteer,12.4,percentage,% of people who did not volunteer,
2021,Total,Total,Barriers to volunteering for an organisation,Did not have the time,45.3,percentage,% of people who did not volunteer,
2021,Total,Total,Barriers to volunteering for an organisation,Too costly / can't afford it,1.7,percentage,% of people who did not volunteer,
2021,Total,Total,Barriers to volunteering for an organisation,Don't want to make a long term commitment,9,percentage,% of people who did not volunteer,
2021,Total,Total,Barriers to volunteering for an organisation,Prefer to give money instead of time,5.8,percentage,% of people who did not volunteer,
2021,Total,Total,Barriers to volunteering for an organisation,Had no interest,7,percentage,% of people who did not volunteer,
2021,Total,Total,Barriers to volunteering for an organisation,Was dissatisfied with previous volunteering experience,0.9,percentage,% of people who did not volunteer,
2021,Total,Total,Barriers to volunteering for an organisation,Another reason,5.5,percentage,% of people who did not volunteer,
2021,Total,Total,Barriers to volunteering directly for another person,There are no barriers,11.9,percentage,% of people who did not volunteer,
2021,Total,Total,Barriers to volunteering directly for another person,No one asked me to volunteer,24.2,percentage,% of people who did not volunteer,
2021,Total,Total,Barriers to volunteering directly for another person,Don't know anyone who needs help,9.8,percentage,% of people who did not volunteer,
2021,Total,Total,Barriers to volunteering directly for another person,Volunteered in the past,5,percentage,% of people who did not volunteer,
2021,Total,Total,Barriers to volunteering directly for another person,Health problems / physically unable to volunteer,10.6,percentage,% of people who did not volunteer,
2021,Total,Total,Barriers to volunteering directly for another person,Did not have the time,41.7,percentage,% of people who did not volunteer,
2021,Total,Total,Barriers to volunteering directly for another person,Too costly / can't afford it,0.7,percentage,% of people who did not volunteer,
2021,Total,Total,Barriers to volunteering directly for another person,Don't want to make a long term commitment,7.5,percentage,% of people who did not volunteer,
2021,Total,Total,Barriers to volunteering directly for another person,Prefer to give money instead of time,3.3,percentage,% of people who did not volunteer,
2021,Total,Total,Barriers to volunteering directly for another person,Had no interest,5.2,percentage,% of people who did not volunteer,
2021,Total,Total,Barriers to volunteering directly for another person,Another reason,3.5,percentage,% of people who did not volunteer,
2021,Lifestage,Young people (15–24),Total,Total,15.5,percentage,% of people,
2021,Lifestage,Prime working age (25–44),Total,Total,34.3,percentage,% of people,
2021,Lifestage,Middle-age (45–64),Total,Total,31.1,percentage,% of people,
2021,Lifestage,Older people (65+),Total,Total,19,percentage,% of people,
2021,Lifestage,Young people (15–24),Percentage that volunteered over previous four weeks,Through an Organisation,30.1,percentage,% of people within group,
2021,Lifestage,Prime working age (25–44),Percentage that volunteered over previous four weeks,Through an Organisation,26.6,percentage,% of people within group,
2021,Lifestage,Middle-age (45–64),Percentage that volunteered over previous four weeks,Through an Organisation,33.4,percentage,% of people within group,
2021,Lifestage,Older people (65+),Percentage that volunteered over previous four weeks,Through an Organisation,31.4,percentage,% of people within group,
2021,Lifestage,Young people (15–24),Percentage that volunteered over previous four weeks,Directly,23.8,percentage,% of people within group,
2021,Lifestage,Prime working age (25–44),Percentage that volunteered over previous four weeks,Directly,35.4,percentage,% of people within group,
2021,Lifestage,Middle-age (45–64),Percentage that volunteered over previous four weeks,Directly,40.3,percentage,% of people within group,
2021,Lifestage,Older people (65+),Percentage that volunteered over previous four weeks,Directly,40,percentage,% of people within group,
2021,Lifestage,Young people (15–24),Percentage that volunteered over previous four weeks,Total that volunteered,42.3,percentage,% of people within group,
2021,Lifestage,Prime working age (25–44),Percentage that volunteered over previous four weeks,Total that volunteered,49,percentage,% of people within group,
2021,Lifestage,Middle-age (45–64),Percentage that volunteered over previous four weeks,Total that volunteered,55.5,percentage,% of people within group,
2021,Lifestage,Older people (65+),Percentage that volunteered over previous four weeks,Total that volunteered,52.8,percentage,% of people within group,
2021,Lifestage,Young people (15–24),Percentage that volunteered over previous four weeks,Total that did not volunteer,57.7,percentage,% of people within group,
2021,Lifestage,Prime working age (25–44),Percentage that volunteered over previous four weeks,Total that did not volunteer,51,percentage,% of people within group,
2021,Lifestage,Middle-age (45–64),Percentage that volunteered over previous four weeks,Total that did not volunteer,44.5,percentage,% of people within group,
2021,Lifestage,Older people (65+),Percentage that volunteered over previous four weeks,Total that did not volunteer,47.2,percentage,% of people within group,
2021,Lifestage,Young people (15–24),Total hours volunteered over previous four weeks,Through an Organisation,2687.4,number,Thousands of hours,
2021,Lifestage,Prime working age (25–44),Total hours volunteered over previous four weeks,Through an Organisation,5068.2,number,Thousands of hours,
2021,Lifestage,Middle-age (45–64),Total hours volunteered over previous four weeks,Through an Organisation,6794.4,number,Thousands of hours,
2021,Lifestage,Older people (65+),Total hours volunteered over previous four weeks,Through an Organisation,4456.6,number,Thousands of hours,
2021,Lifestage,Young people (15–24),Total hours volunteered over previous four weeks,Directly,1385.2,number,Thousands of hours,
2021,Lifestage,Prime working age (25–44),Total hours volunteered over previous four weeks,Directly,4888.2,number,Thousands of hours,
2021,Lifestage,Middle-age (45–64),Total hours volunteered over previous four weeks,Directly,5184.1,number,Thousands of hours,
2021,Lifestage,Older people (65+),Total hours volunteered over previous four weeks,Directly,5323,number,Thousands of hours,
2021,Lifestage,Young people (15–24),Total hours volunteered over previous four weeks,Total that volunteered,4072.6,number,Thousands of hours,
2021,Lifestage,Prime working age (25–44),Total hours volunteered over previous four weeks,Total that volunteered,9956.4,number,Thousands of hours,
2021,Lifestage,Middle-age (45–64),Total hours volunteered over previous four weeks,Total that volunteered,11978.5,number,Thousands of hours,
2021,Lifestage,Older people (65+),Total hours volunteered over previous four weeks,Total that volunteered,9779.6,number,Thousands of hours,
2021,Lifestage,Young people (15–24),Average hours volunteered for previous four weeks,Through an Organisation,14.4,number,Hours,
2021,Lifestage,Prime working age (25–44),Average hours volunteered for previous four weeks,Through an Organisation,14.1,number,Hours,
2021,Lifestage,Middle-age (45–64),Average hours volunteered for previous four weeks,Through an Organisation,16.6,number,Hours,
2021,Lifestage,Older people (65+),Average hours volunteered for previous four weeks,Through an Organisation,18.9,number,Hours,
2021,Lifestage,Young people (15–24),Average hours volunteered for previous four weeks,Directly,9.4,number,Hours,
2021,Lifestage,Prime working age (25–44),Average hours volunteered for previous four weeks,Directly,10.2,number,Hours,
2021,Lifestage,Middle-age (45–64),Average hours volunteered for previous four weeks,Directly,10.4,number,Hours,
2021,Lifestage,Older people (65+),Average hours volunteered for previous four weeks,Directly,17.7,number,Hours,
2021,Lifestage,Young people (15–24),Average hours volunteered for previous four weeks,Total that volunteered,15.5,number,Hours,
2021,Lifestage,Prime working age (25–44),Average hours volunteered for previous four weeks,Total that volunteered,15.1,number,Hours,
2021,Lifestage,Middle-age (45–64),Average hours volunteered for previous four weeks,Total that volunteered,17.6,number,Hours,
2021,Lifestage,Older people (65+),Average hours volunteered for previous four weeks,Total that volunteered,24.6,number,Hours,
2021,Lifestage,Young people (15–24),Percentage of volunteers by number of hours contributed,Less than 5 hours,33.2,percentage,% of people who volunteered,
2021,Lifestage,Prime working age (25–44),Percentage of volunteers by number of hours contributed,Less than 5 hours,40.6,percentage,% of people who volunteered,
2021,Lifestage,Middle-age (45–64),Percentage of volunteers by number of hours contributed,Less than 5 hours,33.5,percentage,% of people who volunteered,
2021,Lifestage,Older people (65+),Percentage of volunteers by number of hours contributed,Less than 5 hours,24.4,percentage,% of people who volunteered,
2021,Lifestage,Young people (15–24),Percentage of volunteers by number of hours contributed,5 to 10 hours,19.3,percentage,% of people who volunteered,
2021,Lifestage,Prime working age (25–44),Percentage of volunteers by number of hours contributed,5 to 10 hours,16.8,percentage,% of people who volunteered,
2021,Lifestage,Middle-age (45–64),Percentage of volunteers by number of hours contributed,5 to 10 hours,18.4,percentage,% of people who volunteered,
2021,Lifestage,Older people (65+),Percentage of volunteers by number of hours contributed,5 to 10 hours,18.2,percentage,% of people who volunteered,
2021,Lifestage,Young people (15–24),Percentage of volunteers by number of hours contributed,10 to 15 hours,15.6,percentage,% of people who volunteered,
2021,Lifestage,Prime working age (25–44),Percentage of volunteers by number of hours contributed,10 to 15 hours,15,percentage,% of people who volunteered,
2021,Lifestage,Middle-age (45–64),Percentage of volunteers by number of hours contributed,10 to 15 hours,14.5,percentage,% of people who volunteered,
2021,Lifestage,Older people (65+),Percentage of volunteers by number of hours contributed,10 to 15 hours,15.4,percentage,% of people who volunteered,
2021,Lifestage,Young people (15–24),Percentage of volunteers by number of hours contributed,15 to 20 hours,6.8,percentage,% of people who volunteered,
2021,Lifestage,Prime working age (25–44),Percentage of volunteers by number of hours contributed,15 to 20 hours,5.3,percentage,% of people who volunteered,
2021,Lifestage,Middle-age (45–64),Percentage of volunteers by number of hours contributed,15 to 20 hours,7.5,percentage,% of people who volunteered,
2021,Lifestage,Older people (65+),Percentage of volunteers by number of hours contributed,15 to 20 hours,5.4,percentage,% of people who volunteered,
2021,Lifestage,Young people (15–24),Percentage of volunteers by number of hours contributed,20 to 25 hours,5.5,percentage,% of people who volunteered,
2021,Lifestage,Prime working age (25–44),Percentage of volunteers by number of hours contributed,20 to 25 hours,8.5,percentage,% of people who volunteered,
2021,Lifestage,Middle-age (45–64),Percentage of volunteers by number of hours contributed,20 to 25 hours,8.1,percentage,% of people who volunteered,
2021,Lifestage,Older people (65+),Percentage of volunteers by number of hours contributed,20 to 25 hours,7.7,percentage,% of people who volunteered,
2021,Lifestage,Young people (15–24),Percentage of volunteers by number of hours contributed,25+ hours,19.6,percentage,% of people who volunteered,
2021,Lifestage,Prime working age (25–44),Percentage of volunteers by number of hours contributed,25+ hours,13.8,percentage,% of people who volunteered,
2021,Lifestage,Middle-age (45–64),Percentage of volunteers by number of hours contributed,25+ hours,18.1,percentage,% of people who volunteered,
2021,Lifestage,Older people (65+),Percentage of volunteers by number of hours contributed,25+ hours,28.9,percentage,% of people who volunteered,
2021,Lifestage,Young people (15–24),Percentage of total volunteer hours by number of hours contributed,Less than 5 hours,5.5,percentage,% of people who volunteered,
2021,Lifestage,Prime working age (25–44),Percentage of total volunteer hours by number of hours contributed,Less than 5 hours,6.7,percentage,% of people who volunteered,
2021,Lifestage,Middle-age (45–64),Percentage of total volunteer hours by number of hours contributed,Less than 5 hours,4.9,percentage,% of people who volunteered,
2021,Lifestage,Older people (65+),Percentage of total volunteer hours by number of hours contributed,Less than 5 hours,2.8,percentage,% of people who volunteered,
2021,Lifestage,Young people (15–24),Percentage of total volunteer hours by number of hours contributed,5 to 10 hours,8.2,percentage,% of people who volunteered,
2021,Lifestage,Prime working age (25–44),Percentage of total volunteer hours by number of hours contributed,5 to 10 hours,7.6,percentage,% of people who volunteered,
2021,Lifestage,Middle-age (45–64),Percentage of total volunteer hours by number of hours contributed,5 to 10 hours,6.8,percentage,% of people who volunteered,
2021,Lifestage,Older people (65+),Percentage of total volunteer hours by number of hours contributed,5 to 10 hours,5,percentage,% of people who volunteered,
2021,Lifestage,Young people (15–24),Percentage of total volunteer hours by number of hours contributed,10 to 15 hours,11.3,percentage,% of people who volunteered,
2021,Lifestage,Prime working age (25–44),Percentage of total volunteer hours by number of hours contributed,10 to 15 hours,11.1,percentage,% of people who volunteered,
2021,Lifestage,Middle-age (45–64),Percentage of total volunteer hours by number of hours contributed,10 to 15 hours,9.5,percentage,% of people who volunteered,
2021,Lifestage,Older people (65+),Percentage of total volunteer hours by number of hours contributed,10 to 15 hours,7,percentage,% of people who volunteered,
2021,Lifestage,Young people (15–24),Percentage of total volunteer hours by number of hours contributed,15 to 20 hours,7.1,percentage,% of people who volunteered,
2021,Lifestage,Prime working age (25–44),Percentage of total volunteer hours by number of hours contributed,15 to 20 hours,5.7,percentage,% of people who volunteered,
2021,Lifestage,Middle-age (45–64),Percentage of total volunteer hours by number of hours contributed,15 to 20 hours,7,percentage,% of people who volunteered,
2021,Lifestage,Older people (65+),Percentage of total volunteer hours by number of hours contributed,15 to 20 hours,3.5,percentage,% of people who volunteered,
2021,Lifestage,Young people (15–24),Percentage of total volunteer hours by number of hours contributed,20 to 25 hours,7.3,percentage,% of people who volunteered,
2021,Lifestage,Prime working age (25–44),Percentage of total volunteer hours by number of hours contributed,20 to 25 hours,11.8,percentage,% of people who volunteered,
2021,Lifestage,Middle-age (45–64),Percentage of total volunteer hours by number of hours contributed,20 to 25 hours,9.7,percentage,% of people who volunteered,
2021,Lifestage,Older people (65+),Percentage of total volunteer hours by number of hours contributed,20 to 25 hours,6.7,percentage,% of people who volunteered,
2021,Lifestage,Young people (15–24),Percentage of total volunteer hours by number of hours contributed,25+ hours,60.7,percentage,% of people who volunteered,
2021,Lifestage,Prime working age (25–44),Percentage of total volunteer hours by number of hours contributed,25+ hours,57.2,percentage,% of people who volunteered,
2021,Lifestage,Middle-age (45–64),Percentage of total volunteer hours by number of hours contributed,25+ hours,62.2,percentage,% of people who volunteered,
2021,Lifestage,Older people (65+),Percentage of total volunteer hours by number of hours contributed,25+ hours,75.1,percentage,% of people who volunteered,
2021,Lifestage,Young people (15–24),Number of people by number of hours contributed,Less than 5 hours,87,number,Thousands of hours,
2021,Lifestage,Prime working age (25–44),Number of people by number of hours contributed,Less than 5 hours,268.5,number,Thousands of hours,
2021,Lifestage,Middle-age (45–64),Number of people by number of hours contributed,Less than 5 hours,227.7,number,Thousands of hours,
2021,Lifestage,Older people (65+),Number of people by number of hours contributed,Less than 5 hours,97.1,number,Thousands of hours,
2021,Lifestage,Young people (15–24),Number of people by number of hours contributed,5 to 10 hours,50.7,number,Thousands of hours,
2021,Lifestage,Prime working age (25–44),Number of people by number of hours contributed,5 to 10 hours,110.9,number,Thousands of hours,
2021,Lifestage,Middle-age (45–64),Number of people by number of hours contributed,5 to 10 hours,124.8,number,Thousands of hours,
2021,Lifestage,Older people (65+),Number of people by number of hours contributed,5 to 10 hours,72.4,number,Thousands of hours,
2021,Lifestage,Young people (15–24),Number of people by number of hours contributed,10 to 15 hours,40.8,number,Thousands of hours,
2021,Lifestage,Prime working age (25–44),Number of people by number of hours contributed,10 to 15 hours,99.1,number,Thousands of hours,
2021,Lifestage,Middle-age (45–64),Number of people by number of hours contributed,10 to 15 hours,98.5,number,Thousands of hours,
2021,Lifestage,Older people (65+),Number of people by number of hours contributed,10 to 15 hours,61.2,number,Thousands of hours,
2021,Lifestage,Young people (15–24),Number of people by number of hours contributed,15 to 20 hours,17.9,number,Thousands of hours,
2021,Lifestage,Prime working age (25–44),Number of people by number of hours contributed,15 to 20 hours,35.2,number,Thousands of hours,
2021,Lifestage,Middle-age (45–64),Number of people by number of hours contributed,15 to 20 hours,50.7,number,Thousands of hours,
2021,Lifestage,Older people (65+),Number of people by number of hours contributed,15 to 20 hours,21.2,number,Thousands of hours,
2021,Lifestage,Young people (15–24),Number of people by number of hours contributed,20 to 25 hours,14.5,number,Thousands of hours,
2021,Lifestage,Prime working age (25–44),Number of people by number of hours contributed,20 to 25 hours,56,number,Thousands of hours,
2021,Lifestage,Middle-age (45–64),Number of people by number of hours contributed,20 to 25 hours,54.8,number,Thousands of hours,
2021,Lifestage,Older people (65+),Number of people by number of hours contributed,20 to 25 hours,30.5,number,Thousands of hours,
2021,Lifestage,Young people (15–24),Number of people by number of hours contributed,25+ hours,51.3,number,Thousands of hours,
2021,Lifestage,Prime working age (25–44),Number of people by number of hours contributed,25+ hours,91.5,number,Thousands of hours,
2021,Lifestage,Middle-age (45–64),Number of people by number of hours contributed,25+ hours,123.4,number,Thousands of hours,
2021,Lifestage,Older people (65+),Number of people by number of hours contributed,25+ hours,114.7,number,Thousands of hours,
2021,Lifestage,Young people (15–24),Percentage of volunteers by type of organisation - over previous four weeks,"Arts or culture (eg cultural groups, ushering, museums)",16.4,percentage,% of people who volunteered,
2021,Lifestage,Prime working age (25–44),Percentage of volunteers by type of organisation - over previous four weeks,"Arts or culture (eg cultural groups, ushering, museums)",8.3,percentage,% of people who volunteered,
2021,Lifestage,Middle-age (45–64),Percentage of volunteers by type of organisation - over previous four weeks,"Arts or culture (eg cultural groups, ushering, museums)",12.8,percentage,% of people who volunteered,
2021,Lifestage,Older people (65+),Percentage of volunteers by type of organisation - over previous four weeks,"Arts or culture (eg cultural groups, ushering, museums)",13.5,percentage,% of people who volunteered,
2021,Lifestage,Young people (15–24),Percentage of volunteers by type of organisation - over previous four weeks,Sports or recreation,42,percentage,% of people who volunteered,
2021,Lifestage,Prime working age (25–44),Percentage of volunteers by type of organisation - over previous four weeks,Sports or recreation,34.8,percentage,% of people who volunteered,
2021,Lifestage,Middle-age (45–64),Percentage of volunteers by type of organisation - over previous four weeks,Sports or recreation,35.9,percentage,% of people who volunteered,
2021,Lifestage,Older people (65+),Percentage of volunteers by type of organisation - over previous four weeks,Sports or recreation,21.4,percentage,% of people who volunteered,
2021,Lifestage,Young people (15–24),Percentage of volunteers by type of organisation - over previous four weeks,"Education or research (eg play centre, school boards)",11.3,percentage,% of people who volunteered,
2021,Lifestage,Prime working age (25–44),Percentage of volunteers by type of organisation - over previous four weeks,"Education or research (eg play centre, school boards)",26.1,percentage,% of people who volunteered,
2021,Lifestage,Middle-age (45–64),Percentage of volunteers by type of organisation - over previous four weeks,"Education or research (eg play centre, school boards)",16.8,percentage,% of people who volunteered,
2021,Lifestage,Older people (65+),Percentage of volunteers by type of organisation - over previous four weeks,"Education or research (eg play centre, school boards)",10.7,percentage,% of people who volunteered,
2021,Lifestage,Young people (15–24),Percentage of volunteers by type of organisation - over previous four weeks,Religious or spiritual,21.1,percentage,% of people who volunteered,
2021,Lifestage,Prime working age (25–44),Percentage of volunteers by type of organisation - over previous four weeks,Religious or spiritual,26.4,percentage,% of people who volunteered,
2021,Lifestage,Middle-age (45–64),Percentage of volunteers by type of organisation - over previous four weeks,Religious or spiritual,29.8,percentage,% of people who volunteered,
2021,Lifestage,Older people (65+),Percentage of volunteers by type of organisation - over previous four weeks,Religious or spiritual,27.9,percentage,% of people who volunteered,
2021,Lifestage,Young people (15–24),Percentage of volunteers by type of organisation - over previous four weeks,"Health (eg hospitals, nursing homes, cancer foundations)",8.5,percentage,% of people who volunteered,
2021,Lifestage,Prime working age (25–44),Percentage of volunteers by type of organisation - over previous four weeks,"Health (eg hospitals, nursing homes, cancer foundations)",6,percentage,% of people who volunteered,
2021,Lifestage,Middle-age (45–64),Percentage of volunteers by type of organisation - over previous four weeks,"Health (eg hospitals, nursing homes, cancer foundations)",10.9,percentage,% of people who volunteered,
2021,Lifestage,Older people (65+),Percentage of volunteers by type of organisation - over previous four weeks,"Health (eg hospitals, nursing homes, cancer foundations)",17.1,percentage,% of people who volunteered,
2021,Lifestage,Young people (15–24),Percentage of volunteers by type of organisation - over previous four weeks,"Social services (eg Civil defence, emergency support, youth groups)",15.5,percentage,% of people who volunteered,
2021,Lifestage,Prime working age (25–44),Percentage of volunteers by type of organisation - over previous four weeks,"Social services (eg Civil defence, emergency support, youth groups)",10.7,percentage,% of people who volunteered,
2021,Lifestage,Middle-age (45–64),Percentage of volunteers by type of organisation - over previous four weeks,"Social services (eg Civil defence, emergency support, youth groups)",18.9,percentage,% of people who volunteered,
2021,Lifestage,Older people (65+),Percentage of volunteers by type of organisation - over previous four weeks,"Social services (eg Civil defence, emergency support, youth groups)",20.9,percentage,% of people who volunteered,
2021,Lifestage,Young people (15–24),Percentage of volunteers by type of organisation - over previous four weeks,"Environment, conservation or animal protection (eg SPCA, tree planting, Greenpeace)",8.8,percentage,% of people who volunteered,
2021,Lifestage,Prime working age (25–44),Percentage of volunteers by type of organisation - over previous four weeks,"Environment, conservation or animal protection (eg SPCA, tree planting, Greenpeace)",8.4,percentage,% of people who volunteered,
2021,Lifestage,Middle-age (45–64),Percentage of volunteers by type of organisation - over previous four weeks,"Environment, conservation or animal protection (eg SPCA, tree planting, Greenpeace)",13.3,percentage,% of people who volunteered,
2021,Lifestage,Older people (65+),Percentage of volunteers by type of organisation - over previous four weeks,"Environment, conservation or animal protection (eg SPCA, tree planting, Greenpeace)",13.4,percentage,% of people who volunteered,
2021,Lifestage,Young people (15–24),Percentage of volunteers by type of organisation - over previous four weeks,"Community development or housing (eg marae work, community centres, community support groups)",,percentage,% of people who volunteered,suppressed
2021,Lifestage,Prime working age (25–44),Percentage of volunteers by type of organisation - over previous four weeks,"Community development or housing (eg marae work, community centres, community support groups)",5.1,percentage,% of people who volunteered,
2021,Lifestage,Middle-age (45–64),Percentage of volunteers by type of organisation - over previous four weeks,"Community development or housing (eg marae work, community centres, community support groups)",6.9,percentage,% of people who volunteered,
2021,Lifestage,Older people (65+),Percentage of volunteers by type of organisation - over previous four weeks,"Community development or housing (eg marae work, community centres, community support groups)",11.3,percentage,% of people who volunteered,
2021,Lifestage,Young people (15–24),Percentage of volunteers by type of organisation - over previous four weeks,Other,,percentage,% of people who volunteered,suppressed
2021,Lifestage,Prime working age (25–44),Percentage of volunteers by type of organisation - over previous four weeks,Other,7.1,percentage,% of people who volunteered,
2021,Lifestage,Middle-age (45–64),Percentage of volunteers by type of organisation - over previous four weeks,Other,8.5,percentage,% of people who volunteered,
2021,Lifestage,Older people (65+),Percentage of volunteers by type of organisation - over previous four weeks,Other,7.4,percentage,% of people who volunteered,
2021,Lifestage,Young people (15–24),Total hours volunteered - over previous four weeks,Directly for an individual,1385.2,number,Thousands of hours,
2021,Lifestage,Prime working age (25–44),Total hours volunteered - over previous four weeks,Directly for an individual,4888.2,number,Thousands of hours,
2021,Lifestage,Middle-age (45–64),Total hours volunteered - over previous four weeks,Directly for an individual,5184.1,number,Thousands of hours,
2021,Lifestage,Older people (65+),Total hours volunteered - over previous four weeks,Directly for an individual,5323,number,Thousands of hours,
2021,Lifestage,Young people (15–24),Total hours volunteered by type of organisation - over previous four weeks,"Arts or culture (eg cultural groups, ushering, museums)",257.4,number,Thousands of hours,
2021,Lifestage,Prime working age (25–44),Total hours volunteered by type of organisation - over previous four weeks,"Arts or culture (eg cultural groups, ushering, museums)",658.9,number,Thousands of hours,
