Year,Survey question,Response,Grouping variable,Category,Value,Value Unit,Value Label,Null Reason,Metadata 1
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Yes,Ethnic group,Asian,68.8,percentage,% of adults,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Yes,Ethnic group,Samoan,67.6,percentage,% of adults,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Yes,Ethnic group,Indian,69.3,percentage,% of adults,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Yes,Ethnic group,Chinese,72.5,percentage,% of adults,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Yes,Lifestages,Studying (no children),71.4,percentage,% of adults,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Yes,Lifestages,Young adults with no children,74.6,percentage,% of adults,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Yes,Lifestages,Younger families (all children under 12),72.6,percentage,% of adults,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Yes,Lifestages,Older families with children aged 12 to 17,75.5,percentage,% of adults,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Yes,Lifestages,Middle-aged adults with no children under 18,73.4,percentage,% of adults,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Yes,Lifestages,Younger retirees (Under 75),77.6,percentage,% of adults,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Yes,Lifestages,Older retirees (aged 75+),71.4,percentage,% of adults,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Yes,Lifestages,Studying or young with no children,73.9,percentage,% of adults,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Yes,Lifestages,Younger or older families,74.1,percentage,% of adults,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Yes,Lifestages,Younger or older families or middle aged adults,73.7,percentage,% of adults,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Yes,Lifestages,Retirees,74.8,percentage,% of adults,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Yes,Neighbourhood deprivation,Low,80.6,percentage,% of adults,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Yes,Neighbourhood deprivation,Medium,73.2,percentage,% of adults,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Yes,Neighbourhood deprivation,High,66.7,percentage,% of adults,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Yes,Disability status,Disabled,68.99999999999999,percentage,% of adults,,"When any of the above statements is rated 'Yes, some difficulty', 'Yes, a lot of difficulty', or 'Cannot do at all'"
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Yes,Disability status,Non-disabled,79.9,percentage,% of adults,,"When all of the above statements are rated 'No, no difficulty'"
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Yes,Disability status,"Disabled (rated 'Yes, a lot of difficulty' or 'Cannot do at all')",59.9,percentage,% of adults,,"When any of the above statements is rated 'Yes, a lot of difficulty', or 'Cannot do at all'"
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Yes,Disability status,"Non-disabled (rated 'Yes, some difficulty' or 'No, no difficulty')",75.4,percentage,% of adults,,"When all of the above statements are rated 'Yes, some difficulty' or 'No, no difficulty'"
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Yes,Participation in physical activities in the last 7 days,Participated last 7 days,100,percentage,% of adults,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Yes,Participation in physical activities in the last 7 days,Not participated last 7 days,,percentage,% of adults,not applicable
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Yes,Time spent participating in physical activities in the last 7 days,Less than 30 minutes in last 7 days,3.6,percentage,% of adults,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Yes,Time spent participating in physical activities in the last 7 days,30-149 minutes in last 7 days,100,percentage,% of adults,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Yes,Time spent participating in physical activities in the last 7 days,150 to 419 minutes in last 7 days,100,percentage,% of adults,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Yes,Time spent participating in physical activities in the last 7 days,420 minutes in last 7 days,100,percentage,% of adults,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",No,Age group,25-34,27.3,percentage,% of adults,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Yes,Time spent participating in physical activities in the last 7 days,Less than 150 minutes in the last 7 days,36.9,percentage,% of adults,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Yes,Time spent participating in physical activities in the last 7 days,150 minutes or more in the last 7 days,100,percentage,% of adults,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Yes,Physical activity guidelines,Meet guidelines,100,percentage,% of adults,
