Year,Training type,Occupation,Value,Value Unit,Value Label,Null Reason
2018,Apprentices,"Automotive Panel Repairers, Paint Finishers, Motor Trimmers",325,number,Number of people,
2009,Apprentices,"Aviation, Travel & Tourism Professionals",430,number,Number of people,
2010,Apprentices,"Aviation, Travel & Tourism Professionals",290,number,Number of people,
2011,Apprentices,"Aviation, Travel & Tourism Professionals",70,number,Number of people,
2012,Apprentices,"Aviation, Travel & Tourism Professionals",85,number,Number of people,
2013,Apprentices,"Aviation, Travel & Tourism Professionals",125,number,Number of people,
2014,Apprentices,"Aviation, Travel & Tourism Professionals",75,number,Number of people,
2015,Apprentices,"Aviation, Travel & Tourism Professionals",45,number,Number of people,
2016,Apprentices,"Aviation, Travel & Tourism Professionals",30,number,Number of people,
2017,Apprentices,"Aviation, Travel & Tourism Professionals",35,number,Number of people,
2018,Apprentices,"Aviation, Travel & Tourism Professionals",35,number,Number of people,
2009,Apprentices,Boat Building & Sailmaking Professionals,660,number,Number of people,
2010,Apprentices,Boat Building & Sailmaking Professionals,555,number,Number of people,
2011,Apprentices,Boat Building & Sailmaking Professionals,475,number,Number of people,
2012,Apprentices,Boat Building & Sailmaking Professionals,475,number,Number of people,
2013,Apprentices,Boat Building & Sailmaking Professionals,415,number,Number of people,
2014,Apprentices,Boat Building & Sailmaking Professionals,460,number,Number of people,
2015,Apprentices,Boat Building & Sailmaking Professionals,420,number,Number of people,
2016,Apprentices,Boat Building & Sailmaking Professionals,435,number,Number of people,
2017,Apprentices,Boat Building & Sailmaking Professionals,435,number,Number of people,
2018,Apprentices,Boat Building & Sailmaking Professionals,440,number,Number of people,
2009,Apprentices,Building & Construction Professionals - Not Otherwise Specified,5,number,Number of people,
2010,Apprentices,Building & Construction Professionals - Not Otherwise Specified,5,number,Number of people,
2011,Apprentices,Building & Construction Professionals - Not Otherwise Specified,5,number,Number of people,
2012,Apprentices,Building & Construction Professionals - Not Otherwise Specified,5,number,Number of people,
2013,Apprentices,Building & Construction Professionals - Not Otherwise Specified,10,number,Number of people,
2014,Apprentices,Building & Construction Professionals - Not Otherwise Specified,45,number,Number of people,
2015,Apprentices,Building & Construction Professionals - Not Otherwise Specified,40,number,Number of people,
2016,Apprentices,Building & Construction Professionals - Not Otherwise Specified,50,number,Number of people,
2017,Apprentices,Building & Construction Professionals - Not Otherwise Specified,80,number,Number of people,
2018,Apprentices,Building & Construction Professionals - Not Otherwise Specified,410,number,Number of people,
2009,Apprentices,Building Services Professionals,0,number,Number of people,
2010,Apprentices,Building Services Professionals,0,number,Number of people,
2011,Apprentices,Building Services Professionals,0,number,Number of people,
2012,Apprentices,Building Services Professionals,0,number,Number of people,
2013,Apprentices,Building Services Professionals,0,number,Number of people,
2014,Apprentices,Building Services Professionals,0,number,Number of people,
2015,Apprentices,Building Services Professionals,5,number,Number of people,
2016,Apprentices,Building Services Professionals,0,number,Number of people,
2017,Apprentices,Building Services Professionals,15,number,Number of people,
2018,Apprentices,Building Services Professionals,0,number,Number of people,
2009,Apprentices,"Business Administration, Management & Computing Professionals",1100,number,Number of people,
