Year,Training type,Occupation,Value,Value Unit,Value Label,Null Reason
2015,Apprentices,Journalists,35,number,Number of people,
2016,Apprentices,Journalists,30,number,Number of people,
2017,Apprentices,Journalists,10,number,Number of people,
2018,Apprentices,Journalists,0,number,Number of people,
2009,Apprentices,"Justice, Law Enforcement & Regulatory Control Professionals",10,number,Number of people,
2010,Apprentices,"Justice, Law Enforcement & Regulatory Control Professionals",5,number,Number of people,
2011,Apprentices,"Justice, Law Enforcement & Regulatory Control Professionals",5,number,Number of people,
2012,Apprentices,"Justice, Law Enforcement & Regulatory Control Professionals",0,number,Number of people,
2013,Apprentices,"Justice, Law Enforcement & Regulatory Control Professionals",5,number,Number of people,
2014,Apprentices,"Justice, Law Enforcement & Regulatory Control Professionals",0,number,Number of people,
2015,Apprentices,"Justice, Law Enforcement & Regulatory Control Professionals",0,number,Number of people,
2016,Apprentices,"Justice, Law Enforcement & Regulatory Control Professionals",0,number,Number of people,
2017,Apprentices,"Justice, Law Enforcement & Regulatory Control Professionals",0,number,Number of people,
2018,Apprentices,"Justice, Law Enforcement & Regulatory Control Professionals",5,number,Number of people,
2009,Apprentices,Manufacturing Professionals - Not Otherwise Specified,1515,number,Number of people,
2010,Apprentices,Manufacturing Professionals - Not Otherwise Specified,1475,number,Number of people,
2011,Apprentices,Manufacturing Professionals - Not Otherwise Specified,735,number,Number of people,
2012,Apprentices,Manufacturing Professionals - Not Otherwise Specified,225,number,Number of people,
2013,Apprentices,Manufacturing Professionals - Not Otherwise Specified,205,number,Number of people,
2014,Apprentices,Manufacturing Professionals - Not Otherwise Specified,1065,number,Number of people,
2015,Apprentices,Manufacturing Professionals - Not Otherwise Specified,1095,number,Number of people,
2016,Apprentices,Manufacturing Professionals - Not Otherwise Specified,1040,number,Number of people,
2017,Apprentices,Manufacturing Professionals - Not Otherwise Specified,1035,number,Number of people,
2018,Apprentices,Manufacturing Professionals - Not Otherwise Specified,1140,number,Number of people,
2009,Apprentices,Maritime Professionals,0,number,Number of people,
2010,Apprentices,Maritime Professionals,0,number,Number of people,
2011,Apprentices,Maritime Professionals,0,number,Number of people,
2012,Apprentices,Maritime Professionals,0,number,Number of people,
2013,Apprentices,Maritime Professionals,5,number,Number of people,
2014,Apprentices,Maritime Professionals,70,number,Number of people,
2015,Apprentices,Maritime Professionals,50,number,Number of people,
2016,Apprentices,Maritime Professionals,45,number,Number of people,
2017,Apprentices,Maritime Professionals,20,number,Number of people,
2018,Apprentices,Maritime Professionals,85,number,Number of people,
2009,Apprentices,"Meat Butchery, Process, Inspection & Sales Professionals",1225,number,Number of people,
2010,Apprentices,"Meat Butchery, Process, Inspection & Sales Professionals",600,number,Number of people,
2011,Apprentices,"Meat Butchery, Process, Inspection & Sales Professionals",460,number,Number of people,
2012,Apprentices,"Meat Butchery, Process, Inspection & Sales Professionals",450,number,Number of people,
2013,Apprentices,"Meat Butchery, Process, Inspection & Sales Professionals",645,number,Number of people,
2014,Apprentices,"Meat Butchery, Process, Inspection & Sales Professionals",615,number,Number of people,
2015,Apprentices,"Meat Butchery, Process, Inspection & Sales Professionals",620,number,Number of people,
2016,Apprentices,"Meat Butchery, Process, Inspection & Sales Professionals",615,number,Number of people,
2017,Apprentices,"Meat Butchery, Process, Inspection & Sales Professionals",585,number,Number of people,
2018,Apprentices,"Meat Butchery, Process, Inspection & Sales Professionals",620,number,Number of people,
2009,Apprentices,Mechanical Engineers,1950,number,Number of people,
2010,Apprentices,Mechanical Engineers,1910,number,Number of people,
2011,Apprentices,Mechanical Engineers,2560,number,Number of people,
2012,Apprentices,Mechanical Engineers,2880,number,Number of people,
2013,Apprentices,Mechanical Engineers,3135,number,Number of people,
2014,Apprentices,Mechanical Engineers,3010,number,Number of people,
2015,Apprentices,Mechanical Engineers,2295,number,Number of people,
2016,Apprentices,Mechanical Engineers,2275,number,Number of people,
2017,Apprentices,Mechanical Engineers,2150,number,Number of people,
2018,Apprentices,Mechanical Engineers,2335,number,Number of people,
2009,Apprentices,Mining & Extractive Industries Professionals,390,number,Number of people,
2010,Apprentices,Mining & Extractive Industries Professionals,325,number,Number of people,
2011,Apprentices,Mining & Extractive Industries Professionals,265,number,Number of people,
2012,Apprentices,Mining & Extractive Industries Professionals,185,number,Number of people,
2013,Apprentices,Mining & Extractive Industries Professionals,50,number,Number of people,
2014,Apprentices,Mining & Extractive Industries Professionals,45,number,Number of people,
2015,Apprentices,Mining & Extractive Industries Professionals,40,number,Number of people,
2016,Apprentices,Mining & Extractive Industries Professionals,40,number,Number of people,
2017,Apprentices,Mining & Extractive Industries Professionals,50,number,Number of people,
2018,Apprentices,Mining & Extractive Industries Professionals,55,number,Number of people,
2009,Apprentices,Painters & Decorators,425,number,Number of people,
2010,Apprentices,Painters & Decorators,380,number,Number of people,
2011,Apprentices,Painters & Decorators,350,number,Number of people,
2012,Apprentices,Painters & Decorators,885,number,Number of people,
2013,Apprentices,Painters & Decorators,1175,number,Number of people,
2014,Apprentices,Painters & Decorators,1160,number,Number of people,
2015,Apprentices,Painters & Decorators,1005,number,Number of people,
2016,Apprentices,Painters & Decorators,880,number,Number of people,
2017,Apprentices,Painters & Decorators,730,number,Number of people,
2018,Apprentices,Painters & Decorators,725,number,Number of people,
2009,Apprentices,Pharmacy assistant or Technician,115,number,Number of people,
2010,Apprentices,Pharmacy assistant or Technician,125,number,Number of people,
2011,Apprentices,Pharmacy assistant or Technician,100,number,Number of people,
2012,Apprentices,Pharmacy assistant or Technician,105,number,Number of people,
2013,Apprentices,Pharmacy assistant or Technician,65,number,Number of people,
2014,Apprentices,Pharmacy assistant or Technician,25,number,Number of people,
2015,Apprentices,Pharmacy assistant or Technician,0,number,Number of people,
2016,Apprentices,Pharmacy assistant or Technician,0,number,Number of people,
2017,Apprentices,Pharmacy assistant or Technician,0,number,Number of people,
2018,Apprentices,Pharmacy assistant or Technician,0,number,Number of people,
2009,Apprentices,"Plasterers, Gib-Stoppers & Partition Installers",200,number,Number of people,
2010,Apprentices,"Plasterers, Gib-Stoppers & Partition Installers",200,number,Number of people,
2011,Apprentices,"Plasterers, Gib-Stoppers & Partition Installers",205,number,Number of people,
2012,Apprentices,"Plasterers, Gib-Stoppers & Partition Installers",255,number,Number of people,
2013,Apprentices,"Plasterers, Gib-Stoppers & Partition Installers",295,number,Number of people,
2014,Apprentices,"Plasterers, Gib-Stoppers & Partition Installers",340,number,Number of people,
2015,Apprentices,"Plasterers, Gib-Stoppers & Partition Installers",310,number,Number of people,
2016,Apprentices,"Plasterers, Gib-Stoppers & Partition Installers",240,number,Number of people,
2017,Apprentices,"Plasterers, Gib-Stoppers & Partition Installers",245,number,Number of people,
2018,Apprentices,"Plasterers, Gib-Stoppers & Partition Installers",265,number,Number of people,
2009,Apprentices,Plastics & Materials Processing Professionals,115,number,Number of people,
2010,Apprentices,Plastics & Materials Processing Professionals,75,number,Number of people,
2011,Apprentices,Plastics & Materials Processing Professionals,25,number,Number of people,
2012,Apprentices,Plastics & Materials Processing Professionals,30,number,Number of people,
2013,Apprentices,Plastics & Materials Processing Professionals,35,number,Number of people,
2014,Apprentices,Plastics & Materials Processing Professionals,35,number,Number of people,
2015,Apprentices,Plastics & Materials Processing Professionals,35,number,Number of people,
2016,Apprentices,Plastics & Materials Processing Professionals,35,number,Number of people,
2017,Apprentices,Plastics & Materials Processing Professionals,20,number,Number of people,
2018,Apprentices,Plastics & Materials Processing Professionals,30,number,Number of people,
2009,Apprentices,"Plumbers, Gasfitters & Drainlayers",1610,number,Number of people,
2010,Apprentices,"Plumbers, Gasfitters & Drainlayers",1765,number,Number of people,
2011,Apprentices,"Plumbers, Gasfitters & Drainlayers",1720,number,Number of people,
2012,Apprentices,"Plumbers, Gasfitters & Drainlayers",1630,number,Number of people,
2013,Apprentices,"Plumbers, Gasfitters & Drainlayers",1820,number,Number of people,
2014,Apprentices,"Plumbers, Gasfitters & Drainlayers",2185,number,Number of people,
2015,Apprentices,"Plumbers, Gasfitters & Drainlayers",2200,number,Number of people,
2016,Apprentices,"Plumbers, Gasfitters & Drainlayers",2575,number,Number of people,
2017,Apprentices,"Plumbers, Gasfitters & Drainlayers",2935,number,Number of people,
2018,Apprentices,"Plumbers, Gasfitters & Drainlayers",3470,number,Number of people,
2009,Apprentices,Printing & Print & Packaging Manufacturing Professionals,365,number,Number of people,
2010,Apprentices,Printing & Print & Packaging Manufacturing Professionals,345,number,Number of people,
2011,Apprentices,Printing & Print & Packaging Manufacturing Professionals,135,number,Number of people,
2012,Apprentices,Printing & Print & Packaging Manufacturing Professionals,160,number,Number of people,
2013,Apprentices,Printing & Print & Packaging Manufacturing Professionals,175,number,Number of people,
2014,Apprentices,Printing & Print & Packaging Manufacturing Professionals,255,number,Number of people,
2015,Apprentices,Printing & Print & Packaging Manufacturing Professionals,255,number,Number of people,
2016,Apprentices,Printing & Print & Packaging Manufacturing Professionals,235,number,Number of people,
2017,Apprentices,Printing & Print & Packaging Manufacturing Professionals,235,number,Number of people,
2018,Apprentices,Printing & Print & Packaging Manufacturing Professionals,230,number,Number of people,
2009,Apprentices,Property Sales & Management Service Professionals,25,number,Number of people,
2010,Apprentices,Property Sales & Management Service Professionals,40,number,Number of people,
2011,Apprentices,Property Sales & Management Service Professionals,45,number,Number of people,
2012,Apprentices,Property Sales & Management Service Professionals,35,number,Number of people,
2013,Apprentices,Property Sales & Management Service Professionals,55,number,Number of people,
2014,Apprentices,Property Sales & Management Service Professionals,55,number,Number of people,
2015,Apprentices,Property Sales & Management Service Professionals,65,number,Number of people,
2016,Apprentices,Property Sales & Management Service Professionals,85,number,Number of people,
2017,Apprentices,Property Sales & Management Service Professionals,80,number,Number of people,
2018,Apprentices,Property Sales & Management Service Professionals,80,number,Number of people,
2009,Apprentices,Public Sector Professionals,580,number,Number of people,
2010,Apprentices,Public Sector Professionals,585,number,Number of people,
2011,Apprentices,Public Sector Professionals,345,number,Number of people,
2012,Apprentices,Public Sector Professionals,305,number,Number of people,
2013,Apprentices,Public Sector Professionals,265,number,Number of people,
2014,Apprentices,Public Sector Professionals,260,number,Number of people,
2015,Apprentices,Public Sector Professionals,210,number,Number of people,
2016,Apprentices,Public Sector Professionals,165,number,Number of people,
2017,Apprentices,Public Sector Professionals,200,number,Number of people,
2018,Apprentices,Public Sector Professionals,245,number,Number of people,
2009,Apprentices,Resource Recovery & Materials Recycle Professionals,0,number,Number of people,
2010,Apprentices,Resource Recovery & Materials Recycle Professionals,0,number,Number of people,
2011,Apprentices,Resource Recovery & Materials Recycle Professionals,0,number,Number of people,
2012,Apprentices,Resource Recovery & Materials Recycle Professionals,0,number,Number of people,
2013,Apprentices,Resource Recovery & Materials Recycle Professionals,0,number,Number of people,
2014,Apprentices,Resource Recovery & Materials Recycle Professionals,0,number,Number of people,
2015,Apprentices,Resource Recovery & Materials Recycle Professionals,0,number,Number of people,
2016,Apprentices,Resource Recovery & Materials Recycle Professionals,0,number,Number of people,
2017,Apprentices,Resource Recovery & Materials Recycle Professionals,0,number,Number of people,
2018,Apprentices,Resource Recovery & Materials Recycle Professionals,0,number,Number of people,
2009,Apprentices,Retail & Sales Professionals,210,number,Number of people,
2010,Apprentices,Retail & Sales Professionals,240,number,Number of people,
2011,Apprentices,Retail & Sales Professionals,215,number,Number of people,
2012,Apprentices,Retail & Sales Professionals,180,number,Number of people,
2013,Apprentices,Retail & Sales Professionals,185,number,Number of people,
2014,Apprentices,Retail & Sales Professionals,120,number,Number of people,
2015,Apprentices,Retail & Sales Professionals,70,number,Number of people,
2016,Apprentices,Retail & Sales Professionals,45,number,Number of people,
2017,Apprentices,Retail & Sales Professionals,20,number,Number of people,
2018,Apprentices,Retail & Sales Professionals,10,number,Number of people,
2009,Apprentices,Roofing Professionals,550,number,Number of people,
2010,Apprentices,Roofing Professionals,635,number,Number of people,
2011,Apprentices,Roofing Professionals,570,number,Number of people,
2012,Apprentices,Roofing Professionals,505,number,Number of people,
2013,Apprentices,Roofing Professionals,510,number,Number of people,
2014,Apprentices,Roofing Professionals,665,number,Number of people,
2015,Apprentices,Roofing Professionals,580,number,Number of people,
2016,Apprentices,Roofing Professionals,595,number,Number of people,
2017,Apprentices,Roofing Professionals,640,number,Number of people,
2018,Apprentices,Roofing Professionals,765,number,Number of people,
2009,Apprentices,Security Professionals,695,number,Number of people,
2010,Apprentices,Security Professionals,895,number,Number of people,
2011,Apprentices,Security Professionals,755,number,Number of people,
2012,Apprentices,Security Professionals,530,number,Number of people,
2013,Apprentices,Security Professionals,100,number,Number of people,
2014,Apprentices,Security Professionals,0,number,Number of people,
2015,Apprentices,Security Professionals,0,number,Number of people,
2016,Apprentices,Security Professionals,30,number,Number of people,
2017,Apprentices,Security Professionals,25,number,Number of people,
2018,Apprentices,Security Professionals,10,number,Number of people,
2009,Apprentices,Signwriters and Signmakers,70,number,Number of people,
2010,Apprentices,Signwriters and Signmakers,40,number,Number of people,
2011,Apprentices,Signwriters and Signmakers,20,number,Number of people,
2012,Apprentices,Signwriters and Signmakers,20,number,Number of people,
2013,Apprentices,Signwriters and Signmakers,40,number,Number of people,
2014,Apprentices,Signwriters and Signmakers,70,number,Number of people,
2015,Apprentices,Signwriters and Signmakers,80,number,Number of people,
2016,Apprentices,Signwriters and Signmakers,90,number,Number of people,
2017,Apprentices,Signwriters and Signmakers,95,number,Number of people,
2018,Apprentices,Signwriters and Signmakers,95,number,Number of people,
2009,Apprentices,"Sports, Fitness, Equine & Racing Professionals",430,number,Number of people,
2010,Apprentices,"Sports, Fitness, Equine & Racing Professionals",410,number,Number of people,
2011,Apprentices,"Sports, Fitness, Equine & Racing Professionals",250,number,Number of people,
2012,Apprentices,"Sports, Fitness, Equine & Racing Professionals",280,number,Number of people,
2013,Apprentices,"Sports, Fitness, Equine & Racing Professionals",290,number,Number of people,
2014,Apprentices,"Sports, Fitness, Equine & Racing Professionals",395,number,Number of people,
2015,Apprentices,"Sports, Fitness, Equine & Racing Professionals",360,number,Number of people,
2016,Apprentices,"Sports, Fitness, Equine & Racing Professionals",375,number,Number of people,
2017,Apprentices,"Sports, Fitness, Equine & Racing Professionals",375,number,Number of people,
2018,Apprentices,"Sports, Fitness, Equine & Racing Professionals",420,number,Number of people,
2009,Apprentices,Stevedore & Port Operations Professionals,5,number,Number of people,
2010,Apprentices,Stevedore & Port Operations Professionals,5,number,Number of people,
2011,Apprentices,Stevedore & Port Operations Professionals,0,number,Number of people,
2012,Apprentices,Stevedore & Port Operations Professionals,5,number,Number of people,
2013,Apprentices,Stevedore & Port Operations Professionals,5,number,Number of people,
2014,Apprentices,Stevedore & Port Operations Professionals,0,number,Number of people,
2015,Apprentices,Stevedore & Port Operations Professionals,0,number,Number of people,
2016,Apprentices,Stevedore & Port Operations Professionals,0,number,Number of people,
2017,Apprentices,Stevedore & Port Operations Professionals,0,number,Number of people,
2018,Apprentices,Stevedore & Port Operations Professionals,5,number,Number of people,
2009,Apprentices,Surveyors,85,number,Number of people,
2010,Apprentices,Surveyors,105,number,Number of people,
2011,Apprentices,Surveyors,100,number,Number of people,
2012,Apprentices,Surveyors,90,number,Number of people,
2013,Apprentices,Surveyors,325,number,Number of people,
2014,Apprentices,Surveyors,395,number,Number of people,
2015,Apprentices,Surveyors,375,number,Number of people,
2016,Apprentices,Surveyors,435,number,Number of people,
2017,Apprentices,Surveyors,390,number,Number of people,
2018,Apprentices,Surveyors,300,number,Number of people,
2009,Apprentices,Telecommunications Professionals,380,number,Number of people,
2010,Apprentices,Telecommunications Professionals,325,number,Number of people,
2011,Apprentices,Telecommunications Professionals,110,number,Number of people,
2012,Apprentices,Telecommunications Professionals,120,number,Number of people,
2013,Apprentices,Telecommunications Professionals,100,number,Number of people,
2014,Apprentices,Telecommunications Professionals,65,number,Number of people,
2015,Apprentices,Telecommunications Professionals,60,number,Number of people,
2016,Apprentices,Telecommunications Professionals,45,number,Number of people,
2017,Apprentices,Telecommunications Professionals,30,number,Number of people,
2018,Apprentices,Telecommunications Professionals,0,number,Number of people,
2009,Apprentices,"Transport, Freight, Distribution & Driving Professionals",530,number,Number of people,
2010,Apprentices,"Transport, Freight, Distribution & Driving Professionals",225,number,Number of people,
2011,Apprentices,"Transport, Freight, Distribution & Driving Professionals",165,number,Number of people,
2012,Apprentices,"Transport, Freight, Distribution & Driving Professionals",195,number,Number of people,
2013,Apprentices,"Transport, Freight, Distribution & Driving Professionals",500,number,Number of people,
2014,Apprentices,"Transport, Freight, Distribution & Driving Professionals",825,number,Number of people,
2015,Apprentices,"Transport, Freight, Distribution & Driving Professionals",945,number,Number of people,
2016,Apprentices,"Transport, Freight, Distribution & Driving Professionals",900,number,Number of people,
2017,Apprentices,"Transport, Freight, Distribution & Driving Professionals",905,number,Number of people,
2018,Apprentices,"Transport, Freight, Distribution & Driving Professionals",970,number,Number of people,
2009,Apprentices,Wall & Floor Tilers,65,number,Number of people,
2010,Apprentices,Wall & Floor Tilers,35,number,Number of people,
2011,Apprentices,Wall & Floor Tilers,80,number,Number of people,
2012,Apprentices,Wall & Floor Tilers,125,number,Number of people,
2013,Apprentices,Wall & Floor Tilers,120,number,Number of people,
2014,Apprentices,Wall & Floor Tilers,145,number,Number of people,
2015,Apprentices,Wall & Floor Tilers,130,number,Number of people,
2016,Apprentices,Wall & Floor Tilers,130,number,Number of people,
2017,Apprentices,Wall & Floor Tilers,155,number,Number of people,
2018,Apprentices,Wall & Floor Tilers,155,number,Number of people,
2009,Apprentices,Water Treatment and Reticulation Professionals,485,number,Number of people,
2010,Apprentices,Water Treatment and Reticulation Professionals,475,number,Number of people,
2011,Apprentices,Water Treatment and Reticulation Professionals,425,number,Number of people,
2012,Apprentices,Water Treatment and Reticulation Professionals,425,number,Number of people,
2013,Apprentices,Water Treatment and Reticulation Professionals,430,number,Number of people,
2014,Apprentices,Water Treatment and Reticulation Professionals,425,number,Number of people,
2015,Apprentices,Water Treatment and Reticulation Professionals,405,number,Number of people,
2016,Apprentices,Water Treatment and Reticulation Professionals,315,number,Number of people,
2017,Apprentices,Water Treatment and Reticulation Professionals,255,number,Number of people,
2018,Apprentices,Water Treatment and Reticulation Professionals,215,number,Number of people,
2009,Apprentices,Wood Manufacturing Professionals,505,number,Number of people,
2010,Apprentices,Wood Manufacturing Professionals,355,number,Number of people,
2011,Apprentices,Wood Manufacturing Professionals,305,number,Number of people,
2012,Apprentices,Wood Manufacturing Professionals,225,number,Number of people,
2013,Apprentices,Wood Manufacturing Professionals,185,number,Number of people,
2014,Apprentices,Wood Manufacturing Professionals,210,number,Number of people,
2015,Apprentices,Wood Manufacturing Professionals,215,number,Number of people,
2016,Apprentices,Wood Manufacturing Professionals,200,number,Number of people,
2017,Apprentices,Wood Manufacturing Professionals,185,number,Number of people,
2018,Apprentices,Wood Manufacturing Professionals,195,number,Number of people,
2009,Apprentices,Workplace Health & Safety - Generic,705,number,Number of people,
2010,Apprentices,Workplace Health & Safety - Generic,510,number,Number of people,
2011,Apprentices,Workplace Health & Safety - Generic,145,number,Number of people,
2012,Apprentices,Workplace Health & Safety - Generic,35,number,Number of people,
2013,Apprentices,Workplace Health & Safety - Generic,50,number,Number of people,
2014,Apprentices,Workplace Health & Safety - Generic,30,number,Number of people,
2015,Apprentices,Workplace Health & Safety - Generic,35,number,Number of people,
2016,Apprentices,Workplace Health & Safety - Generic,40,number,Number of people,
2017,Apprentices,Workplace Health & Safety - Generic,195,number,Number of people,
2018,Apprentices,Workplace Health & Safety - Generic,345,number,Number of people,
2009,Apprentices,Total,50835,number,Number of people,
2010,Apprentices,Total,45210,number,Number of people,
2011,Apprentices,Total,37700,number,Number of people,
2012,Apprentices,Total,36230,number,Number of people,
2013,Apprentices,Total,37485,number,Number of people,
2014,Apprentices,Total,41855,number,Number of people,
2015,Apprentices,Total,42005,number,Number of people,
2016,Apprentices,Total,42960,number,Number of people,
2017,Apprentices,Total,46125,number,Number of people,
2018,Apprentices,Total,50475,number,Number of people,
