Year,Measure,Category,Disability status,Age group,Unit,Value,Value Unit,Value Label,Null Reason,Metadata 1
2023,Participation in leisure activities in the last 4 weeks,Done any hobbies,Disabled,5-*,Percent,70,percentage,% of people aged 5+,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Participation in leisure activities in the last 4 weeks,Done any hobbies,Disabled,5-*,Absolute sampling error (percentage),2.1,percentage,% of people aged 5+,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Participation in leisure activities in the last 4 weeks,Done any hobbies,Disabled,5-*,Number,585,number,Thousands of people,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Participation in leisure activities in the last 4 weeks,Done any hobbies,Disabled,5-*,Absolute sampling error (number),27,number,Thousands of people,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Participation in leisure activities in the last 4 weeks,Done any hobbies,Non-disabled,5-*,Percent,82,percentage,% of people aged 5+,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Participation in leisure activities in the last 4 weeks,Done any hobbies,Non-disabled,5-*,Absolute sampling error (percentage),0.9,percentage,% of people aged 5+,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Participation in leisure activities in the last 4 weeks,Done any hobbies,Non-disabled,5-*,Number,3258,number,Thousands of people,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Participation in leisure activities in the last 4 weeks,Done any hobbies,Non-disabled,5-*,Absolute sampling error (number),43,number,Thousands of people,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Participation in leisure activities in the last 4 weeks,"Visited or gone out with friends, family, or whānau",Disabled,5-*,Percent,81,percentage,% of people aged 5+,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Participation in leisure activities in the last 4 weeks,"Visited or gone out with friends, family, or whānau",Disabled,5-*,Absolute sampling error (percentage),1.8,percentage,% of people aged 5+,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Participation in leisure activities in the last 4 weeks,"Visited or gone out with friends, family, or whānau",Disabled,5-*,Number,674,number,Thousands of people,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Participation in leisure activities in the last 4 weeks,"Visited or gone out with friends, family, or whānau",Disabled,5-*,Absolute sampling error (number),26,number,Thousands of people,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Participation in leisure activities in the last 4 weeks,"Visited or gone out with friends, family, or whānau",Non-disabled,5-*,Percent,93,percentage,% of people aged 5+,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Participation in leisure activities in the last 4 weeks,"Visited or gone out with friends, family, or whānau",Non-disabled,5-*,Absolute sampling error (percentage),0.5,percentage,% of people aged 5+,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Participation in leisure activities in the last 4 weeks,"Visited or gone out with friends, family, or whānau",Non-disabled,5-*,Number,3698,number,Thousands of people,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Participation in leisure activities in the last 4 weeks,"Visited or gone out with friends, family, or whānau",Non-disabled,5-*,Absolute sampling error (number),35,number,Thousands of people,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Participation in leisure activities in the last 4 weeks,Total who have done at least 1 of the 7 specified leisure activities in last 4 weeks,Disabled,5-*,Percent,96,percentage,% of people aged 5+,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Participation in leisure activities in the last 4 weeks,Total who have done at least 1 of the 7 specified leisure activities in last 4 weeks,Disabled,5-*,Absolute sampling error (percentage),0.9,percentage,% of people aged 5+,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Participation in leisure activities in the last 4 weeks,Total who have done at least 1 of the 7 specified leisure activities in last 4 weeks,Disabled,5-*,Number,798,number,Thousands of people,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Participation in leisure activities in the last 4 weeks,Total who have done at least 1 of the 7 specified leisure activities in last 4 weeks,Disabled,5-*,Absolute sampling error (number),30,number,Thousands of people,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Participation in leisure activities in the last 4 weeks,Total who have done at least 1 of the 7 specified leisure activities in last 4 weeks,Non-disabled,5-*,Percent,99,percentage,% of people aged 5+,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Participation in leisure activities in the last 4 weeks,Total who have done at least 1 of the 7 specified leisure activities in last 4 weeks,Non-disabled,5-*,Absolute sampling error (percentage),0.2,percentage,% of people aged 5+,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Participation in leisure activities in the last 4 weeks,Total who have done at least 1 of the 7 specified leisure activities in last 4 weeks,Non-disabled,5-*,Number,3949,number,Thousands of people,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Participation in leisure activities in the last 4 weeks,Total who have done at least 1 of the 7 specified leisure activities in last 4 weeks,Non-disabled,5-*,Absolute sampling error (number),30,number,Thousands of people,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Number of different leisure activities done in last 4 weeks (of the 7 specified leisure activities only),0,Disabled,5-*,Percent,4,percentage,% of people aged 5+,
2023,Number of different leisure activities done in last 4 weeks (of the 7 specified leisure activities only),0,Disabled,5-*,Absolute sampling error (percentage),0.9,percentage,% of people aged 5+,
2023,Number of different leisure activities done in last 4 weeks (of the 7 specified leisure activities only),0,Disabled,5-*,Number,34,number,Thousands of people,
2023,Number of different leisure activities done in last 4 weeks (of the 7 specified leisure activities only),0,Disabled,5-*,Absolute sampling error (number),7,number,Thousands of people,
2023,Number of different leisure activities done in last 4 weeks (of the 7 specified leisure activities only),0,Non-disabled,5-*,Percent,1,percentage,% of people aged 5+,
2023,Number of different leisure activities done in last 4 weeks (of the 7 specified leisure activities only),0,Non-disabled,5-*,Absolute sampling error (percentage),0.2,percentage,% of people aged 5+,
2023,Number of different leisure activities done in last 4 weeks (of the 7 specified leisure activities only),0,Non-disabled,5-*,Number,35,number,Thousands of people,
2023,Number of different leisure activities done in last 4 weeks (of the 7 specified leisure activities only),0,Non-disabled,5-*,Absolute sampling error (number),8,number,Thousands of people,
2023,Number of different leisure activities done in last 4 weeks (of the 7 specified leisure activities only),1–2,Disabled,5-*,Percent,24,percentage,% of people aged 5+,
2023,Number of different leisure activities done in last 4 weeks (of the 7 specified leisure activities only),1–2,Disabled,5-*,Absolute sampling error (percentage),1.9,percentage,% of people aged 5+,
2023,Number of different leisure activities done in last 4 weeks (of the 7 specified leisure activities only),1–2,Disabled,5-*,Number,202,number,Thousands of people,
2023,Number of different leisure activities done in last 4 weeks (of the 7 specified leisure activities only),1–2,Disabled,5-*,Absolute sampling error (number),18,number,Thousands of people,
2023,Number of different leisure activities done in last 4 weeks (of the 7 specified leisure activities only),1–2,Non-disabled,5-*,Percent,8,percentage,% of people aged 5+,
