Year,Training type,Grouping variable,Category,Occupation,Value,Value Unit,Value Label,Null Reason
2018,Apprentices,Gender,Female,"Automotive Panel Repairers, Paint Finishers, Motor Trimmers",25,number,Number of people,
2018,Apprentices,Age group,*-19,"Automotive Panel Repairers, Paint Finishers, Motor Trimmers",50,number,Number of people,
2018,Apprentices,Age group,20-29,"Automotive Panel Repairers, Paint Finishers, Motor Trimmers",220,number,Number of people,
2018,Apprentices,Age group,30-39,"Automotive Panel Repairers, Paint Finishers, Motor Trimmers",45,number,Number of people,
2018,Apprentices,Age group,40-49,"Automotive Panel Repairers, Paint Finishers, Motor Trimmers",10,number,Number of people,
2018,Apprentices,Age group,50+,"Automotive Panel Repairers, Paint Finishers, Motor Trimmers",0,number,Number of people,
2018,Apprentices,Ethnic group,European,"Aviation, Travel & Tourism Professionals",30,number,Number of people,
2018,Apprentices,Ethnic group,Māori,"Aviation, Travel & Tourism Professionals",0,number,Number of people,
2018,Apprentices,Ethnic group,Pacific Peoples,"Aviation, Travel & Tourism Professionals",0,number,Number of people,
2018,Apprentices,Ethnic group,Asian,"Aviation, Travel & Tourism Professionals",0,number,Number of people,
2018,Apprentices,Ethnic group,MELAA,"Aviation, Travel & Tourism Professionals",0,number,Number of people,
2018,Apprentices,Ethnic group,Other,"Aviation, Travel & Tourism Professionals",0,number,Number of people,
2018,Apprentices,Ethnic group,Total,"Aviation, Travel & Tourism Professionals",35,number,Number of people,
2018,Apprentices,Gender,Male,"Aviation, Travel & Tourism Professionals",25,number,Number of people,
2018,Apprentices,Gender,Female,"Aviation, Travel & Tourism Professionals",5,number,Number of people,
2018,Apprentices,Age group,*-19,"Aviation, Travel & Tourism Professionals",0,number,Number of people,
2018,Apprentices,Age group,20-29,"Aviation, Travel & Tourism Professionals",10,number,Number of people,
2018,Apprentices,Age group,30-39,"Aviation, Travel & Tourism Professionals",10,number,Number of people,
2018,Apprentices,Age group,40-49,"Aviation, Travel & Tourism Professionals",10,number,Number of people,
2018,Apprentices,Age group,50+,"Aviation, Travel & Tourism Professionals",5,number,Number of people,
2018,Apprentices,Ethnic group,European,Boat Building & Sailmaking Professionals,330,number,Number of people,
2018,Apprentices,Ethnic group,Māori,Boat Building & Sailmaking Professionals,65,number,Number of people,
2018,Apprentices,Ethnic group,Pacific Peoples,Boat Building & Sailmaking Professionals,10,number,Number of people,
2018,Apprentices,Ethnic group,Asian,Boat Building & Sailmaking Professionals,35,number,Number of people,
2018,Apprentices,Ethnic group,MELAA,Boat Building & Sailmaking Professionals,0,number,Number of people,
2018,Apprentices,Ethnic group,Other,Boat Building & Sailmaking Professionals,5,number,Number of people,
2018,Apprentices,Ethnic group,Total,Boat Building & Sailmaking Professionals,440,number,Number of people,
2018,Apprentices,Gender,Male,Boat Building & Sailmaking Professionals,430,number,Number of people,
2018,Apprentices,Gender,Female,Boat Building & Sailmaking Professionals,15,number,Number of people,
2018,Apprentices,Age group,*-19,Boat Building & Sailmaking Professionals,85,number,Number of people,
2018,Apprentices,Age group,20-29,Boat Building & Sailmaking Professionals,235,number,Number of people,
2018,Apprentices,Age group,30-39,Boat Building & Sailmaking Professionals,90,number,Number of people,
2018,Apprentices,Age group,50+,Boat Building & Sailmaking Professionals,5,number,Number of people,
2018,Apprentices,Ethnic group,European,Building & Construction Professionals - Not Otherwise Specified,200,number,Number of people,
2018,Apprentices,Ethnic group,Māori,Building & Construction Professionals - Not Otherwise Specified,185,number,Number of people,
2018,Apprentices,Ethnic group,Pacific Peoples,Building & Construction Professionals - Not Otherwise Specified,75,number,Number of people,
2018,Apprentices,Ethnic group,Asian,Building & Construction Professionals - Not Otherwise Specified,15,number,Number of people,
2018,Apprentices,Ethnic group,MELAA,Building & Construction Professionals - Not Otherwise Specified,5,number,Number of people,
2018,Apprentices,Ethnic group,Other,Building & Construction Professionals - Not Otherwise Specified,5,number,Number of people,
2018,Apprentices,Ethnic group,Total,Building & Construction Professionals - Not Otherwise Specified,410,number,Number of people,
2018,Apprentices,Gender,Male,Building & Construction Professionals - Not Otherwise Specified,405,number,Number of people,
2018,Apprentices,Gender,Female,Building & Construction Professionals - Not Otherwise Specified,5,number,Number of people,
2018,Apprentices,Age group,*-19,Building & Construction Professionals - Not Otherwise Specified,35,number,Number of people,
2018,Apprentices,Age group,20-29,Building & Construction Professionals - Not Otherwise Specified,270,number,Number of people,
2018,Apprentices,Age group,30-39,Building & Construction Professionals - Not Otherwise Specified,80,number,Number of people,
2018,Apprentices,Age group,40-49,Building & Construction Professionals - Not Otherwise Specified,20,number,Number of people,
2018,Apprentices,Age group,50+,Building & Construction Professionals - Not Otherwise Specified,10,number,Number of people,
2018,Apprentices,Ethnic group,European,Building Services Professionals,0,number,Number of people,
2018,Apprentices,Ethnic group,Māori,Building Services Professionals,0,number,Number of people,
2018,Apprentices,Ethnic group,Pacific Peoples,Building Services Professionals,0,number,Number of people,
2018,Apprentices,Ethnic group,Asian,Building Services Professionals,0,number,Number of people,
2018,Apprentices,Ethnic group,MELAA,Building Services Professionals,0,number,Number of people,
2018,Apprentices,Ethnic group,Other,Building Services Professionals,0,number,Number of people,
2018,Apprentices,Ethnic group,Total,Building Services Professionals,0,number,Number of people,
2018,Apprentices,Gender,Male,Building Services Professionals,0,number,Number of people,
2018,Apprentices,Gender,Female,Building Services Professionals,0,number,Number of people,
2018,Apprentices,Age group,*-19,Building Services Professionals,0,number,Number of people,
2018,Apprentices,Age group,20-29,Building Services Professionals,0,number,Number of people,
2018,Apprentices,Age group,30-39,Building Services Professionals,0,number,Number of people,
2018,Apprentices,Age group,40-49,Building Services Professionals,0,number,Number of people,
2018,Apprentices,Age group,50+,Building Services Professionals,0,number,Number of people,
2018,Apprentices,Ethnic group,European,"Business Administration, Management & Computing Professionals",415,number,Number of people,
2018,Apprentices,Ethnic group,Māori,"Business Administration, Management & Computing Professionals",80,number,Number of people,
2018,Apprentices,Ethnic group,Pacific Peoples,"Business Administration, Management & Computing Professionals",40,number,Number of people,
2018,Apprentices,Ethnic group,Asian,"Business Administration, Management & Computing Professionals",40,number,Number of people,
2018,Apprentices,Ethnic group,MELAA,"Business Administration, Management & Computing Professionals",15,number,Number of people,
2018,Apprentices,Ethnic group,Other,"Business Administration, Management & Computing Professionals",20,number,Number of people,
2018,Apprentices,Ethnic group,Total,"Business Administration, Management & Computing Professionals",580,number,Number of people,
2018,Apprentices,Gender,Male,"Business Administration, Management & Computing Professionals",235,number,Number of people,
2018,Apprentices,Gender,Female,"Business Administration, Management & Computing Professionals",340,number,Number of people,
2018,Apprentices,Age group,*-19,"Business Administration, Management & Computing Professionals",0,number,Number of people,
2018,Apprentices,Age group,20-29,"Business Administration, Management & Computing Professionals",75,number,Number of people,
2018,Apprentices,Age group,30-39,"Business Administration, Management & Computing Professionals",195,number,Number of people,
2018,Apprentices,Age group,40-49,"Business Administration, Management & Computing Professionals",160,number,Number of people,
2018,Apprentices,Age group,50+,"Business Administration, Management & Computing Professionals",145,number,Number of people,
2018,Apprentices,Ethnic group,European,Carpenters,8555,number,Number of people,
2018,Apprentices,Ethnic group,Māori,Carpenters,2065,number,Number of people,
2018,Apprentices,Ethnic group,Pacific Peoples,Carpenters,885,number,Number of people,
2018,Apprentices,Ethnic group,Asian,Carpenters,635,number,Number of people,
2018,Apprentices,Ethnic group,MELAA,Carpenters,240,number,Number of people,
2018,Apprentices,Ethnic group,Other,Carpenters,50,number,Number of people,
2018,Apprentices,Ethnic group,Total,Carpenters,12430,number,Number of people,
2018,Apprentices,Gender,Male,Carpenters,12275,number,Number of people,
2018,Apprentices,Gender,Female,Carpenters,135,number,Number of people,
2018,Apprentices,Age group,*-19,Carpenters,1995,number,Number of people,
2018,Apprentices,Age group,20-29,Carpenters,7395,number,Number of people,
2018,Apprentices,Age group,30-39,Carpenters,2195,number,Number of people,
2018,Apprentices,Age group,40-49,Carpenters,700,number,Number of people,
2018,Apprentices,Age group,50+,Carpenters,140,number,Number of people,
2018,Apprentices,Ethnic group,European,Civil Construction Professionals,320,number,Number of people,
2018,Apprentices,Ethnic group,Māori,Civil Construction Professionals,150,number,Number of people,
2018,Apprentices,Ethnic group,Pacific Peoples,Civil Construction Professionals,60,number,Number of people,
2018,Apprentices,Ethnic group,Asian,Civil Construction Professionals,15,number,Number of people,
2018,Apprentices,Ethnic group,MELAA,Civil Construction Professionals,10,number,Number of people,
2018,Apprentices,Ethnic group,Other,Civil Construction Professionals,10,number,Number of people,
2018,Apprentices,Ethnic group,Total,Civil Construction Professionals,505,number,Number of people,
2018,Apprentices,Gender,Male,Civil Construction Professionals,460,number,Number of people,
2018,Apprentices,Gender,Female,Civil Construction Professionals,35,number,Number of people,
2018,Apprentices,Age group,*-19,Civil Construction Professionals,30,number,Number of people,
2018,Apprentices,Age group,20-29,Civil Construction Professionals,275,number,Number of people,
2018,Apprentices,Age group,30-39,Civil Construction Professionals,120,number,Number of people,
2018,Apprentices,Age group,40-49,Civil Construction Professionals,50,number,Number of people,
2018,Apprentices,Age group,50+,Civil Construction Professionals,30,number,Number of people,
2018,Apprentices,Ethnic group,European,"Clothing, Footwear & Textile Manufacturing Professionals",5,number,Number of people,
2018,Apprentices,Ethnic group,Māori,"Clothing, Footwear & Textile Manufacturing Professionals",0,number,Number of people,
2018,Apprentices,Ethnic group,Pacific Peoples,"Clothing, Footwear & Textile Manufacturing Professionals",0,number,Number of people,
2018,Apprentices,Ethnic group,Asian,"Clothing, Footwear & Textile Manufacturing Professionals",0,number,Number of people,
2018,Apprentices,Ethnic group,MELAA,"Clothing, Footwear & Textile Manufacturing Professionals",0,number,Number of people,
2018,Apprentices,Ethnic group,Other,"Clothing, Footwear & Textile Manufacturing Professionals",0,number,Number of people,
2018,Apprentices,Ethnic group,Total,"Clothing, Footwear & Textile Manufacturing Professionals",5,number,Number of people,
2018,Apprentices,Gender,Male,"Clothing, Footwear & Textile Manufacturing Professionals",5,number,Number of people,
2018,Apprentices,Gender,Female,"Clothing, Footwear & Textile Manufacturing Professionals",0,number,Number of people,
2018,Apprentices,Age group,*-19,"Clothing, Footwear & Textile Manufacturing Professionals",0,number,Number of people,
2018,Apprentices,Age group,20-29,"Clothing, Footwear & Textile Manufacturing Professionals",0,number,Number of people,
2018,Apprentices,Age group,30-39,"Clothing, Footwear & Textile Manufacturing Professionals",0,number,Number of people,
2018,Apprentices,Age group,40-49,"Clothing, Footwear & Textile Manufacturing Professionals",0,number,Number of people,
2018,Apprentices,Age group,50+,"Clothing, Footwear & Textile Manufacturing Professionals",0,number,Number of people,
2018,Apprentices,Ethnic group,European,Community Support or Social Services Professionals,1220,number,Number of people,
2018,Apprentices,Ethnic group,Māori,Community Support or Social Services Professionals,505,number,Number of people,
2018,Apprentices,Ethnic group,Pacific Peoples,Community Support or Social Services Professionals,210,number,Number of people,
2018,Apprentices,Ethnic group,Asian,Community Support or Social Services Professionals,335,number,Number of people,
2018,Apprentices,Ethnic group,MELAA,Community Support or Social Services Professionals,45,number,Number of people,
2018,Apprentices,Ethnic group,Other,Community Support or Social Services Professionals,65,number,Number of people,
2018,Apprentices,Ethnic group,Total,Community Support or Social Services Professionals,2165,number,Number of people,
2018,Apprentices,Gender,Male,Community Support or Social Services Professionals,540,number,Number of people,
2018,Apprentices,Gender,Female,Community Support or Social Services Professionals,1620,number,Number of people,
2018,Apprentices,Age group,*-19,Community Support or Social Services Professionals,15,number,Number of people,
2018,Apprentices,Age group,20-29,Community Support or Social Services Professionals,365,number,Number of people,
2018,Apprentices,Age group,30-39,Community Support or Social Services Professionals,510,number,Number of people,
2018,Apprentices,Age group,40-49,Community Support or Social Services Professionals,570,number,Number of people,
2018,Apprentices,Age group,50+,Community Support or Social Services Professionals,705,number,Number of people,
2018,Apprentices,Ethnic group,European,"Concreters, Brick & Block Layers",270,number,Number of people,
2018,Apprentices,Ethnic group,Māori,"Concreters, Brick & Block Layers",125,number,Number of people,
2018,Apprentices,Ethnic group,Pacific Peoples,"Concreters, Brick & Block Layers",65,number,Number of people,
2018,Apprentices,Ethnic group,Asian,"Concreters, Brick & Block Layers",10,number,Number of people,
2018,Apprentices,Ethnic group,MELAA,"Concreters, Brick & Block Layers",5,number,Number of people,
2018,Apprentices,Ethnic group,Other,"Concreters, Brick & Block Layers",5,number,Number of people,
2018,Apprentices,Ethnic group,Total,"Concreters, Brick & Block Layers",480,number,Number of people,
2018,Apprentices,Gender,Male,"Concreters, Brick & Block Layers",470,number,Number of people,
2018,Apprentices,Gender,Female,"Concreters, Brick & Block Layers",5,number,Number of people,
2018,Apprentices,Age group,*-19,"Concreters, Brick & Block Layers",55,number,Number of people,
2018,Apprentices,Age group,20-29,"Concreters, Brick & Block Layers",320,number,Number of people,
2018,Apprentices,Age group,30-39,"Concreters, Brick & Block Layers",80,number,Number of people,
2018,Apprentices,Age group,40-49,"Concreters, Brick & Block Layers",15,number,Number of people,
2018,Apprentices,Age group,50+,"Concreters, Brick & Block Layers",10,number,Number of people,
2018,Apprentices,Ethnic group,European,Crane Operation Professionals,0,number,Number of people,
2018,Apprentices,Ethnic group,Māori,Crane Operation Professionals,0,number,Number of people,
2018,Apprentices,Ethnic group,Pacific Peoples,Crane Operation Professionals,0,number,Number of people,
2018,Apprentices,Ethnic group,Asian,Crane Operation Professionals,0,number,Number of people,
2018,Apprentices,Ethnic group,MELAA,Crane Operation Professionals,0,number,Number of people,
2018,Apprentices,Ethnic group,Other,Crane Operation Professionals,0,number,Number of people,
2018,Apprentices,Ethnic group,Total,Crane Operation Professionals,0,number,Number of people,
2018,Apprentices,Gender,Male,Crane Operation Professionals,0,number,Number of people,
2018,Apprentices,Gender,Female,Crane Operation Professionals,0,number,Number of people,
2018,Apprentices,Age group,*-19,Crane Operation Professionals,0,number,Number of people,
2018,Apprentices,Age group,20-29,Crane Operation Professionals,0,number,Number of people,
2018,Apprentices,Gender,Female,Journalists,0,number,Number of people,
2018,Apprentices,Age group,30-39,Crane Operation Professionals,0,number,Number of people,
2018,Apprentices,Age group,40-49,Crane Operation Professionals,0,number,Number of people,
2018,Apprentices,Age group,50+,Crane Operation Professionals,0,number,Number of people,
2018,Apprentices,Ethnic group,European,Dairy Manufacturing Professionals,220,number,Number of people,
2018,Apprentices,Ethnic group,Māori,Dairy Manufacturing Professionals,50,number,Number of people,
2018,Apprentices,Ethnic group,Pacific Peoples,Dairy Manufacturing Professionals,5,number,Number of people,
2018,Apprentices,Ethnic group,Asian,Dairy Manufacturing Professionals,5,number,Number of people,
2018,Apprentices,Ethnic group,MELAA,Dairy Manufacturing Professionals,5,number,Number of people,
2018,Apprentices,Ethnic group,Other,Dairy Manufacturing Professionals,0,number,Number of people,
2018,Apprentices,Ethnic group,Total,Dairy Manufacturing Professionals,290,number,Number of people,
2018,Apprentices,Gender,Male,Dairy Manufacturing Professionals,260,number,Number of people,
2018,Apprentices,Gender,Female,Dairy Manufacturing Professionals,30,number,Number of people,
2018,Apprentices,Age group,*-19,Dairy Manufacturing Professionals,10,number,Number of people,
2018,Apprentices,Age group,20-29,Dairy Manufacturing Professionals,85,number,Number of people,
2018,Apprentices,Age group,30-39,Dairy Manufacturing Professionals,95,number,Number of people,
2018,Apprentices,Age group,40-49,Dairy Manufacturing Professionals,75,number,Number of people,
2018,Apprentices,Age group,50+,Dairy Manufacturing Professionals,25,number,Number of people,
2018,Apprentices,Ethnic group,European,"Electrical or Electronic Engineers, Electricians, Electrical Fitters, Electrical Technicians",4370,number,Number of people,
2018,Apprentices,Ethnic group,Māori,"Electrical or Electronic Engineers, Electricians, Electrical Fitters, Electrical Technicians",740,number,Number of people,
2018,Apprentices,Ethnic group,Pacific Peoples,"Electrical or Electronic Engineers, Electricians, Electrical Fitters, Electrical Technicians",330,number,Number of people,
2018,Apprentices,Ethnic group,Asian,"Electrical or Electronic Engineers, Electricians, Electrical Fitters, Electrical Technicians",395,number,Number of people,
2018,Apprentices,Ethnic group,MELAA,"Electrical or Electronic Engineers, Electricians, Electrical Fitters, Electrical Technicians",120,number,Number of people,
2018,Apprentices,Ethnic group,Other,"Electrical or Electronic Engineers, Electricians, Electrical Fitters, Electrical Technicians",80,number,Number of people,
2018,Apprentices,Ethnic group,Total,"Electrical or Electronic Engineers, Electricians, Electrical Fitters, Electrical Technicians",5755,number,Number of people,
2018,Apprentices,Gender,Male,"Electrical or Electronic Engineers, Electricians, Electrical Fitters, Electrical Technicians",5530,number,Number of people,
2018,Apprentices,Gender,Female,"Electrical or Electronic Engineers, Electricians, Electrical Fitters, Electrical Technicians",225,number,Number of people,
2018,Apprentices,Age group,*-19,"Electrical or Electronic Engineers, Electricians, Electrical Fitters, Electrical Technicians",1005,number,Number of people,
2018,Apprentices,Age group,20-29,"Electrical or Electronic Engineers, Electricians, Electrical Fitters, Electrical Technicians",3630,number,Number of people,
2018,Apprentices,Age group,30-39,"Electrical or Electronic Engineers, Electricians, Electrical Fitters, Electrical Technicians",830,number,Number of people,
2018,Apprentices,Age group,40-49,"Electrical or Electronic Engineers, Electricians, Electrical Fitters, Electrical Technicians",235,number,Number of people,
2018,Apprentices,Age group,50+,"Electrical or Electronic Engineers, Electricians, Electrical Fitters, Electrical Technicians",55,number,Number of people,
2018,Apprentices,Ethnic group,European,"Electricity Supply Electricians, Fitters, or Technicians",645,number,Number of people,
2018,Apprentices,Ethnic group,Māori,"Electricity Supply Electricians, Fitters, or Technicians",235,number,Number of people,
2018,Apprentices,Ethnic group,Pacific Peoples,"Electricity Supply Electricians, Fitters, or Technicians",100,number,Number of people,
2018,Apprentices,Ethnic group,Asian,"Electricity Supply Electricians, Fitters, or Technicians",90,number,Number of people,
2018,Apprentices,Ethnic group,MELAA,"Electricity Supply Electricians, Fitters, or Technicians",45,number,Number of people,
2018,Apprentices,Ethnic group,Other,"Electricity Supply Electricians, Fitters, or Technicians",40,number,Number of people,
2018,Apprentices,Ethnic group,Total,"Electricity Supply Electricians, Fitters, or Technicians",1080,number,Number of people,
2018,Apprentices,Gender,Male,"Electricity Supply Electricians, Fitters, or Technicians",1025,number,Number of people,
2018,Apprentices,Gender,Female,"Electricity Supply Electricians, Fitters, or Technicians",25,number,Number of people,
2018,Apprentices,Age group,*-19,"Electricity Supply Electricians, Fitters, or Technicians",45,number,Number of people,
2018,Apprentices,Age group,20-29,"Electricity Supply Electricians, Fitters, or Technicians",320,number,Number of people,
2018,Apprentices,Age group,30-39,"Electricity Supply Electricians, Fitters, or Technicians",360,number,Number of people,
2018,Apprentices,Age group,40-49,"Electricity Supply Electricians, Fitters, or Technicians",200,number,Number of people,
